,SchoolName,LastUpdate,LastUpdateAgreed,CumulativeCases,CumulativeCasesAgreed,TotalTests,TotalTestsAgreed,TotalResponses
88,Saint Martin's University,2020-11-19 00:00:00,2,No agreed upon value,,No agreed upon value,,4
89,Sam Houston State University,2020-11-18 00:00:00,5,884,4,,,5
90,Santa Clara University,2020-11-13 00:00:00,2,19,3,4775,3,5
91,Sewanee (University of the South),2020-11-19 00:00:00,4,37,3,22304,3,5
92,Skidmore,2020-11-16 00:00:00,4,19,5,36215,5,5
93,Saint Louis University,2020-11-16 00:00:00,2,418,4,9623,3,5
94,St. John's University,2020-11-18 00:00:00,2,No agreed upon value,,No agreed upon value,,5
95,Stanford University ,2020-11-15 00:00:00,4,60,5,59435,5,5
96,State University of New York,2020-11-19 00:00:00,3,2467,5,498382,5,5
97,Stevens Institute of Technology,No agreed upon value,,No agreed upon value,,1213,2,4
98,Susquehanna,2020-11-19 00:00:00,4,65,3,3970,2,5
99,Syracuse University,2020-11-17 00:00:00,3,283,2,105652,5,5
100,Temple University ,2020-11-18 00:00:00,2,797,5,19337,5,5
101,Texas A&M,2020-11-16 00:00:00,3,2947,4,38533,4,5
102,Texas State University,2020-11-18 00:00:00,4,985,5,No agreed upon value,,5
103,Texas Tech University,2020-11-18 00:00:00,4,2725,4,No agreed upon value,,5
104,Trinity College,2020-11-19 00:00:00,4,121,3,48564,5,5
105,Tufts University,2020-11-16 00:00:00,5,120,5,171781,5,5
106,Tulane University,2020-11-17 00:00:00,5,1369,5,134265,4,5
107,University of California Berkeley ,2020-11-18 00:00:00,2,261,5,67345,4,5
108,University of California San Diego,2020-11-18 00:00:00,3,152,3,71922,3,5
109,University of Illinois Chicago,2020-11-19 00:00:00,3,860,3,42311,5,5
110,University of North Caronlina Chapel Hill,2020-11-17 00:00:00,3,1374,5,5792,5,5
111,University of Alabama,,,5511,2,No agreed upon value,,4
112,University of Arkansas,2020-11-17 00:00:00,2,908,4,16305,4,5
113,University at Buffalo,2020-11-18 00:00:00,5,23,2,17636,2,5
114,University of California Riverside,2020-11-16 00:00:00,5,13,2,8879,3,5
115,University of California Santa Cruz,2020-11-19 00:00:00,2,44,3,12730,4,5
116,University of Colorado Boulder,,,1523,3,10637,2,4
117,University of Connecticut,2020-11-18 00:00:00,5,340,3,28848,4,5
118,University of Delaware,2020-11-19 00:00:00,2,No agreed upon value,,No agreed upon value,,4
119,University of Denver,2020-10-30 00:00:00,5,367,5,20145,5,5
120,University of Florida,2020-11-19 00:00:00,3,5055,4,No agreed upon value,,5
121,University of Georgia,,,No agreed upon value,,No agreed upon value,,4
122,University of Illinois Urbana Champaign ,2020-11-18 00:00:00,3,2909,2,855747,3,5
123,University of Iowa,2020-11-16 00:00:00,4,1983,4,18454,2,5
124,University of Kentucky,2020-11-16 00:00:00,4,2168,4,41431,4,5
125,University of Maryland,2020-11-18 00:00:00,4,382,2,53794,3,5
126,University of Massachusetts-Amherst,,,,,,,
127,University of Miami,2020-11-19 00:00:00,3,1192,4,52776,3,5
128,University of Michigan,2020-11-18 00:00:00,3,2634,5,81203,4,5
129,University of Minnesota,2020-11-12 00:00:00,4,719,5,7026,5,5
130,University of Mississippi,,,30,2,1577,2,3
131,University of Missouri ,2020-11-18 00:00:00,4,2302,4,,,5
132,University of Nebraska-Lincoln,,,,,,,
133,University of New Hampshire,No agreed upon value,,152,5,99107,4,5
134,University of New Haven,2020-11-19 00:00:00,2,No agreed upon value,,No agreed upon value,,4
135,University of Notre Dame,2020-11-19 00:00:00,4,1683,5,81671,5,5
136,University of North Texas,2020-11-13 00:00:00,5,688,3,3387,3,5
137,University of Oklahoma,2020-11-18 00:00:00,3,526,2,No agreed upon value,,5
138,University of Oregon,2020-11-16 00:00:00,3,601,4,12488,3,5
139,University of Pennsylvania,2020-11-14 00:00:00,5,84,2,48699,2,5
140,University of Pittsburgh,2020-11-17 00:00:00,4,573,4,6897,3,5
141,University of Rochester,2020-11-18 00:00:00,5,64,5,9683,5,5
142,University of San Diego,2020-11-18 00:00:00,4,178,5,,,5
143,University of San Francisco,2020-11-16 00:00:00,3,2,2,996,3,5
144,University of Scranton,,,No agreed upon value,,No agreed upon value,,4
145,University of South Carolina,2020-11-16 00:00:00,4,2867,3,46020,4,5
146,University of South Florida,2020-10-23 00:00:00,2,668,5,,,5
147,University of St. Thomas (MN),2020-11-16 00:00:00,3,No agreed upon value,,No agreed upon value,,5
148,University of Tennessee,,,165,2,968,3,5
149,University of Texas Austin,2020-11-18 00:00:00,5,1369,2,38224,2,5
150,University of Vermont,2020-11-15 00:00:00,5,71,2,128839,3,5
151,University of Virginia ,2020-11-18 00:00:00,2,1234,2,No agreed upon value,,5
152,University of Washington,2020-11-18 00:00:00,3,882,5,18347,5,5
153,University of West Virginia ,2020-11-17 00:00:00,4,866,4,59575,3,5
