,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2021-01-13,410995,50816,641729,262020,2870104,366774,220576,67173,32600,1517472,782288,7444,23949,152364,1046030,574119,301161,254104,313281,355835,31150,314867,448447,573278,440354,243899,442420,87653,179199,253985,54125,602629,159119,1179266,641073,95135,799639,341364,129109,746002,84639,102485,365378,104195,665499,2040751,314817,9368,2166,412545,281202,104392,558020,48289
2021-01-14,414583,51157,649040,264511,2910044,369177,221544,68065,32820,1531192,791324,7457,24113,153358,1052682,578494,302560,254410,317344,361148,31958,317815,454402,576573,441935,245847,445287,88110,180131,256172,54778,609721,160543,1193453,650926,95378,807293,344506,130246,753164,84816,103386,371180,104512,670482,2068637,317559,9573,2166,417839,283777,105219,561160,48701
2021-01-15,417528,51466,658186,267635,2948054,371458,223422,68727,33140,1548067,801130,7474,24318,154470,1059324,583160,303926,258354,321269,364853,32781,320739,459927,579574,443562,248189,447621,88635,180910,258050,55550,616032,161805,1212922,659840,95599,814442,348044,131258,759243,85954,104443,375967,104937,676039,2094921,320102,9734,2166,422634,285970,106649,563866,48909
2021-01-16,420681,51653,666901,270178,2983149,373483,223422,69372,33537,1560186,809663,7474,24474,155276,1064667,587049,304748,258354,324324,364853,33219,324031,465726,581785,445047,250869,449819,89056,180910,260090,55945,622089,162893,1228867,667826,95714,821507,351665,132412,765489,86523,104443,382422,105278,680847,2112662,322252,9915,2166,429391,285970,108124,566275,49068
2021-01-17,422598,51938,673882,271154,3014428,374981,223422,70294,33851,1571279,815995,7474,24595,155554,1068829,590211,305151,258354,326674,368980,33559,326445,470140,581785,446380,252475,451332,89393,181978,261573,56864,627221,163637,1242561,674637,95864,826754,354979,133205,770985,87381,104443,388184,105544,685321,2127111,323837,10057,2260,439305,289939,108821,568166,49363
2021-01-18,424028,52093,679282,272263,3043005,376171,230125,70910,34033,1579281,820952,7474,24710,155554,1072214,592709,306083,261825,328667,369951,33876,328214,473441,585128,447349,253932,452703,89576,182176,262794,56864,631074,164263,1255971,674637,95934,831066,356816,133851,774566,87939,104443,391464,105659,687751,2138190,324919,10220,2260,446550,289939,109809,569335,49708
2021-01-19,426543,52222,685699,273594,3078551,377856,232219,71311,34259,1589097,828581,7515,24769,156778,1076532,595436,307302,262003,330906,372089,34262,330186,476526,586673,448268,255125,453987,89864,182176,263972,58709,635702,164954,1268692,684497,96071,836049,358374,134468,781947,88373,107066,394318,105786,690065,2157459,326221,10321,2283,451076,291989,110820,571268,49922
2021-01-20,429655,52393,690544,276114,3097632,379227,234134,71775,34403,1601011,836649,7521,24837,157588,1081354,598313,308787,265522,334320,374582,34963,332353,481040,589869,449492,256827,455825,90255,184482,265143,59437,641140,165835,1279811,690912,96222,842433,360360,135142,787584,88513,107876,399843,106063,694291,2185554,328380,10471,2305,455591,294017,111677,573119,50124
2021-01-21,432536,52605,699942,279220,3122705,381210,235796,72523,34612,1613884,844799,7521,24949,158200,1086333,601937,310440,265709,338033,378318,35638,334519,486180,592382,450762,259117,457969,90649,185346,266343,60294,646189,166823,1293719,698099,96369,849704,363046,135973,793138,88728,108786,404492,106400,697783,2208871,330469,10580,2305,459604,296087,112617,575688,50424
2021-01-22,436087,52901,708041,281382,3147207,383008,237815,73233,34905,1627603,853173,7547,25109,158798,1093375,605426,311695,268908,340778,380255,36274,336915,491452,594920,452268,261167,459870,91049,186255,268212,60951,650389,167731,1309403,705535,96565,853982,365992,136839,798438,89282,109735,409188,106716,701847,2227789,333118,10759,2321,463751,298249,113615,577991,50583
2021-01-23,439442,53150,715357,282995,3168028,384966,237815,73915,35077,1639914,862158,7547,25236,159325,1098527,608519,312622,268908,344567,380255,36598,339307,496093,596746,453808,263023,461808,91410,186854,269713,61576,657536,168579,1323312,712716,96720,859841,370149,137600,803585,90073,109735,413789,106963,705876,2242473,334889,10908,2341,468655,300198,114752,580003,50583
2021-01-24,441170,53315,722574,284066,3187475,386285,237815,74575,35301,1649449,866911,7547,25379,159506,1101819,611039,313137,268908,346138,383862,36598,341452,500037,596746,454989,264219,463856,91652,187147,270907,62337,662808,169205,1335695,718812,96817,864322,373090,138168,807102,91028,109735,418325,107148,708717,2250421,336405,11033,2341,472447,300198,115307,581377,50898
2021-01-25,443009,53399,727895,284702,3213222,387500,243632,75191,35505,1658169,870828,7554,25495,160033,1104763,613228,313909,271503,347827,385942,37046,343138,503688,600093,455783,265146,464686,91816,187793,271897,62768,666951,169696,1347667,723445,96874,868656,374853,138587,812098,91596,111754,421417,107180,710427,2269424,337264,11165,2350,478619,302141,115839,582477,51062
2021-01-26,445909,53487,732643,287187,3235045,388620,244899,75490,35700,1667763,879221,7566,25558,160592,1108430,614946,315002,271578,350519,388562,37710,344620,506183,602168,456490,266598,465984,92160,188122,272853,63172,671781,170296,1358707,727423,97006,872918,376424,139355,816761,92069,112396,423667,107380,712406,2290621,338675,11285,2373,483326,303482,116978,584041,51152
2021-01-27,449086,53670,738561,288964,3250649,390296,247339,75832,35865,1676171,885605,7568,25652,161212,1112181,617176,316114,274746,352934,392416,38170,346559,509503,604233,457317,268672,467531,92531,188784,273873,63563,676537,171047,1369072,733010,97160,878284,379110,140063,822582,92244,113009,427231,107608,715806,2309220,340684,11379,2373,488553,305289,117775,585600,51368
2021-01-28,452734,53877,743232,290856,3273905,391737,248765,76495,36132,1687594,892957,7572,25746,161720,1116372,619995,317124,274823,355868,394909,38454,348749,514134,606488,458633,270476,469567,92934,189597,274951,64258,681283,171719,1382855,739500,97304,883716,381430,140783,828632,92541,113754,431169,107795,717583,2330272,342445,11523,2384,493674,307809,118562,587580,51430
2021-01-29,455582,54062,748260,292563,3293531,393459,250023,76935,36414,1698570,899515,7579,25885,162355,1120528,622625,318319,276956,358469,397276,38813,350629,517252,608627,459747,272662,471628,93246,189597,276279,64838,687269,172798,1395806,746459,97457,888590,384217,141729,838016,92968,114438,435633,107955,722491,2348188,343962,11658,2398,497912,309801,119467,589384,51690
2021-01-30,455582,54216,753379,294387,3310949,395019,250023,77551,36662,1713589,905858,7579,25994,162683,1123873,624959,319110,276956,361115,397276,39168,352726,521360,610138,460819,274190,472942,93762,190570,277349,65362,692543,173539,1408698,752627,97561,892781,386590,142416,842475,93406,114438,439785,108070,724742,2363266,345430,11831,2398,502221,311597,120340,590997,51704
2021-01-31,459639,54351,758404,295268,3324264,396185,250023,78071,36872,1721377,909445,7579,26072,162683,1126301,626682,319408,276956,362881,400626,39324,354473,524025,610138,461807,275001,473977,93949,190713,278308,65695,696829,174064,1419907,757526,97629,895792,389472,142416,846046,93624,114438,443386,108250,727861,2376344,346624,11965,2398,504779,311597,121001,592140,51912
2021-02-01,460860,54459,762145,296494,3342647,397101,253954,78495,37008,1727107,912479,7608,26156,163165,1128613,628391,320187,279008,364498,401591,39543,355636,526423,612710,462528,275706,474767,94070,190950,279146,66058,700346,174550,1428839,761302,97680,899079,390868,143373,849966,94238,115956,445916,108315,729187,2412627,347208,12083,2421,507640,313335,121425,592921,52057
2021-02-02,462938,54594,765083,298004,3355781,398037,256522,78696,37008,1737640,917440,7610,26218,163656,1130917,629903,321274,279155,366929,404194,39960,356541,528662,614143,463132,276531,476020,94384,191437,279957,66058,703496,174982,1436788,764228,97797,902736,392164,143978,854197,94526,116191,447904,108431,731360,2431687,348409,12196,2426,510380,314692,121935,594217,52128
2021-02-03,465056,54820,767379,300430,3368281,399267,257004,78982,37199,1744619,922364,7618,26286,164163,1134231,631331,322308,281322,369510,406235,40233,357483,531117,615860,463766,277322,477228,94810,192042,280707,66721,705807,175652,1443942,776307,97936,906727,394283,144605,857332,94662,116704,450794,108639,733216,2449535,350000,12329,2430,513339,316294,122470,595756,52288
2021-02-04,467823,55005,771796,302899,3382932,400851,257941,79225,37365,1752330,928070,7622,26387,164565,1137559,633667,323216,281363,372003,408995,40534,359037,533921,617745,465176,278532,478750,95111,192549,281596,67117,709096,176211,1450912,781802,98034,910847,397065,145320,860721,94984,117291,453878,108813,736370,2463424,351273,12503,2440,516398,317878,123044,597475,52468
2021-02-05,469319,55259,775622,304723,3399745,402754,259372,79546,37634,1763873,932912,7636,26507,164969,1141219,635171,323797,283926,374259,409861,40799,360584,537208,619499,466224,279742,480086,95458,193069,282493,67595,713324,176793,1458809,787349,98095,914530,399727,146137,865448,95064,117891,459974,108944,739031,2478003,352489,12612,2449,521467,319371,123641,598902,52576
2021-02-06,471311,55259,779093,306064,3408241,404256,259372,79832,37877,1771359,937402,7636,26611,165209,1144281,637987,324306,283926,376253,409861,41065,362084,540827,620685,467217,280778,481183,95717,193421,283391,68061,717835,177214,1470301,791521,98106,918079,401780,146741,869222,95355,117891,462981,109132,742213,2486505,353700,12766,2449,526176,320146,124190,600016,52618
2021-02-07,472423,55259,780637,306736,3417982,405330,259372,80594,38035,1777983,940991,7636,26684,165209,1146346,639711,324590,283926,377790,411812,41219,363650,543934,620685,468118,281678,481929,95790,193722,284042,68379,722167,177556,1480224,796195,98155,920217,403954,147122,873146,95839,117891,466373,109229,744600,2494861,354608,12900,2466,529125,320146,124708,600782,52627
2021-02-08,473348,55768,782887,307373,3432088,406276,263739,80931,38136,1783720,943695,7664,26714,165658,1148088,640744,325219,285338,378793,412989,41419,364553,545303,622813,468682,282313,482446,95914,193826,284590,68499,724728,177867,1489196,799279,98184,922143,404994,147419,876165,96161,119104,468403,109283,745826,2504578,355122,13046,2466,530825,323214,125106,601391,52784
2021-02-09,474666,55893,787268,308848,3442672,407210,264608,81210,38281,1790743,947416,7673,26742,166095,1150170,641874,326150,285341,381121,414354,41636,365529,546896,623731,469254,282969,483099,96288,194170,285136,68918,728304,178280,1497475,802065,98175,925350,406064,147932,880838,96402,119434,470311,109405,747462,2518333,356040,13105,2485,534116,324025,125522,602256,52830
2021-02-10,476067,56097,789245,309940,3451176,407961,265496,81461,38348,1798280,950906,7673,26793,166553,1152995,643305,327061,287213,383032,414687,41889,366666,548946,624970,469905,283753,484167,96595,194632,285795,69247,732674,178790,1504059,805898,98214,928631,407724,148475,883928,96494,119893,473140,109580,750409,2531060,357339,13122,2485,537319,324706,125951,603255,52874
2021-02-11,477570,56251,791106,311043,3461753,409683,266499,81875,38533,1806805,955085,7686,26877,166876,1155833,645006,327432,287276,384903,417415,42064,367865,551396,626477,470803,284664,485252,96842,195006,286387,69612,736330,179323,1514070,810466,98353,931437,409401,149082,887863,96636,120381,476287,109859,752033,2543236,358581,13249,2505,541018,326159,126420,604683,52979
2021-02-12,478667,56405,793532,311608,3471311,411774,267337,82263,38670,1814422,958985,7689,26958,167225,1158431,646425,328565,288475,386326,418585,42265,368977,553812,628012,471851,285648,486169,97063,195485,287023,70072,740062,179724,1522785,814594,98466,934742,410818,149576,891135,96924,120821,480157,110068,754279,2554842,359641,13415,2524,544209,327167,126887,605785,53086
2021-02-13,479856,56405,795323,312562,3480228,412983,267337,82672,38796,1821937,962808,7689,27015,167483,1160523,647657,329039,288475,387090,418585,42425,370136,555895,628956,472791,286343,486848,97297,197027,287836,70505,743819,180289,1531540,818724,98551,937541,412276,150034,894660,97313,120821,483140,110205,756071,2560393,360584,13561,2524,547424,328047,127282,606651,53086
2021-02-14,480931,56405,797270,313028,3485841,413836,267337,83003,38918,1827373,964737,7689,27058,167483,1162154,648875,329258,288475,388798,419891,42529,370983,557777,628956,473567,287436,487338,97401,197236,288348,70785,745987,180571,1539870,821894,98597,939350,413542,150281,896996,97609,120821,487293,110315,757418,2565258,361294,13677,2524,549999,328047,127588,607213,53136
2021-02-15,481605,56405,798608,313348,3491392,414369,270242,83239,39001,1830988,966807,7699,27089,167483,1163574,649652,329726,289828,389521,420394,42677,371705,559350,630408,474169,287980,487775,97539,197328,288739,71017,747432,180761,1546408,824352,98643,941265,414272,150464,898654,97837,121787,489018,110376,758561,2568044,361756,13862,2542,551538,328047,127889,607639,53136
2021-02-16,482488,56905,799740,313525,3499871,415037,270822,83369,39131,1837285,969702,7701,27105,167945,1164922,650530,330318,289843,390762,420394,42773,372221,560576,631532,474621,288714,488301,97666,197447,289029,71215,751065,181060,1553117,826340,98781,943291,414780,150875,901876,98317,122072,490453,110593,759523,2570958,362347,13917,2542,553308,329746,128117,608418,53351
2021-02-17,483167,56968,801055,314192,3506402,416174,271356,83581,39180,1844627,973247,7703,27132,168353,1166717,651453,330906,291093,391772,421018,42877,372980,561936,632772,475379,289398,488981,97900,197746,289392,71965,755174,181332,1559042,829507,98901,945107,415858,151257,905370,98428,122440,492369,110685,760303,2576098,363248,13996,2545,555592,330807,128405,609189,53450
2021-02-18,484365,57182,802198,314445,3512088,417415,271903,83852,39301,1849744,976732,7705,27192,168639,1168684,652210,331504,291124,392729,421846,43095,373966,563976,633973,476292,289532,489763,98100,198042,289880,72399,758451,181739,1568624,833423,99034,947389,416476,151713,908637,98506,122859,495044,110871,761360,2578396,364399,14149,2558,557896,332007,128760,610055,53531
