,school_name,dashboard
86,Rutgers University,https://coronavirus.rutgers.edu/health-and-safety/testing-program-dashboard/
87,Saint Edward's University,https://www.stedwards.edu/healthy-hilltop/covid-19-dashboard
88,Saint Martin's University,https://www.stmartin.edu/coronavirus/community-messages-updates
89,Sam Houston State University,https://www.shsu.edu/katsafe/covid/coronavirus-cases
90,Santa Clara University,https://www.scu.edu/preparedscu/covid-19/confirmed-cases/
91,Sewanee (University of the South),https://new.sewanee.edu/2019-novel-coronavirus-covid-19/health-safety/dashboard/
92,Skidmore,https://www.skidmore.edu/fall-planning/dashboard.php?date=2020-09-17
93,Saint Louis University,https://www.slu.edu/health-advisory/index.php
94,St. John's University,https://www.stjohns.edu/stjohnsopens/campus-health-and-covid-19-monitoring/reported-cases
95,Stanford University ,https://healthalerts.stanford.edu/covid-19/covid-dashboard/
96,State University of New York,https://www.suny.edu/covid19-tracker/?fbclid=IwAR3OmQ5JIdBU1D86qlHhnoBizdIBbm3PNMPG_9RuDEuvnEDHvGQOQi1BUpE
97,Stevens Institute of Technology,https://www.stevens.edu/directory/student-health-services/health-advisory-update/coronavirus-2019-covid-19-information
98,Susquehanna,https://www.susqu.edu/coronavirus-update/dashboard
99,Syracuse University,https://www.syracuse.edu/covid-dashboard/
100,Temple University ,https://www.temple.edu/life-temple/health-wellness/covid-19-keeping-our-community-safe-healthy/university-communication/active-covid-19-cases-temple-university
101,Texas A&M,https://www.tamu.edu/coronavirus/dashboard/
102,Texas State University,https://www.txstate.edu/coronavirus/road-map.html
103,Texas Tech University,https://www.depts.ttu.edu/communications/emergency/coronavirus/
104,Trinity College,https://www.trincoll.edu/reopening/covid-19-dashboard
105,Tufts University,https://coronavirus.tufts.edu/testing-metrics
106,Tulane University,https://tulane.edu/covid-19#phases
107,University of California Berkeley ,https://coronavirus.berkeley.edu/dashboard/
108,University of California San Diego,https://returntolearn.ucsd.edu/news-and-updates/dashboard/index.html
109,University of Illinois Chicago,https://covid-dashboard.uic.edu/view/
110,University of North Caronlina Chapel Hill,https://carolinatogether.unc.edu/dashboard/
111,University of Alabama,https://uasystem.edu/covid-19-dashboard/
112,University of Arkansas,https://health.uark.edu/coronavirus/covid-dashboard.php
113,University at Buffalo,https://www.buffalo.edu/coronavirus/health-and-safety/covid-19-dashboard.html
114,University of California Riverside,https://ehs.ucr.edu/coronavirus/cases#august_2020_12_cases
115,University of California Santa Cruz,https://recovery.ucsc.edu/reporting-covid/
116,University of Colorado Boulder,https://www.colorado.edu/covid-19-ready-dashboard
117,University of Connecticut,https://reopen.uconn.edu/covid-dashboard/#
118,University of Delaware,https://www.udel.edu/home/coronavirus/dashboard/
119,University of Denver,https://itableau.du.edu/views/DUCovid19DashV2/DUCovid-19Cases?iframeSizedToWindow=true&:embed=y&:display_spinner=no&:showAppBanner=false&:embed_code_version=3&:loadOrderID=0&:display_count=no&:showVizHome=no&:origin=viz_share_link
120,University of Florida,https://coronavirus.ufhealth.org/screen-test-protect-2/about-initiative/testing-dashboard/
121,University of Georgia,https://www.uhs.uga.edu/healthtopics/covid19
122,University of Illinois Urbana Champaign ,https://covid19.illinois.edu/on-campus-covid-19-testing-data-dashboard/
123,University of Iowa,https://coronavirus.uiowa.edu/covid-19-numbers
124,University of Kentucky,https://www.uky.edu/coronavirus/covid-19-data-dashboard
125,University of Maryland,https://umd.edu/covid-19-dashboard
126,University of Massachusetts-Amherst,https://www.umass.edu/coronavirus/confirmed-cases-covid-19-umass-amherst
127,University of Miami,https://coronavirus.miami.edu/dashboard/index.html
128,University of Michigan,https://campusblueprint.umich.edu/dashboard/
129,University of Minnesota,https://safe-campus.umn.edu/return-campus/covid-19-dashboard
130,University of Mississippi,https://coronavirus.olemiss.edu/covid-19-dashboard/
131,University of Missouri ,https://renewal.missouri.edu/student-cases/
132,University of Nebraska-Lincoln,https://covid19.unl.edu/unl-covid-19-dashboard
133,University of New Hampshire,https://www.unh.edu/sites/default/files/departments/coronavirus_covid-19/unh_fall_2020_covid-19_test_results_9.21_7am.pdf
134,University of New Haven,https://www.newhaven.edu/reopening/covid-dashboard.php
135,University of Notre Dame,https://here.nd.edu/our-approach/dashboard/
136,University of North Texas,https://healthalerts.unt.edu/return/cases
137,University of Oklahoma,https://www.ou.edu/together/dashboard
138,University of Oregon,https://t.co/e7D1sXE2nY?amp=1
139,University of Pennsylvania,https://coronavirus.upenn.edu/content/dashboard
140,University of Pittsburgh,https://www.coronavirus.pitt.edu/healthy-community/campus-cases
141,University of Rochester,https://www.rochester.edu/coronavirus-update/health-and-safety/confirmed-cases-of-covid-19/
142,University of San Diego,https://www.sandiego.edu/blueprint/covid-19-dashboard.php
