,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,,33859.0,Huntsville,Madison,Alabama,04-11-2021
1,Alabama State University,2,,23962.0,Montgomery,Montgomery,Alabama,04-11-2021
2,Athens State University,35,,9811.0,Athens,Limestone,Alabama,04-11-2021
3,Auburn University*,"2,134",,15524.0,Auburn,Lee,Alabama,04-11-2021
4,Auburn University at Montgomery,140,,23962.0,Montgomery,Montgomery,Alabama,04-11-2021
5,Bevill State Community College,4,,7087.0,Jasper,Walker,Alabama,04-11-2021
6,Birmingham-Southern College,214,,75364.0,Birmingham,Jefferson,Alabama,04-11-2021
7,Calhoun Community College,84,,9811.0,Tanner,Limestone,Alabama,04-11-2021
8,Central Alabama Community College,39,,3893.0,Alexander City,Tallapoosa,Alabama,04-11-2021
9,Enterprise State Community College,41,,5399.0,Enterprise,Coffee,Alabama,04-11-2021
10,Gadsden State Community College,62,,13662.0,Gadsden,Etowah,Alabama,04-11-2021
11,Jacksonville State University,219,,14284.0,Jacksonville,Calhoun,Alabama,04-11-2021
12,Lurleen B. Wallace Community College,19,,4053.0,Andalusia,Covington,Alabama,04-11-2021
13,Marion Military Institute,13,,1079.0,Marion,Perry,Alabama,04-11-2021
14,Samford University,480,,75364.0,Birmingham,Jefferson,Alabama,04-11-2021
15,Snead State Community College,19,,13662.0,Boaz,Etowah,Alabama,04-11-2021
16,Southern Union State Community College,59,,1769.0,Wadley,Randolph,Alabama,04-11-2021
17,Spring Hill College,124,,37763.0,Mobile,Mobile,Alabama,04-11-2021
18,Troy University,749,,3058.0,Troy,Pike,Alabama,04-11-2021
19,Troy University Dothan,17,,10380.0,Dothan,Houston,Alabama,04-11-2021
20,Troy University Montgomery,18,,23962.0,Montgomery,Montgomery,Alabama,04-11-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,04-11-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,04-11-2021
23,University of Alabama,"3,361",,25266.0,Tuscaloosa,Tuscaloosa,Alabama,04-11-2021
24,University of Alabama at Birmingham*,"2,286",,75364.0,Birmingham,Jefferson,Alabama,04-11-2021
25,University of Alabama in Huntsville,210,,33859.0,Huntsville,Madison,Alabama,04-11-2021
26,University of Montevallo,140,,23106.0,Montevallo,Shelby,Alabama,04-11-2021
27,University of North Alabama,488,,9215.0,Florence,Lauderdale,Alabama,04-11-2021
28,University of South Alabama,507,,37763.0,Mobile,Mobile,Alabama,04-11-2021
29,University of West Alabama,30,,1029.0,Livingston,Sumter,Alabama,04-11-2021
30,University of Alaska Anchorage,12,,29166.0,Anchorage,Anchorage,Alaska,04-11-2021
31,University of Alaska Fairbanks,130,,6835.0,Fairbanks,Fairbanks North Star,Alaska,04-11-2021
32,University of Alaska Southeast,1,,1330.0,Juneau,Juneau,Alaska,04-11-2021
33,Arizona State University,"3,642",,528377.0,Tempe,Maricopa,Arizona,04-11-2021
34,Arizona Western College,41,,36922.0,Yuma,Yuma,Arizona,04-11-2021
35,Dine College,5,,11253.0,Tsaile,Apache,Arizona,04-11-2021
36,Embry-Riddle Aeronautical University at Prescott,54,,18424.0,Prescott,Yavapai,Arizona,04-11-2021
37,Grand Canyon University,"1,372",,528377.0,Phoenix,Maricopa,Arizona,04-11-2021
38,Midwestern University at Glendale,158,,528377.0,Glendale,Maricopa,Arizona,04-11-2021
39,Northern Arizona University,354,,17342.0,Flagstaff,Coconino,Arizona,04-11-2021
40,University of Arizona,"2,959",,113659.0,Tucson,Pima,Arizona,04-11-2021
41,Arkansas Northeastern College,56,,5776.0,Blytheville,Mississippi,Arkansas,04-11-2021
42,Arkansas State University,"1,153",,13147.0,Jonesboro,Craighead,Arkansas,04-11-2021
43,Arkansas State University-Newport,43,,6754.0,Newport,Jackson,Arkansas,04-11-2021
44,Arkansas Tech University,402,,7894.0,Russellville,Pope,Arkansas,04-11-2021
45,Black River Technical College,85,,1769.0,Pocahontas,Randolph,Arkansas,04-11-2021
46,Central Baptist College,20,,12281.0,Conway,Faulkner,Arkansas,04-11-2021
47,Harding University,435,,7867.0,Searcy,White,Arkansas,04-11-2021
48,Henderson State University,172,,2093.0,Arkadelphia,Clark,Arkansas,04-11-2021
49,Hendrix College,22,,12281.0,Conway,Faulkner,Arkansas,04-11-2021
50,John Brown University,66,,28352.0,Siloam Springs,Benton,Arkansas,04-11-2021
51,Lyon College,22,,3730.0,Batesville,Independence,Arkansas,04-11-2021
52,National Park College,66,,,Hot Springs,,Arkansas,04-11-2021
53,North Arkansas College,76,,3754.0,Harrison,Boone,Arkansas,04-11-2021
54,NorthWest Arkansas Community College,34,,28352.0,Bentonville,Benton,Arkansas,04-11-2021
55,Ouachita Baptist University,197,,2093.0,Arkadelphia,Clark,Arkansas,04-11-2021
56,South Arkansas Community College,41,,3955.0,El Dorado,Union,Arkansas,04-11-2021
57,Southern Arkansas University,216,,2332.0,Magnolia,Columbia,Arkansas,04-11-2021
58,University of Arkansas,"2,742",,1640.0,Fayetteville,Washington,Arkansas,04-11-2021
59,University of Arkansas Community College Rich Mountain,19,,1966.0,Mena,Polk,Arkansas,04-11-2021
60,University of Arkansas Community College at Hope - Texarkana,32,,4227.0,Texarkana,Miller,Arkansas,04-11-2021
61,University of Arkansas Community College-Morrilton,34,,2197.0,Morrilton,Conway,Arkansas,04-11-2021
62,University of Arkansas at Fort Smith,192,,15088.0,Fort Smith,Sebastian,Arkansas,04-11-2021
63,University of Arkansas at Little Rock,218,,38533.0,Little Rock,Pulaski,Arkansas,04-11-2021
64,University of Arkansas at Monticello,106,,1989.0,Monticello,Drew,Arkansas,04-11-2021
65,University of Arkansas at Pine Bluff,201,,75364.0,Pine Bluff,Jefferson,Arkansas,04-11-2021
66,University of Arkansas for Medical Sciences,181,,38533.0,Little Rock,Pulaski,Arkansas,04-11-2021
67,University of Arkansas-Pulaski Technical College,108,,38533.0,North Little Rock,Pulaski,Arkansas,04-11-2021
68,University of Central Arkansas,563,,12281.0,Conway,Faulkner,Arkansas,04-11-2021
69,University of the Ozarks,63,,2892.0,Clarksville,Johnson,Arkansas,04-11-2021
70,Antelope Valley College,28,,1225796.0,Lancaster,Los Angeles,California,04-11-2021
71,Azusa Pacific University,44,,1225796.0,Azusa,Los Angeles,California,04-11-2021
72,Biola University,10,,1225796.0,La Mirada,Los Angeles,California,04-11-2021
73,California Baptist University,25,,296090.0,Riverside,Riverside,California,04-11-2021
74,California Institute of Technology,48,,1225796.0,Pasadena,Los Angeles,California,04-11-2021
75,California Lutheran University,22,,79963.0,Thousand Oaks,Ventura,California,04-11-2021
76,"California Polytechnic State University, San Luis Obispo",871,,20723.0,San Luis Obispo,San Luis Obispo,California,04-11-2021
77,"California State Polytechnic University, Pomona",22,,1225796.0,Pomona,Los Angeles,California,04-11-2021
78,California State University Maritime Academy,8,,31527.0,Vallejo,Solano,California,04-11-2021
79,"California State University, Bakersfield",68,,107341.0,Bakersfield,Kern,California,04-11-2021
80,"California State University, Channel Islands",14,,79963.0,Camarillo,Ventura,California,04-11-2021
81,"California State University, Chico",233,,11482.0,Chico,Butte,California,04-11-2021
82,"California State University, Dominguez Hills",12,,1225796.0,Carson,Los Angeles,California,04-11-2021
83,"California State University, East Bay",27,,84626.0,Hayward,Alameda,California,04-11-2021
84,"California State University, Fullerton",22,,268175.0,Fullerton,Orange,California,04-11-2021
85,"California State University, Long Beach",51,,1225796.0,Long Beach,Los Angeles,California,04-11-2021
86,"California State University, Los Angeles",105,,1225796.0,Los Angeles,Los Angeles,California,04-11-2021
87,"California State University, Monterey Bay",10,,43157.0,Marina,Monterey,California,04-11-2021
88,"California State University, Northridge",71,,1225796.0,Los Angeles,Los Angeles,California,04-11-2021
89,"California State University, Sacramento",77,,100048.0,Sacramento,Sacramento,California,04-11-2021
90,"California State University, San Bernardino",28,,293638.0,San Bernardino,San Bernardino,California,04-11-2021
91,"California State University, San Marcos",45,,273286.0,San Marcos,San Diego,California,04-11-2021
92,"California State University, Stanislaus",20,,59860.0,Turlock,Stanislaus,California,04-11-2021
93,Chapman University,152,,268175.0,Orange,Orange,California,04-11-2021
94,Concordia University Irvine,23,,268175.0,Irvine,Orange,California,04-11-2021
95,Cypress College,19,,268175.0,Cypress,Orange,California,04-11-2021
96,Dominican University of California,8,,13806.0,San Rafael,Marin,California,04-11-2021
97,El Camino Community College,14,,1225796.0,Torrance,Los Angeles,California,04-11-2021
98,Feather River College,7,,687.0,Quincy,Plumas,California,04-11-2021
99,Fresno Pacific University,13,,100135.0,Fresno,Fresno,California,04-11-2021
100,Fresno State University,48,,100135.0,Fresno,Fresno,California,04-11-2021
101,Harvey Mudd College,5,,1225796.0,Claremont,Los Angeles,California,04-11-2021
102,Holy Names University,7,,84626.0,Oakland,Alameda,California,04-11-2021
103,Humboldt State University,31,,3518.0,Arcata,Humboldt,California,04-11-2021
104,Los Angeles Community College District‡,180,,1225796.0,Los Angeles,Los Angeles,California,04-11-2021
105,Loyola Marymount University,34,,1225796.0,Los Angeles,Los Angeles,California,04-11-2021
106,Menlo College,10,,40878.0,Atherton,San Mateo,California,04-11-2021
107,Mills College,3,,84626.0,Oakland,Alameda,California,04-11-2021
108,MiraCosta College,12,,273286.0,Oceanside,San Diego,California,04-11-2021
109,Occidental College‡,10,,1225796.0,Los Angeles,Los Angeles,California,04-11-2021
110,Pepperdine University,36,,1225796.0,Malibu,Los Angeles,California,04-11-2021
111,Pitzer College,1,,1225796.0,Claremont,Los Angeles,California,04-11-2021
112,Point Loma Nazarene University‡,90,,273286.0,San Diego,San Diego,California,04-11-2021
113,Pomona College,16,,1225796.0,Claremont,Los Angeles,California,04-11-2021
114,Rio Hondo College*,31,,1225796.0,Whittier,Los Angeles,California,04-11-2021
115,Saint Mary's College of California,15,,66369.0,Moraga,Contra Costa,California,04-11-2021
116,San Diego City College,7,,273286.0,San Diego,San Diego,California,04-11-2021
117,San Diego Mesa College,2,,273286.0,San Diego,San Diego,California,04-11-2021
118,San Diego Miramar College,5,,273286.0,San Diego,San Diego,California,04-11-2021
