,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,7902.0,7981.0,Huntsville,Madison,Alabama,09-29-2020
1,Athens State University,2,2124.0,2144.0,Athens,Limestone,Alabama,09-29-2020
2,Auburn University*,"1,912",5910.0,5971.0,Auburn,Lee,Alabama,09-29-2020
3,Birmingham-Southern College,106,19587.0,19938.0,Birmingham,Jefferson,Alabama,09-29-2020
4,Calhoun Community College,23,2124.0,2144.0,Tanner,Limestone,Alabama,09-29-2020
5,Central Alabama Community College,21,1086.0,1171.0,Alexander City,Tallapoosa,Alabama,09-29-2020
6,Enterprise State Community College,19,1365.0,1371.0,Enterprise,Coffee,Alabama,09-29-2020
7,Gadsden State Community College,31,3503.0,3548.0,Gadsden,Etowah,Alabama,09-29-2020
8,Jacksonville State University,219,3512.0,3556.0,Jacksonville,Calhoun,Alabama,09-29-2020
9,Lurleen B. Wallace Community College,9,1380.0,1407.0,Andalusia,Covington,Alabama,09-29-2020
10,Marion Military Institute,3,536.0,542.0,Marion,Perry,Alabama,09-29-2020
11,Samford University,237,19587.0,19938.0,Birmingham,Jefferson,Alabama,09-29-2020
12,Snead State Community College,11,3503.0,3548.0,Boaz,Etowah,Alabama,09-29-2020
13,Southern Union State Community College,48,653.0,666.0,Wadley,Randolph,Alabama,09-29-2020
14,Spring Hill College,69,13214.0,13507.0,Mobile,Mobile,Alabama,09-29-2020
15,Troy University,141,1205.0,1216.0,Troy,Pike,Alabama,09-29-2020
16,Troy University Dothan,8,2918.0,2939.0,Dothan,Houston,Alabama,09-29-2020
17,Troy University Montgomery,5,8681.0,8866.0,Montgomery,Montgomery,Alabama,09-29-2020
18,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,09-29-2020
19,Tuskegee University,41,,,Tuskeegee,,Alabama,09-29-2020
20,University of Alabama,"2,690",8719.0,8837.0,Tuscaloosa,Tuscaloosa,Alabama,09-29-2020
21,University of Alabama at Birmingham*,"1,239",19587.0,19938.0,Birmingham,Jefferson,Alabama,09-29-2020
22,University of Alabama in Huntsville,55,7902.0,7981.0,Huntsville,Madison,Alabama,09-29-2020
23,University of Montevallo,81,6025.0,6074.0,Montevallo,Shelby,Alabama,09-29-2020
24,University of North Alabama,244,1718.0,1751.0,Florence,Lauderdale,Alabama,09-29-2020
25,University of South Alabama,220,13214.0,13507.0,Mobile,Mobile,Alabama,09-29-2020
26,University of Alaska Anchorage,4,4318.0,4353.0,Anchorage,Anchorage,Alaska,09-29-2020
27,University of Alaska Fairbanks,44,1111.0,1122.0,Fairbanks,Fairbanks North Star,Alaska,09-29-2020
28,University of Alaska Southeast,1,290.0,291.0,Juneau,Juneau,Alaska,09-29-2020
29,Arizona State University,"1,701",138366.0,141738.0,Tempe,Maricopa,Arizona,09-29-2020
30,Arizona Western College,5,12378.0,12723.0,Yuma,Yuma,Arizona,09-29-2020
31,Embry-Riddle Aeronautical University at Prescott,31,2476.0,2558.0,Prescott,Yavapai,Arizona,09-29-2020
32,Grand Canyon University,55,138366.0,141738.0,Phoenix,Maricopa,Arizona,09-29-2020
33,Midwestern University at Glendale,61,138366.0,141738.0,Glendale,Maricopa,Arizona,09-29-2020
34,Northern Arizona University,116,3989.0,4133.0,Flagstaff,Coconino,Arizona,09-29-2020
35,University of Arizona†,"2,149",24947.0,25569.0,Tucson,Pima,Arizona,09-29-2020
36,Arkansas State University,143,2993.0,3015.0,Jonesboro,Craighead,Arkansas,09-29-2020
37,Arkansas Tech University,6,2122.0,2153.0,Russellville,Pope,Arkansas,09-29-2020
38,Harding University,17,839.0,866.0,Searcy,White,Arkansas,09-29-2020
39,Henderson State University,59,346.0,350.0,Arkadelphia,Clark,Arkansas,09-29-2020
40,Hendrix College,6,2511.0,2531.0,Conway,Faulkner,Arkansas,09-29-2020
41,John Brown University,29,6543.0,6635.0,Siloam Springs,Benton,Arkansas,09-29-2020
42,Lyon College,6,1096.0,1116.0,Batesville,Independence,Arkansas,09-29-2020
43,National Park College,10,,,Hot Springs,,Arkansas,09-29-2020
44,NorthWest Arkansas Community College,2,6543.0,6635.0,Bentonville,Benton,Arkansas,09-29-2020
45,Ouachita Baptist University,89,346.0,350.0,Arkadelphia,Clark,Arkansas,09-29-2020
46,Southern Arkansas University,99,462.0,480.0,Magnolia,Columbia,Arkansas,09-29-2020
47,University of Arkansas,"1,572",548.0,560.0,Fayetteville,Washington,Arkansas,09-29-2020
48,University of Arkansas Community College Rich Mountain,2,264.0,268.0,Mena,Polk,Arkansas,09-29-2020
49,University of Arkansas at Little Rock,98,9270.0,9422.0,Little Rock,Pulaski,Arkansas,09-29-2020
50,University of Arkansas at Monticello,16,350.0,357.0,Monticello,Drew,Arkansas,09-29-2020
51,University of Arkansas at Pine Bluff,139,19587.0,19938.0,Pine Bluff,Jefferson,Arkansas,09-29-2020
52,University of Arkansas-Fort Smith,42,3719.0,3779.0,Fort Smith,Sebastian,Arkansas,09-29-2020
53,University of Central Arkansas†,115,2511.0,2531.0,Conway,Faulkner,Arkansas,09-29-2020
54,University of the Ozarks,37,852.0,859.0,Clarksville,Johnson,Arkansas,09-29-2020
55,Antelope Valley College,9,262733.0,269284.0,Lancaster,Los Angeles,California,09-29-2020
56,Biola University,2,262733.0,269284.0,La Mirada,Los Angeles,California,09-29-2020
57,California Institute of Technology,22,262733.0,269284.0,Pasadena,Los Angeles,California,09-29-2020
58,California Lutheran University,5,12662.0,12812.0,Thousand Oaks,Ventura,California,09-29-2020
