,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,27941.0,28158.0,Huntsville,Madison,Alabama,01-23-2021
1,Alabama State University,2,19541.0,19873.0,Montgomery,Montgomery,Alabama,01-23-2021
2,Athens State University,35,8239.0,8320.0,Athens,Limestone,Alabama,01-23-2021
3,Auburn University*,"2,134",13030.0,13137.0,Auburn,Lee,Alabama,01-23-2021
4,Auburn University at Montgomery,140,19541.0,19873.0,Montgomery,Montgomery,Alabama,01-23-2021
5,Bevill State Community College,4,5845.0,6028.0,Jasper,Walker,Alabama,01-23-2021
6,Birmingham-Southern College,214,63430.0,64437.0,Birmingham,Jefferson,Alabama,01-23-2021
7,Calhoun Community College,84,8239.0,8320.0,Tanner,Limestone,Alabama,01-23-2021
8,Central Alabama Community College,39,3034.0,3143.0,Alexander City,Tallapoosa,Alabama,01-23-2021
9,Enterprise State Community College,41,4543.0,4607.0,Enterprise,Coffee,Alabama,01-23-2021
10,Gadsden State Community College,62,11889.0,12070.0,Gadsden,Etowah,Alabama,01-23-2021
11,Jacksonville State University,219,11290.0,11496.0,Jacksonville,Calhoun,Alabama,01-23-2021
12,Lurleen B. Wallace Community College,19,3305.0,3385.0,Andalusia,Covington,Alabama,01-23-2021
13,Marion Military Institute,13,981.0,999.0,Marion,Perry,Alabama,01-23-2021
14,Samford University,480,63430.0,64437.0,Birmingham,Jefferson,Alabama,01-23-2021
15,Snead State Community College,19,11889.0,12070.0,Boaz,Etowah,Alabama,01-23-2021
16,Southern Union State Community College,59,1419.0,1455.0,Wadley,Randolph,Alabama,01-23-2021
17,Spring Hill College,124,30866.0,31435.0,Mobile,Mobile,Alabama,01-23-2021
18,Troy University,749,2593.0,2624.0,Troy,Pike,Alabama,01-23-2021
19,Troy University Dothan,17,8824.0,8988.0,Dothan,Houston,Alabama,01-23-2021
20,Troy University Montgomery,18,19541.0,19873.0,Montgomery,Montgomery,Alabama,01-23-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,01-23-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,01-23-2021
23,University of Alabama,"3,361",21217.0,21492.0,Tuscaloosa,Tuscaloosa,Alabama,01-23-2021
24,University of Alabama at Birmingham*,"2,286",63430.0,64437.0,Birmingham,Jefferson,Alabama,01-23-2021
25,University of Alabama in Huntsville,210,27941.0,28158.0,Huntsville,Madison,Alabama,01-23-2021
26,University of Montevallo,140,19116.0,19248.0,Montevallo,Shelby,Alabama,01-23-2021
27,University of North Alabama,488,7740.0,7847.0,Florence,Lauderdale,Alabama,01-23-2021
28,University of South Alabama,507,30866.0,31435.0,Mobile,Mobile,Alabama,01-23-2021
29,University of West Alabama,30,878.0,905.0,Livingston,Sumter,Alabama,01-23-2021
30,University of Alaska Anchorage,12,24899.0,25040.0,Anchorage,Anchorage,Alaska,01-23-2021
31,University of Alaska Fairbanks,130,5748.0,5773.0,Fairbanks,Fairbanks North Star,Alaska,01-23-2021
32,University of Alaska Southeast,1,1127.0,1132.0,Juneau,Juneau,Alaska,01-23-2021
33,Arizona State University,"3,642",437540.0,444431.0,Tempe,Maricopa,Arizona,01-23-2021
34,Arizona Western College,41,33468.0,34140.0,Yuma,Yuma,Arizona,01-23-2021
35,Dine College,5,8607.0,8900.0,Tsaile,Apache,Arizona,01-23-2021
36,Embry-Riddle Aeronautical University at Prescott,54,15245.0,15601.0,Prescott,Yavapai,Arizona,01-23-2021
37,Grand Canyon University,"1,372",437540.0,444431.0,Phoenix,Maricopa,Arizona,01-23-2021
38,Midwestern University at Glendale,158,437540.0,444431.0,Glendale,Maricopa,Arizona,01-23-2021
39,Northern Arizona University,354,14366.0,14627.0,Flagstaff,Coconino,Arizona,01-23-2021
40,University of Arizona,"2,959",94112.0,95720.0,Tucson,Pima,Arizona,01-23-2021
41,Arkansas Northeastern College,56,4941.0,5044.0,Blytheville,Mississippi,Arkansas,01-23-2021
42,Arkansas State University,"1,153",11708.0,11865.0,Jonesboro,Craighead,Arkansas,01-23-2021
43,Arkansas State University-Newport,43,5946.0,5991.0,Newport,Jackson,Arkansas,01-23-2021
44,Arkansas Tech University,402,6859.0,6939.0,Russellville,Pope,Arkansas,01-23-2021
45,Black River Technical College,85,1419.0,1455.0,Pocahontas,Randolph,Arkansas,01-23-2021
46,Central Baptist College,20,9976.0,10100.0,Conway,Faulkner,Arkansas,01-23-2021
47,Harding University,435,6141.0,6223.0,Searcy,White,Arkansas,01-23-2021
48,Henderson State University,172,1708.0,1739.0,Arkadelphia,Clark,Arkansas,01-23-2021
49,Hendrix College,22,9976.0,10100.0,Conway,Faulkner,Arkansas,01-23-2021
50,John Brown University,66,23721.0,24042.0,Siloam Springs,Benton,Arkansas,01-23-2021
51,Lyon College,22,3243.0,3352.0,Batesville,Independence,Arkansas,01-23-2021
52,National Park College,66,,,Hot Springs,,Arkansas,01-23-2021
53,North Arkansas College,76,3081.0,3155.0,Harrison,Boone,Arkansas,01-23-2021
54,NorthWest Arkansas Community College,34,23721.0,24042.0,Bentonville,Benton,Arkansas,01-23-2021
55,Ouachita Baptist University,197,1708.0,1739.0,Arkadelphia,Clark,Arkansas,01-23-2021
56,South Arkansas Community College,41,3076.0,3165.0,El Dorado,Union,Arkansas,01-23-2021
57,Southern Arkansas University,216,1805.0,1853.0,Magnolia,Columbia,Arkansas,01-23-2021
58,University of Arkansas,"2,742",1390.0,1417.0,Fayetteville,Washington,Arkansas,01-23-2021
59,University of Arkansas Community College Rich Mountain,19,1550.0,1603.0,Mena,Polk,Arkansas,01-23-2021
60,University of Arkansas Community College at Hope - Texarkana,32,3226.0,3254.0,Texarkana,Miller,Arkansas,01-23-2021
61,University of Arkansas Community College-Morrilton,34,1860.0,1883.0,Morrilton,Conway,Arkansas,01-23-2021
62,University of Arkansas at Fort Smith,192,12721.0,12926.0,Fort Smith,Sebastian,Arkansas,01-23-2021
63,University of Arkansas at Little Rock,218,31393.0,31871.0,Little Rock,Pulaski,Arkansas,01-23-2021
64,University of Arkansas at Monticello,106,1743.0,1772.0,Monticello,Drew,Arkansas,01-23-2021
65,University of Arkansas at Pine Bluff,201,63430.0,64437.0,Pine Bluff,Jefferson,Arkansas,01-23-2021
66,University of Arkansas for Medical Sciences,181,31393.0,31871.0,Little Rock,Pulaski,Arkansas,01-23-2021
67,University of Arkansas-Pulaski Technical College,108,31393.0,31871.0,North Little Rock,Pulaski,Arkansas,01-23-2021
68,University of Central Arkansas,563,9976.0,10100.0,Conway,Faulkner,Arkansas,01-23-2021
69,University of the Ozarks,63,2352.0,2378.0,Clarksville,Johnson,Arkansas,01-23-2021
70,Antelope Valley College,28,1050321.0,1065505.0,Lancaster,Los Angeles,California,01-23-2021
71,Azusa Pacific University,44,1050321.0,1065505.0,Azusa,Los Angeles,California,01-23-2021
72,Biola University,10,1050321.0,1065505.0,La Mirada,Los Angeles,California,01-23-2021
73,California Baptist University,25,255755.0,258532.0,Riverside,Riverside,California,01-23-2021
74,California Institute of Technology,48,1050321.0,1065505.0,Pasadena,Los Angeles,California,01-23-2021
75,California Lutheran University,22,63897.0,64404.0,Thousand Oaks,Ventura,California,01-23-2021
76,"California Polytechnic State University, San Luis Obispo",871,16286.0,16437.0,San Luis Obispo,San Luis Obispo,California,01-23-2021
77,"California State Polytechnic University, Pomona",22,1050321.0,1065505.0,Pomona,Los Angeles,California,01-23-2021
78,California State University Maritime Academy,8,26383.0,26494.0,Vallejo,Solano,California,01-23-2021
79,"California State University, Bakersfield",68,88505.0,89095.0,Bakersfield,Kern,California,01-23-2021
80,"California State University, Channel Islands",14,63897.0,64404.0,Camarillo,Ventura,California,01-23-2021
81,"California State University, Chico",233,9577.0,9711.0,Chico,Butte,California,01-23-2021
82,"California State University, Dominguez Hills",12,1050321.0,1065505.0,Carson,Los Angeles,California,01-23-2021
83,"California State University, East Bay",27,68807.0,69693.0,Hayward,Alameda,California,01-23-2021
84,"California State University, Fullerton",22,218868.0,221493.0,Fullerton,Orange,California,01-23-2021
85,"California State University, Long Beach",51,1050321.0,1065505.0,Long Beach,Los Angeles,California,01-23-2021
86,"California State University, Los Angeles",105,1050321.0,1065505.0,Los Angeles,Los Angeles,California,01-23-2021
87,"California State University, Monterey Bay",10,37026.0,37285.0,Marina,Monterey,California,01-23-2021
88,"California State University, Northridge",71,1050321.0,1065505.0,Los Angeles,Los Angeles,California,01-23-2021
89,"California State University, Sacramento",77,81704.0,82861.0,Sacramento,Sacramento,California,01-23-2021
90,"California State University, San Bernardino",28,261264.0,262858.0,San Bernardino,San Bernardino,California,01-23-2021
91,"California State University, San Marcos",45,223214.0,225558.0,San Marcos,San Diego,California,01-23-2021
