,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,17,7631.0,7709.0,Huntsville,Madison,Alabama,09-23-2020
1,Athens State University,2,2014.0,2033.0,Athens,Limestone,Alabama,09-23-2020
2,Auburn University*,"1,672",5731.0,5792.0,Auburn,Lee,Alabama,09-23-2020
3,Birmingham-Southern College,64,18957.0,19306.0,Birmingham,Jefferson,Alabama,09-23-2020
4,Calhoun Community College,20,2014.0,2033.0,Tanner,Limestone,Alabama,09-23-2020
5,Central Alabama Community College,16,1053.0,1138.0,Alexander City,Tallapoosa,Alabama,09-23-2020
6,Enterprise State Community College,5,1290.0,1298.0,Enterprise,Coffee,Alabama,09-23-2020
7,Gadsden State Community College,25,3355.0,3402.0,Gadsden,Etowah,Alabama,09-23-2020
8,Jacksonville State University,219,3361.0,3401.0,Jacksonville,Calhoun,Alabama,09-23-2020
9,Lurleen B. Wallace Community College,7,1307.0,1334.0,Andalusia,Covington,Alabama,09-23-2020
10,Marion Military Institute,3,533.0,539.0,Marion,Perry,Alabama,09-23-2020
11,Samford University,199,18957.0,19306.0,Birmingham,Jefferson,Alabama,09-23-2020
12,Snead State Community College,11,3355.0,3402.0,Boaz,Etowah,Alabama,09-23-2020
13,Southern Union State Community College,45,614.0,627.0,Wadley,Randolph,Alabama,09-23-2020
14,Troy University,112,1170.0,1179.0,Troy,Pike,Alabama,09-23-2020
15,Troy University Dothan,6,2741.0,2764.0,Dothan,Houston,Alabama,09-23-2020
16,Troy University Montgomery,4,8571.0,8748.0,Montgomery,Montgomery,Alabama,09-23-2020
17,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,09-23-2020
18,Tuskegee University,41,,,Tuskeegee,,Alabama,09-23-2020
19,University of Alabama,"2,225",7302.0,7418.0,Tuscaloosa,Tuscaloosa,Alabama,09-23-2020
20,University of Alabama at Birmingham*,"1,105",18957.0,19306.0,Birmingham,Jefferson,Alabama,09-23-2020
21,University of Alabama in Huntsville,24,7631.0,7709.0,Huntsville,Madison,Alabama,09-23-2020
