,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,23384.0,23563.0,Huntsville,Madison,Alabama,01-04-2021
1,Alabama State University,2,16339.0,16615.0,Montgomery,Montgomery,Alabama,01-04-2021
2,Athens State University,35,7027.0,7085.0,Athens,Limestone,Alabama,01-04-2021
3,Auburn University*,"2,134",10581.0,10656.0,Auburn,Lee,Alabama,01-04-2021
4,Auburn University at Montgomery,140,16339.0,16615.0,Montgomery,Montgomery,Alabama,01-04-2021
5,Bevill State Community College,4,5239.0,5377.0,Jasper,Walker,Alabama,01-04-2021
6,Birmingham-Southern College,214,53627.0,54349.0,Birmingham,Jefferson,Alabama,01-04-2021
7,Calhoun Community College,84,7027.0,7085.0,Tanner,Limestone,Alabama,01-04-2021
8,Central Alabama Community College,39,2320.0,2418.0,Alexander City,Tallapoosa,Alabama,01-04-2021
9,Enterprise State Community College,41,3704.0,3742.0,Enterprise,Coffee,Alabama,01-04-2021
10,Gadsden State Community College,62,10268.0,10364.0,Gadsden,Etowah,Alabama,01-04-2021
11,Jacksonville State University,219,9595.0,9752.0,Jacksonville,Calhoun,Alabama,01-04-2021
12,Lurleen B. Wallace Community College,19,2922.0,2962.0,Andalusia,Covington,Alabama,01-04-2021
13,Marion Military Institute,13,877.0,887.0,Marion,Perry,Alabama,01-04-2021
14,Samford University,480,53627.0,54349.0,Birmingham,Jefferson,Alabama,01-04-2021
15,Snead State Community College,19,10268.0,10364.0,Boaz,Etowah,Alabama,01-04-2021
16,Southern Union State Community College,59,1250.0,1280.0,Wadley,Randolph,Alabama,01-04-2021
17,Spring Hill College,124,26344.0,26854.0,Mobile,Mobile,Alabama,01-04-2021
18,Troy University,749,2019.0,2042.0,Troy,Pike,Alabama,01-04-2021
19,Troy University Dothan,17,7520.0,7584.0,Dothan,Houston,Alabama,01-04-2021
20,Troy University Montgomery,18,16339.0,16615.0,Montgomery,Montgomery,Alabama,01-04-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,01-04-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,01-04-2021
23,University of Alabama,"3,361",18943.0,19161.0,Tuscaloosa,Tuscaloosa,Alabama,01-04-2021
24,University of Alabama at Birmingham*,"2,286",53627.0,54349.0,Birmingham,Jefferson,Alabama,01-04-2021
25,University of Alabama in Huntsville,210,23384.0,23563.0,Huntsville,Madison,Alabama,01-04-2021
26,University of Montevallo,140,16220.0,16323.0,Montevallo,Shelby,Alabama,01-04-2021
27,University of North Alabama,488,6632.0,6702.0,Florence,Lauderdale,Alabama,01-04-2021
28,University of South Alabama,507,26344.0,26854.0,Mobile,Mobile,Alabama,01-04-2021
29,University of West Alabama,30,841.0,865.0,Livingston,Sumter,Alabama,01-04-2021
30,University of Alaska Anchorage,12,23255.0,23378.0,Anchorage,Anchorage,Alaska,01-04-2021
31,University of Alaska Fairbanks,130,5046.0,5066.0,Fairbanks,Fairbanks North Star,Alaska,01-04-2021
32,University of Alaska Southeast,1,1054.0,1059.0,Juneau,Juneau,Alaska,01-04-2021
33,Arizona State University,"3,642",340942.0,346183.0,Tempe,Maricopa,Arizona,01-04-2021
34,Arizona Western College,41,28581.0,29109.0,Yuma,Yuma,Arizona,01-04-2021
35,Dine College,5,7541.0,7785.0,Tsaile,Apache,Arizona,01-04-2021
36,Embry-Riddle Aeronautical University at Prescott,54,11939.0,12160.0,Prescott,Yavapai,Arizona,01-04-2021
37,Grand Canyon University,"1,372",340942.0,346183.0,Phoenix,Maricopa,Arizona,01-04-2021
38,Midwestern University at Glendale,158,340942.0,346183.0,Glendale,Maricopa,Arizona,01-04-2021
39,Northern Arizona University,354,11539.0,11753.0,Flagstaff,Coconino,Arizona,01-04-2021
40,University of Arizona,"2,959",73879.0,74963.0,Tucson,Pima,Arizona,01-04-2021
41,Arkansas Northeastern College,56,4385.0,4482.0,Blytheville,Mississippi,Arkansas,01-04-2021
42,Arkansas State University,"1,153",10208.0,10350.0,Jonesboro,Craighead,Arkansas,01-04-2021
43,Arkansas State University-Newport,43,5231.0,5265.0,Newport,Jackson,Arkansas,01-04-2021
44,Arkansas Tech University,402,5694.0,5755.0,Russellville,Pope,Arkansas,01-04-2021
45,Black River Technical College,85,1250.0,1280.0,Pocahontas,Randolph,Arkansas,01-04-2021
46,Central Baptist College,20,7982.0,8076.0,Conway,Faulkner,Arkansas,01-04-2021
47,Harding University,435,4993.0,5065.0,Searcy,White,Arkansas,01-04-2021
48,Henderson State University,172,1395.0,1419.0,Arkadelphia,Clark,Arkansas,01-04-2021
49,Hendrix College,22,7982.0,8076.0,Conway,Faulkner,Arkansas,01-04-2021
50,John Brown University,66,18632.0,18907.0,Siloam Springs,Benton,Arkansas,01-04-2021
51,Lyon College,22,2767.0,2861.0,Batesville,Independence,Arkansas,01-04-2021
52,National Park College,66,,,Hot Springs,,Arkansas,01-04-2021
53,North Arkansas College,76,2594.0,2663.0,Harrison,Boone,Arkansas,01-04-2021
54,NorthWest Arkansas Community College,34,18632.0,18907.0,Bentonville,Benton,Arkansas,01-04-2021
55,Ouachita Baptist University,197,1395.0,1419.0,Arkadelphia,Clark,Arkansas,01-04-2021
56,South Arkansas Community College,41,2504.0,2577.0,El Dorado,Union,Arkansas,01-04-2021
57,Southern Arkansas University,216,1555.0,1599.0,Magnolia,Columbia,Arkansas,01-04-2021
58,University of Arkansas,"2,742",1210.0,1234.0,Fayetteville,Washington,Arkansas,01-04-2021
59,University of Arkansas Community College Rich Mountain,19,1260.0,1306.0,Mena,Polk,Arkansas,01-04-2021
60,University of Arkansas Community College at Hope - Texarkana,32,2797.0,2822.0,Texarkana,Miller,Arkansas,01-04-2021
61,University of Arkansas Community College-Morrilton,34,1417.0,1434.0,Morrilton,Conway,Arkansas,01-04-2021
62,University of Arkansas at Fort Smith,192,9888.0,10046.0,Fort Smith,Sebastian,Arkansas,01-04-2021
63,University of Arkansas at Little Rock,218,25554.0,25953.0,Little Rock,Pulaski,Arkansas,01-04-2021
64,University of Arkansas at Monticello,106,1490.0,1510.0,Monticello,Drew,Arkansas,01-04-2021
65,University of Arkansas at Pine Bluff,201,53627.0,54349.0,Pine Bluff,Jefferson,Arkansas,01-04-2021
66,University of Arkansas for Medical Sciences,181,25554.0,25953.0,Little Rock,Pulaski,Arkansas,01-04-2021
