,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,9976.0,10078.0,Huntsville,Madison,Alabama,11-05-2020
1,Athens State University,2,3195.0,3231.0,Athens,Limestone,Alabama,11-05-2020
2,Auburn University*,"2,019",6747.0,6812.0,Auburn,Lee,Alabama,11-05-2020
3,Auburn University at Montgomery,59,10722.0,10937.0,Montgomery,Montgomery,Alabama,11-05-2020
4,Bevill State Community College,4,2988.0,3083.0,Jasper,Walker,Alabama,11-05-2020
5,Birmingham-Southern College,180,24768.0,25159.0,Birmingham,Jefferson,Alabama,11-05-2020
6,Calhoun Community College,31,3195.0,3231.0,Tanner,Limestone,Alabama,11-05-2020
7,Central Alabama Community College,24,1356.0,1443.0,Alexander City,Tallapoosa,Alabama,11-05-2020
8,Enterprise State Community College,31,1909.0,1920.0,Enterprise,Coffee,Alabama,11-05-2020
9,Gadsden State Community College,37,4688.0,4745.0,Gadsden,Etowah,Alabama,11-05-2020
10,Jacksonville State University,219,4973.0,5039.0,Jacksonville,Calhoun,Alabama,11-05-2020
11,Lurleen B. Wallace Community College,9,1880.0,1912.0,Andalusia,Covington,Alabama,11-05-2020
12,Marion Military Institute,5,608.0,614.0,Marion,Perry,Alabama,11-05-2020
13,Samford University,370,24768.0,25159.0,Birmingham,Jefferson,Alabama,11-05-2020
14,Snead State Community College,11,4688.0,4745.0,Boaz,Etowah,Alabama,11-05-2020
15,Southern Union State Community College,59,863.0,879.0,Wadley,Randolph,Alabama,11-05-2020
16,Spring Hill College,112,17267.0,17591.0,Mobile,Mobile,Alabama,11-05-2020
17,Troy University,547,1396.0,1410.0,Troy,Pike,Alabama,11-05-2020
18,Troy University Dothan,12,4373.0,4408.0,Dothan,Houston,Alabama,11-05-2020
19,Troy University Montgomery,13,10722.0,10937.0,Montgomery,Montgomery,Alabama,11-05-2020
20,Troy University-Phenix City Campus,8,,,Phenix,,Alabama,11-05-2020
21,Tuskegee University,62,,,Tuskeegee,,Alabama,11-05-2020
22,University of Alabama,"2,882",10831.0,10976.0,Tuscaloosa,Tuscaloosa,Alabama,11-05-2020
23,University of Alabama at Birmingham*,"1,562",24768.0,25159.0,Birmingham,Jefferson,Alabama,11-05-2020
24,University of Alabama in Huntsville,91,9976.0,10078.0,Huntsville,Madison,Alabama,11-05-2020
25,University of Montevallo,101,7947.0,8017.0,Montevallo,Shelby,Alabama,11-05-2020
26,University of North Alabama,301,2790.0,2835.0,Florence,Lauderdale,Alabama,11-05-2020
27,University of South Alabama,322,17267.0,17591.0,Mobile,Mobile,Alabama,11-05-2020
28,University of Alaska Anchorage,7,9202.0,9253.0,Anchorage,Anchorage,Alaska,11-05-2020
29,University of Alaska Fairbanks,85,2455.0,2471.0,Fairbanks,Fairbanks North Star,Alaska,11-05-2020
30,University of Alaska Southeast,1,628.0,631.0,Juneau,Juneau,Alaska,11-05-2020
31,Arizona State University,"2,369",159286.0,162958.0,Tempe,Maricopa,Arizona,11-05-2020
32,Arizona Western College,5,13858.0,14219.0,Yuma,Yuma,Arizona,11-05-2020
33,Dine College,7,3887.0,4066.0,Tsaile,Apache,Arizona,11-05-2020
34,Embry-Riddle Aeronautical University at Prescott,37,3042.0,3134.0,Prescott,Yavapai,Arizona,11-05-2020
35,Grand Canyon University,80,159286.0,162958.0,Phoenix,Maricopa,Arizona,11-05-2020
36,Midwestern University at Glendale,66,159286.0,162958.0,Glendale,Maricopa,Arizona,11-05-2020
37,Northern Arizona University,215,5457.0,5606.0,Flagstaff,Coconino,Arizona,11-05-2020
38,University of Arizona,"2,433",28806.0,29456.0,Tucson,Pima,Arizona,11-05-2020
39,Arkansas Northeastern College,28,2441.0,2511.0,Blytheville,Mississippi,Arkansas,11-05-2020
40,Arkansas State University,618,5141.0,5193.0,Jonesboro,Craighead,Arkansas,11-05-2020
41,Arkansas Tech University,293,2886.0,2924.0,Russellville,Pope,Arkansas,11-05-2020
42,Black River Technical College,51,863.0,879.0,Pocahontas,Randolph,Arkansas,11-05-2020
43,Harding University,250,1761.0,1798.0,Searcy,White,Arkansas,11-05-2020
44,Henderson State University,108,558.0,564.0,Arkadelphia,Clark,Arkansas,11-05-2020
45,Hendrix College,15,3606.0,3648.0,Conway,Faulkner,Arkansas,11-05-2020
46,John Brown University,35,8933.0,9060.0,Siloam Springs,Benton,Arkansas,11-05-2020
47,Lyon College,12,1511.0,1573.0,Batesville,Independence,Arkansas,11-05-2020
48,National Park College,29,,,Hot Springs,,Arkansas,11-05-2020
49,NorthWest Arkansas Community College,13,8933.0,9060.0,Bentonville,Benton,Arkansas,11-05-2020
50,Ouachita Baptist University,130,558.0,564.0,Arkadelphia,Clark,Arkansas,11-05-2020
51,Southern Arkansas University,125,755.0,777.0,Magnolia,Columbia,Arkansas,11-05-2020
52,University of Arkansas,"2,167",782.0,794.0,Fayetteville,Washington,Arkansas,11-05-2020
53,University of Arkansas Community College Rich Mountain,19,405.0,410.0,Mena,Polk,Arkansas,11-05-2020
54,University of Arkansas Community College at Hope - Texarkana,16,1707.0,1729.0,Texarkana,Miller,Arkansas,11-05-2020
55,University of Arkansas Community College-Morrilton,34,378.0,382.0,Morrilton,Conway,Arkansas,11-05-2020
56,University of Arkansas at Fort Smith,79,5192.0,5297.0,Fort Smith,Sebastian,Arkansas,11-05-2020
57,University of Arkansas at Little Rock,130,12637.0,12863.0,Little Rock,Pulaski,Arkansas,11-05-2020
58,University of Arkansas at Monticello,34,457.0,464.0,Monticello,Drew,Arkansas,11-05-2020
59,University of Arkansas at Pine Bluff,139,24768.0,25159.0,Pine Bluff,Jefferson,Arkansas,11-05-2020
60,University of Arkansas for Medical Sciences,57,12637.0,12863.0,Little Rock,Pulaski,Arkansas,11-05-2020
61,University of Central Arkansas,332,3606.0,3648.0,Conway,Faulkner,Arkansas,11-05-2020
62,University of the Ozarks,43,1066.0,1075.0,Clarksville,Johnson,Arkansas,11-05-2020
63,Antelope Valley College,10,308424.0,315564.0,Lancaster,Los Angeles,California,11-05-2020
64,Biola University,6,308424.0,315564.0,La Mirada,Los Angeles,California,11-05-2020
65,California Institute of Technology,25,308424.0,315564.0,Pasadena,Los Angeles,California,11-05-2020
66,California Lutheran University,6,14769.0,14936.0,Thousand Oaks,Ventura,California,11-05-2020
67,"California Polytechnic State University, San Luis Obispo",217,4389.0,4422.0,San Luis Obispo,San Luis Obispo,California,11-05-2020
68,"California State Polytechnic University, Pomona",15,308424.0,315564.0,Pomona,Los Angeles,California,11-05-2020
69,California State University Maritime Academy,3,7920.0,7996.0,Vallejo,Solano,California,11-05-2020
70,"California State University, Bakersfield",5,34353.0,34779.0,Bakersfield,Kern,California,11-05-2020
71,"California State University, Channel Islands",6,14769.0,14936.0,Camarillo,Ventura,California,11-05-2020
72,"California State University, Chico",199,3164.0,3218.0,Chico,Butte,California,11-05-2020
73,"California State University, Dominguez Hills",9,308424.0,315564.0,Carson,Los Angeles,California,11-05-2020
74,"California State University, East Bay",21,23905.0,24370.0,Hayward,Alameda,California,11-05-2020
75,"California State University, Fullerton",7,59618.0,61112.0,Fullerton,Orange,California,11-05-2020
76,"California State University, Long Beach",32,308424.0,315564.0,Long Beach,Los Angeles,California,11-05-2020
77,"California State University, Los Angeles",83,308424.0,315564.0,Los Angeles,Los Angeles,California,11-05-2020
78,"California State University, Monterey Bay",5,11857.0,11956.0,Marina,Monterey,California,11-05-2020
79,"California State University, Northridge",36,308424.0,315564.0,Los Angeles,Los Angeles,California,11-05-2020
80,"California State University, Sacramento",36,26537.0,27043.0,Sacramento,Sacramento,California,11-05-2020
81,"California State University, San Bernardino",30,66104.0,67196.0,San Bernardino,San Bernardino,California,11-05-2020
82,"California State University, San Marcos",26,57732.0,58636.0,San Marcos,San Diego,California,11-05-2020
83,"California State University, Stanislaus",11,17799.0,18204.0,Turlock,Stanislaus,California,11-05-2020
84,Chapman University,37,59618.0,61112.0,Orange,Orange,California,11-05-2020
85,Concordia University Irvine,10,59618.0,61112.0,Irvine,Orange,California,11-05-2020
86,Cypress College,9,59618.0,61112.0,Cypress,Orange,California,11-05-2020
87,Dominican University of California,3,7070.0,7197.0,San Rafael,Marin,California,11-05-2020
88,Feather River College,7,90.0,90.0,Quincy,Plumas,California,11-05-2020
89,Fresno State University,27,31505.0,31952.0,Fresno,Fresno,California,11-05-2020
90,Harvey Mudd College,5,308424.0,315564.0,Claremont,Los Angeles,California,11-05-2020
91,Holy Names University,2,23905.0,24370.0,Oakland,Alameda,California,11-05-2020
92,Humboldt State University,11,589.0,599.0,Arcata,Humboldt,California,11-05-2020
93,Los Angeles Community College District‡,171,308424.0,315564.0,Los Angeles,Los Angeles,California,11-05-2020
94,Loyola Marymount University,1,308424.0,315564.0,Los Angeles,Los Angeles,California,11-05-2020
95,Menlo College,3,11468.0,11629.0,Atherton,San Mateo,California,11-05-2020
96,Mills College,3,23905.0,24370.0,Oakland,Alameda,California,11-05-2020
97,MiraCosta College,8,57732.0,58636.0,Oceanside,San Diego,California,11-05-2020
98,Occidental College,5,308424.0,315564.0,Los Angeles,Los Angeles,California,11-05-2020
99,Pepperdine University,23,308424.0,315564.0,Malibu,Los Angeles,California,11-05-2020
100,Pitzer College,1,308424.0,315564.0,Claremont,Los Angeles,California,11-05-2020
101,Point Loma Nazarene University,26,57732.0,58636.0,San Diego,San Diego,California,11-05-2020
102,Pomona College,1,308424.0,315564.0,Claremont,Los Angeles,California,11-05-2020
103,Rio Hondo College*,18,308424.0,315564.0,Whittier,Los Angeles,California,11-05-2020
