,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,7925.0,8005.0,Huntsville,Madison,Alabama,09-30-2020
1,Athens State University,2,2137.0,2157.0,Athens,Limestone,Alabama,09-30-2020
2,Auburn University*,"1,912",5956.0,6017.0,Auburn,Lee,Alabama,09-30-2020
3,Birmingham-Southern College,106,19869.0,20221.0,Birmingham,Jefferson,Alabama,09-30-2020
4,Calhoun Community College,23,2137.0,2157.0,Tanner,Limestone,Alabama,09-30-2020
5,Central Alabama Community College,21,1088.0,1173.0,Alexander City,Tallapoosa,Alabama,09-30-2020
6,Enterprise State Community College,19,1387.0,1393.0,Enterprise,Coffee,Alabama,09-30-2020
7,Gadsden State Community College,31,3530.0,3575.0,Gadsden,Etowah,Alabama,09-30-2020
8,Jacksonville State University,219,3525.0,3569.0,Jacksonville,Calhoun,Alabama,09-30-2020
9,Lurleen B. Wallace Community College,9,1388.0,1416.0,Andalusia,Covington,Alabama,09-30-2020
10,Marion Military Institute,3,537.0,543.0,Marion,Perry,Alabama,09-30-2020
11,Samford University,237,19869.0,20221.0,Birmingham,Jefferson,Alabama,09-30-2020
12,Snead State Community College,11,3530.0,3575.0,Boaz,Etowah,Alabama,09-30-2020
13,Southern Union State Community College,48,659.0,672.0,Wadley,Randolph,Alabama,09-30-2020
14,Spring Hill College,69,13263.0,13558.0,Mobile,Mobile,Alabama,09-30-2020
15,Troy University,141,1209.0,1220.0,Troy,Pike,Alabama,09-30-2020
16,Troy University Dothan,8,2933.0,2954.0,Dothan,Houston,Alabama,09-30-2020
17,Troy University Montgomery,5,8707.0,8894.0,Montgomery,Montgomery,Alabama,09-30-2020
18,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,09-30-2020
19,Tuskegee University,41,,,Tuskeegee,,Alabama,09-30-2020
20,University of Alabama,"2,690",8911.0,9029.0,Tuscaloosa,Tuscaloosa,Alabama,09-30-2020
21,University of Alabama at Birmingham*,"1,239",19869.0,20221.0,Birmingham,Jefferson,Alabama,09-30-2020
22,University of Alabama in Huntsville,55,7925.0,8005.0,Huntsville,Madison,Alabama,09-30-2020
23,University of Montevallo,81,6114.0,6164.0,Montevallo,Shelby,Alabama,09-30-2020
