,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,16598.0,16760.0,Huntsville,Madison,Alabama,12-12-2020
1,Alabama State University,2,13411.0,13671.0,Montgomery,Montgomery,Alabama,12-12-2020
2,Athens State University,35,5195.0,5244.0,Athens,Limestone,Alabama,12-12-2020
3,Auburn University*,"2,134",8602.0,8675.0,Auburn,Lee,Alabama,12-12-2020
4,Auburn University at Montgomery,140,13411.0,13671.0,Montgomery,Montgomery,Alabama,12-12-2020
5,Bevill State Community College,4,4283.0,4396.0,Jasper,Walker,Alabama,12-12-2020
6,Birmingham-Southern College,214,39674.0,40232.0,Birmingham,Jefferson,Alabama,12-12-2020
7,Calhoun Community College,84,5195.0,5244.0,Tanner,Limestone,Alabama,12-12-2020
8,Central Alabama Community College,39,1953.0,2046.0,Alexander City,Tallapoosa,Alabama,12-12-2020
9,Enterprise State Community College,41,2861.0,2886.0,Enterprise,Coffee,Alabama,12-12-2020
10,Gadsden State Community College,62,7839.0,7919.0,Gadsden,Etowah,Alabama,12-12-2020
11,Jacksonville State University,219,7631.0,7760.0,Jacksonville,Calhoun,Alabama,12-12-2020
12,Lurleen B. Wallace Community College,19,2479.0,2517.0,Andalusia,Covington,Alabama,12-12-2020
13,Marion Military Institute,13,729.0,738.0,Marion,Perry,Alabama,12-12-2020
14,Samford University,480,39674.0,40232.0,Birmingham,Jefferson,Alabama,12-12-2020
15,Snead State Community College,19,7839.0,7919.0,Boaz,Etowah,Alabama,12-12-2020
16,Southern Union State Community College,59,1093.0,1121.0,Wadley,Randolph,Alabama,12-12-2020
17,Spring Hill College,124,21645.0,22034.0,Mobile,Mobile,Alabama,12-12-2020
18,Troy University,749,1715.0,1731.0,Troy,Pike,Alabama,12-12-2020
19,Troy University Dothan,17,5972.0,6024.0,Dothan,Houston,Alabama,12-12-2020
20,Troy University Montgomery,18,13411.0,13671.0,Montgomery,Montgomery,Alabama,12-12-2020
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,12-12-2020
22,Tuskegee University,110,,,Tuskeegee,,Alabama,12-12-2020
23,University of Alabama,"3,361",15180.0,15373.0,Tuscaloosa,Tuscaloosa,Alabama,12-12-2020
24,University of Alabama at Birmingham*,"2,286",39674.0,40232.0,Birmingham,Jefferson,Alabama,12-12-2020
25,University of Alabama in Huntsville,210,16598.0,16760.0,Huntsville,Madison,Alabama,12-12-2020
26,University of Montevallo,140,12464.0,12551.0,Montevallo,Shelby,Alabama,12-12-2020
27,University of North Alabama,488,4944.0,5005.0,Florence,Lauderdale,Alabama,12-12-2020
