,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,8292.0,8375.0,Huntsville,Madison,Alabama,10-08-2020
1,Athens State University,2,2373.0,2396.0,Athens,Limestone,Alabama,10-08-2020
2,Auburn University*,"1,912",6179.0,6243.0,Auburn,Lee,Alabama,10-08-2020
3,Birmingham-Southern College,106,20606.0,20965.0,Birmingham,Jefferson,Alabama,10-08-2020
4,Calhoun Community College,23,2373.0,2396.0,Tanner,Limestone,Alabama,10-08-2020
5,Central Alabama Community College,21,1126.0,1211.0,Alexander City,Tallapoosa,Alabama,10-08-2020
6,Enterprise State Community College,19,1491.0,1497.0,Enterprise,Coffee,Alabama,10-08-2020
7,Gadsden State Community College,31,3681.0,3726.0,Gadsden,Etowah,Alabama,10-08-2020
8,Jacksonville State University,219,3707.0,3752.0,Jacksonville,Calhoun,Alabama,10-08-2020
9,Lurleen B. Wallace Community College,9,1486.0,1514.0,Andalusia,Covington,Alabama,10-08-2020
10,Marion Military Institute,3,541.0,547.0,Marion,Perry,Alabama,10-08-2020
11,Samford University,237,20606.0,20965.0,Birmingham,Jefferson,Alabama,10-08-2020
12,Snead State Community College,11,3681.0,3726.0,Boaz,Etowah,Alabama,10-08-2020
13,Southern Union State Community College,48,710.0,723.0,Wadley,Randolph,Alabama,10-08-2020
14,Spring Hill College,69,13521.0,13829.0,Mobile,Mobile,Alabama,10-08-2020
15,Troy University,141,1242.0,1254.0,Troy,Pike,Alabama,10-08-2020
16,Troy University Dothan,8,3403.0,3428.0,Dothan,Houston,Alabama,10-08-2020
17,Troy University Montgomery,5,8919.0,9107.0,Montgomery,Montgomery,Alabama,10-08-2020
18,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,10-08-2020
19,Tuskegee University,41,,,Tuskeegee,,Alabama,10-08-2020
20,University of Alabama,"2,690",9240.0,9364.0,Tuscaloosa,Tuscaloosa,Alabama,10-08-2020
21,University of Alabama at Birmingham*,"1,239",20606.0,20965.0,Birmingham,Jefferson,Alabama,10-08-2020
22,University of Alabama in Huntsville,55,8292.0,8375.0,Huntsville,Madison,Alabama,10-08-2020
23,University of Montevallo,81,6441.0,6497.0,Montevallo,Shelby,Alabama,10-08-2020
24,University of North Alabama,244,1843.0,1880.0,Florence,Lauderdale,Alabama,10-08-2020
25,University of South Alabama,220,13521.0,13829.0,Mobile,Mobile,Alabama,10-08-2020
26,University of Alaska Anchorage,4,5015.0,5053.0,Anchorage,Anchorage,Alaska,10-08-2020
27,University of Alaska Fairbanks,44,1404.0,1415.0,Fairbanks,Fairbanks North Star,Alaska,10-08-2020
28,University of Alaska Southeast,1,304.0,306.0,Juneau,Juneau,Alaska,10-08-2020
29,Arizona State University,"1,701",141413.0,144867.0,Tempe,Maricopa,Arizona,10-08-2020
30,Arizona Western College,5,12547.0,12894.0,Yuma,Yuma,Arizona,10-08-2020
31,Embry-Riddle Aeronautical University at Prescott,31,2588.0,2672.0,Prescott,Yavapai,Arizona,10-08-2020
32,Grand Canyon University,55,141413.0,144867.0,Phoenix,Maricopa,Arizona,10-08-2020
33,Midwestern University at Glendale,61,141413.0,144867.0,Glendale,Maricopa,Arizona,10-08-2020
34,Northern Arizona University,116,4241.0,4385.0,Flagstaff,Coconino,Arizona,10-08-2020
35,University of Arizona†,"2,149",25587.0,26217.0,Tucson,Pima,Arizona,10-08-2020
36,Arkansas State University,143,3423.0,3451.0,Jonesboro,Craighead,Arkansas,10-08-2020
37,Arkansas Tech University,6,2296.0,2332.0,Russellville,Pope,Arkansas,10-08-2020
38,Harding University,17,1018.0,1047.0,Searcy,White,Arkansas,10-08-2020
39,Henderson State University,59,405.0,409.0,Arkadelphia,Clark,Arkansas,10-08-2020
40,Hendrix College,6,2808.0,2831.0,Conway,Faulkner,Arkansas,10-08-2020
41,John Brown University,29,6967.0,7065.0,Siloam Springs,Benton,Arkansas,10-08-2020
42,Lyon College,6,1243.0,1269.0,Batesville,Independence,Arkansas,10-08-2020
43,National Park College,10,,,Hot Springs,,Arkansas,10-08-2020
44,NorthWest Arkansas Community College,2,6967.0,7065.0,Bentonville,Benton,Arkansas,10-08-2020
45,Ouachita Baptist University,89,405.0,409.0,Arkadelphia,Clark,Arkansas,10-08-2020
46,Southern Arkansas University,99,577.0,595.0,Magnolia,Columbia,Arkansas,10-08-2020
47,University of Arkansas,"1,572",576.0,588.0,Fayetteville,Washington,Arkansas,10-08-2020
48,University of Arkansas Community College Rich Mountain,2,298.0,302.0,Mena,Polk,Arkansas,10-08-2020
49,University of Arkansas at Little Rock,98,9961.0,10130.0,Little Rock,Pulaski,Arkansas,10-08-2020
50,University of Arkansas at Monticello,16,365.0,372.0,Monticello,Drew,Arkansas,10-08-2020
51,University of Arkansas at Pine Bluff,139,20606.0,20965.0,Pine Bluff,Jefferson,Arkansas,10-08-2020
52,University of Arkansas-Fort Smith,42,4040.0,4107.0,Fort Smith,Sebastian,Arkansas,10-08-2020
53,University of Central Arkansas†,115,2808.0,2831.0,Conway,Faulkner,Arkansas,10-08-2020
54,University of the Ozarks,37,889.0,896.0,Clarksville,Johnson,Arkansas,10-08-2020
55,Antelope Valley College,9,271939.0,278665.0,Lancaster,Los Angeles,California,10-08-2020
56,Biola University,2,271939.0,278665.0,La Mirada,Los Angeles,California,10-08-2020
57,California Institute of Technology,22,271939.0,278665.0,Pasadena,Los Angeles,California,10-08-2020
58,California Lutheran University,5,13176.0,13333.0,Thousand Oaks,Ventura,California,10-08-2020
