,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,9459.0,9557.0,Huntsville,Madison,Alabama,10-29-2020
1,Athens State University,2,2939.0,2970.0,Athens,Limestone,Alabama,10-29-2020
2,Auburn University*,"2,019",6584.0,6649.0,Auburn,Lee,Alabama,10-29-2020
3,Auburn University at Montgomery,59,10304.0,10503.0,Montgomery,Montgomery,Alabama,10-29-2020
4,Bevill State Community College,4,2781.0,2874.0,Jasper,Walker,Alabama,10-29-2020
5,Birmingham-Southern College,180,23555.0,23940.0,Birmingham,Jefferson,Alabama,10-29-2020
6,Calhoun Community College,31,2939.0,2970.0,Tanner,Limestone,Alabama,10-29-2020
7,Central Alabama Community College,24,1285.0,1372.0,Alexander City,Tallapoosa,Alabama,10-29-2020
8,Enterprise State Community College,31,1825.0,1836.0,Enterprise,Coffee,Alabama,10-29-2020
9,Gadsden State Community College,37,4367.0,4419.0,Gadsden,Etowah,Alabama,10-29-2020
10,Jacksonville State University,219,4703.0,4765.0,Jacksonville,Calhoun,Alabama,10-29-2020
11,Lurleen B. Wallace Community College,9,1744.0,1773.0,Andalusia,Covington,Alabama,10-29-2020
12,Marion Military Institute,5,593.0,599.0,Marion,Perry,Alabama,10-29-2020
13,Samford University,370,23555.0,23940.0,Birmingham,Jefferson,Alabama,10-29-2020
14,Snead State Community College,11,4367.0,4419.0,Boaz,Etowah,Alabama,10-29-2020
15,Southern Union State Community College,59,830.0,846.0,Wadley,Randolph,Alabama,10-29-2020
16,Spring Hill College,112,16804.0,17123.0,Mobile,Mobile,Alabama,10-29-2020
17,Troy University,547,1350.0,1364.0,Troy,Pike,Alabama,10-29-2020
18,Troy University Dothan,12,4205.0,4239.0,Dothan,Houston,Alabama,10-29-2020
19,Troy University Montgomery,13,10304.0,10503.0,Montgomery,Montgomery,Alabama,10-29-2020
20,Troy University-Phenix City Campus,8,,,Phenix,,Alabama,10-29-2020
