,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,8252.0,8332.0,Huntsville,Madison,Alabama,10-07-2020
1,Athens State University,2,2346.0,2368.0,Athens,Limestone,Alabama,10-07-2020
2,Auburn University*,"1,912",6155.0,6218.0,Auburn,Lee,Alabama,10-07-2020
3,Birmingham-Southern College,106,20585.0,20938.0,Birmingham,Jefferson,Alabama,10-07-2020
4,Calhoun Community College,23,2346.0,2368.0,Tanner,Limestone,Alabama,10-07-2020
5,Central Alabama Community College,21,1124.0,1209.0,Alexander City,Tallapoosa,Alabama,10-07-2020
6,Enterprise State Community College,19,1481.0,1486.0,Enterprise,Coffee,Alabama,10-07-2020
7,Gadsden State Community College,31,3681.0,3726.0,Gadsden,Etowah,Alabama,10-07-2020
8,Jacksonville State University,219,3698.0,3743.0,Jacksonville,Calhoun,Alabama,10-07-2020
9,Lurleen B. Wallace Community College,9,1467.0,1495.0,Andalusia,Covington,Alabama,10-07-2020
10,Marion Military Institute,3,540.0,546.0,Marion,Perry,Alabama,10-07-2020
11,Samford University,237,20585.0,20938.0,Birmingham,Jefferson,Alabama,10-07-2020
12,Snead State Community College,11,3681.0,3726.0,Boaz,Etowah,Alabama,10-07-2020
13,Southern Union State Community College,48,703.0,716.0,Wadley,Randolph,Alabama,10-07-2020
14,Spring Hill College,69,13504.0,13811.0,Mobile,Mobile,Alabama,10-07-2020
15,Troy University,141,1234.0,1246.0,Troy,Pike,Alabama,10-07-2020
16,Troy University Dothan,8,3387.0,3412.0,Dothan,Houston,Alabama,10-07-2020
17,Troy University Montgomery,5,8895.0,9083.0,Montgomery,Montgomery,Alabama,10-07-2020
18,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,10-07-2020
19,Tuskegee University,41,,,Tuskeegee,,Alabama,10-07-2020
20,University of Alabama,"2,690",9231.0,9352.0,Tuscaloosa,Tuscaloosa,Alabama,10-07-2020
21,University of Alabama at Birmingham*,"1,239",20585.0,20938.0,Birmingham,Jefferson,Alabama,10-07-2020
22,University of Alabama in Huntsville,55,8252.0,8332.0,Huntsville,Madison,Alabama,10-07-2020
23,University of Montevallo,81,6429.0,6485.0,Montevallo,Shelby,Alabama,10-07-2020
24,University of North Alabama,244,1825.0,1862.0,Florence,Lauderdale,Alabama,10-07-2020
25,University of South Alabama,220,13504.0,13811.0,Mobile,Mobile,Alabama,10-07-2020
26,University of Alaska Anchorage,4,4961.0,4998.0,Anchorage,Anchorage,Alaska,10-07-2020
27,University of Alaska Fairbanks,44,1378.0,1389.0,Fairbanks,Fairbanks North Star,Alaska,10-07-2020
28,University of Alaska Southeast,1,304.0,306.0,Juneau,Juneau,Alaska,10-07-2020
29,Arizona State University,"1,701",140892.0,144342.0,Tempe,Maricopa,Arizona,10-07-2020
30,Arizona Western College,5,12536.0,12883.0,Yuma,Yuma,Arizona,10-07-2020
31,Embry-Riddle Aeronautical University at Prescott,31,2561.0,2645.0,Prescott,Yavapai,Arizona,10-07-2020
32,Grand Canyon University,55,140892.0,144342.0,Phoenix,Maricopa,Arizona,10-07-2020
33,Midwestern University at Glendale,61,140892.0,144342.0,Glendale,Maricopa,Arizona,10-07-2020
34,Northern Arizona University,116,4199.0,4343.0,Flagstaff,Coconino,Arizona,10-07-2020
35,University of Arizona†,"2,149",25463.0,26092.0,Tucson,Pima,Arizona,10-07-2020
36,Arkansas State University,143,3368.0,3396.0,Jonesboro,Craighead,Arkansas,10-07-2020
37,Arkansas Tech University,6,2250.0,2286.0,Russellville,Pope,Arkansas,10-07-2020
38,Harding University,17,984.0,1013.0,Searcy,White,Arkansas,10-07-2020
39,Henderson State University,59,397.0,401.0,Arkadelphia,Clark,Arkansas,10-07-2020
40,Hendrix College,6,2772.0,2795.0,Conway,Faulkner,Arkansas,10-07-2020
41,John Brown University,29,6891.0,6989.0,Siloam Springs,Benton,Arkansas,10-07-2020
42,Lyon College,6,1215.0,1241.0,Batesville,Independence,Arkansas,10-07-2020
43,National Park College,10,,,Hot Springs,,Arkansas,10-07-2020
44,NorthWest Arkansas Community College,2,6891.0,6989.0,Bentonville,Benton,Arkansas,10-07-2020
45,Ouachita Baptist University,89,397.0,401.0,Arkadelphia,Clark,Arkansas,10-07-2020
46,Southern Arkansas University,99,566.0,584.0,Magnolia,Columbia,Arkansas,10-07-2020
47,University of Arkansas,"1,572",575.0,587.0,Fayetteville,Washington,Arkansas,10-07-2020
