,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,31525.0,31957.0,Huntsville,Madison,Alabama,02-21-2021
1,Alabama State University,2,21813.0,22294.0,Montgomery,Montgomery,Alabama,02-21-2021
2,Athens State University,35,9134.0,9264.0,Athens,Limestone,Alabama,02-21-2021
3,Auburn University*,"2,134",14652.0,14798.0,Auburn,Lee,Alabama,02-21-2021
4,Auburn University at Montgomery,140,21813.0,22294.0,Montgomery,Montgomery,Alabama,02-21-2021
5,Bevill State Community College,4,6207.0,6447.0,Jasper,Walker,Alabama,02-21-2021
6,Birmingham-Southern College,214,68843.0,70177.0,Birmingham,Jefferson,Alabama,02-21-2021
7,Calhoun Community College,84,9134.0,9264.0,Tanner,Limestone,Alabama,02-21-2021
8,Central Alabama Community College,39,3379.0,3518.0,Alexander City,Tallapoosa,Alabama,02-21-2021
9,Enterprise State Community College,41,5112.0,5208.0,Enterprise,Coffee,Alabama,02-21-2021
10,Gadsden State Community College,62,12749.0,13056.0,Gadsden,Etowah,Alabama,02-21-2021
11,Jacksonville State University,219,12662.0,12940.0,Jacksonville,Calhoun,Alabama,02-21-2021
12,Lurleen B. Wallace Community College,19,3799.0,3901.0,Andalusia,Covington,Alabama,02-21-2021
13,Marion Military Institute,13,1018.0,1045.0,Marion,Perry,Alabama,02-21-2021
14,Samford University,480,68843.0,70177.0,Birmingham,Jefferson,Alabama,02-21-2021
15,Snead State Community College,19,12749.0,13056.0,Boaz,Etowah,Alabama,02-21-2021
16,Southern Union State Community College,59,1564.0,1604.0,Wadley,Randolph,Alabama,02-21-2021
17,Spring Hill College,124,34638.0,35345.0,Mobile,Mobile,Alabama,02-21-2021
18,Troy University,749,2842.0,2912.0,Troy,Pike,Alabama,02-21-2021
19,Troy University Dothan,17,9747.0,10002.0,Dothan,Houston,Alabama,02-21-2021
20,Troy University Montgomery,18,21813.0,22294.0,Montgomery,Montgomery,Alabama,02-21-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,02-21-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,02-21-2021
23,University of Alabama,"3,361",23379.0,23783.0,Tuscaloosa,Tuscaloosa,Alabama,02-21-2021
24,University of Alabama at Birmingham*,"2,286",68843.0,70177.0,Birmingham,Jefferson,Alabama,02-21-2021
25,University of Alabama in Huntsville,210,31525.0,31957.0,Huntsville,Madison,Alabama,02-21-2021
26,University of Montevallo,140,21400.0,21604.0,Montevallo,Shelby,Alabama,02-21-2021
27,University of North Alabama,488,8315.0,8523.0,Florence,Lauderdale,Alabama,02-21-2021
28,University of South Alabama,507,34638.0,35345.0,Mobile,Mobile,Alabama,02-21-2021
29,University of West Alabama,30,947.0,978.0,Livingston,Sumter,Alabama,02-21-2021
30,University of Alaska Anchorage,12,26205.0,26359.0,Anchorage,Anchorage,Alaska,02-21-2021
31,University of Alaska Fairbanks,130,6092.0,6118.0,Fairbanks,Fairbanks North Star,Alaska,02-21-2021
32,University of Alaska Southeast,1,1215.0,1220.0,Juneau,Juneau,Alaska,02-21-2021
33,Arizona State University,"3,642",496157.0,504992.0,Tempe,Maricopa,Arizona,02-21-2021
34,Arizona Western College,41,35515.0,36286.0,Yuma,Yuma,Arizona,02-21-2021
35,Dine College,5,9903.0,10268.0,Tsaile,Apache,Arizona,02-21-2021
36,Embry-Riddle Aeronautical University at Prescott,54,16447.0,16895.0,Prescott,Yavapai,Arizona,02-21-2021
37,Grand Canyon University,"1,372",496157.0,504992.0,Phoenix,Maricopa,Arizona,02-21-2021
38,Midwestern University at Glendale,158,496157.0,504992.0,Glendale,Maricopa,Arizona,02-21-2021
39,Northern Arizona University,354,15949.0,16256.0,Flagstaff,Coconino,Arizona,02-21-2021
40,University of Arizona,"2,959",106192.0,108341.0,Tucson,Pima,Arizona,02-21-2021
41,Arkansas Northeastern College,56,5404.0,5516.0,Blytheville,Mississippi,Arkansas,02-21-2021
42,Arkansas State University,"1,153",12505.0,12682.0,Jonesboro,Craighead,Arkansas,02-21-2021
43,Arkansas State University-Newport,43,6339.0,6438.0,Newport,Jackson,Arkansas,02-21-2021
44,Arkansas Tech University,402,7518.0,7619.0,Russellville,Pope,Arkansas,02-21-2021
45,Black River Technical College,85,1564.0,1604.0,Pocahontas,Randolph,Arkansas,02-21-2021
46,Central Baptist College,20,11416.0,11566.0,Conway,Faulkner,Arkansas,02-21-2021
47,Harding University,435,6958.0,7063.0,Searcy,White,Arkansas,02-21-2021
48,Henderson State University,172,1956.0,1992.0,Arkadelphia,Clark,Arkansas,02-21-2021
49,Hendrix College,22,11416.0,11566.0,Conway,Faulkner,Arkansas,02-21-2021
50,John Brown University,66,26331.0,26714.0,Siloam Springs,Benton,Arkansas,02-21-2021
51,Lyon College,22,3524.0,3644.0,Batesville,Independence,Arkansas,02-21-2021
52,National Park College,66,,,Hot Springs,,Arkansas,02-21-2021
53,North Arkansas College,76,3504.0,3582.0,Harrison,Boone,Arkansas,02-21-2021
54,NorthWest Arkansas Community College,34,26331.0,26714.0,Bentonville,Benton,Arkansas,02-21-2021
55,Ouachita Baptist University,197,1956.0,1992.0,Arkadelphia,Clark,Arkansas,02-21-2021
56,South Arkansas Community College,41,3510.0,3612.0,El Dorado,Union,Arkansas,02-21-2021
57,Southern Arkansas University,216,2046.0,2099.0,Magnolia,Columbia,Arkansas,02-21-2021
58,University of Arkansas,"2,742",1514.0,1546.0,Fayetteville,Washington,Arkansas,02-21-2021
59,University of Arkansas Community College Rich Mountain,19,1794.0,1856.0,Mena,Polk,Arkansas,02-21-2021
60,University of Arkansas Community College at Hope - Texarkana,32,3699.0,3732.0,Texarkana,Miller,Arkansas,02-21-2021
61,University of Arkansas Community College-Morrilton,34,2100.0,2131.0,Morrilton,Conway,Arkansas,02-21-2021
62,University of Arkansas at Fort Smith,192,14148.0,14406.0,Fort Smith,Sebastian,Arkansas,02-21-2021
63,University of Arkansas at Little Rock,218,36134.0,36706.0,Little Rock,Pulaski,Arkansas,02-21-2021
64,University of Arkansas at Monticello,106,1908.0,1943.0,Monticello,Drew,Arkansas,02-21-2021
65,University of Arkansas at Pine Bluff,201,68843.0,70177.0,Pine Bluff,Jefferson,Arkansas,02-21-2021
66,University of Arkansas for Medical Sciences,181,36134.0,36706.0,Little Rock,Pulaski,Arkansas,02-21-2021
67,University of Arkansas-Pulaski Technical College,108,36134.0,36706.0,North Little Rock,Pulaski,Arkansas,02-21-2021
68,University of Central Arkansas,563,11416.0,11566.0,Conway,Faulkner,Arkansas,02-21-2021
69,University of the Ozarks,63,2655.0,2686.0,Clarksville,Johnson,Arkansas,02-21-2021
70,Antelope Valley College,28,1160620.0,1180505.0,Lancaster,Los Angeles,California,02-21-2021
71,Azusa Pacific University,44,1160620.0,1180505.0,Azusa,Los Angeles,California,02-21-2021
72,Biola University,10,1160620.0,1180505.0,La Mirada,Los Angeles,California,02-21-2021
73,California Baptist University,25,283901.0,287534.0,Riverside,Riverside,California,02-21-2021
74,California Institute of Technology,48,1160620.0,1180505.0,Pasadena,Los Angeles,California,02-21-2021
75,California Lutheran University,22,75975.0,76757.0,Thousand Oaks,Ventura,California,02-21-2021
76,"California Polytechnic State University, San Luis Obispo",871,19123.0,19340.0,San Luis Obispo,San Luis Obispo,California,02-21-2021
77,"California State Polytechnic University, Pomona",22,1160620.0,1180505.0,Pomona,Los Angeles,California,02-21-2021
78,California State University Maritime Academy,8,29605.0,29766.0,Vallejo,Solano,California,02-21-2021
79,"California State University, Bakersfield",68,100965.0,101738.0,Bakersfield,Kern,California,02-21-2021
80,"California State University, Channel Islands",14,75975.0,76757.0,Camarillo,Ventura,California,02-21-2021
81,"California State University, Chico",233,10682.0,10838.0,Chico,Butte,California,02-21-2021
82,"California State University, Dominguez Hills",12,1160620.0,1180505.0,Carson,Los Angeles,California,02-21-2021
83,"California State University, East Bay",27,78339.0,79539.0,Hayward,Alameda,California,02-21-2021
84,"California State University, Fullerton",22,255495.0,259305.0,Fullerton,Orange,California,02-21-2021
85,"California State University, Long Beach",51,1160620.0,1180505.0,Long Beach,Los Angeles,California,02-21-2021
86,"California State University, Los Angeles",105,1160620.0,1180505.0,Los Angeles,Los Angeles,California,02-21-2021
87,"California State University, Monterey Bay",10,41569.0,41884.0,Marina,Monterey,California,02-21-2021
88,"California State University, Northridge",71,1160620.0,1180505.0,Los Angeles,Los Angeles,California,02-21-2021
89,"California State University, Sacramento",77,90626.0,92057.0,Sacramento,Sacramento,California,02-21-2021
90,"California State University, San Bernardino",28,282027.0,284639.0,San Bernardino,San Bernardino,California,02-21-2021
91,"California State University, San Marcos",45,253840.0,257030.0,San Marcos,San Diego,California,02-21-2021
92,"California State University, Stanislaus",20,54265.0,55191.0,Turlock,Stanislaus,California,02-21-2021
93,Chapman University,152,255495.0,259305.0,Orange,Orange,California,02-21-2021
94,Concordia University Irvine,23,255495.0,259305.0,Irvine,Orange,California,02-21-2021
95,Cypress College,19,255495.0,259305.0,Cypress,Orange,California,02-21-2021
96,Dominican University of California,8,12836.0,13031.0,San Rafael,Marin,California,02-21-2021
97,El Camino Community College,14,1160620.0,1180505.0,Torrance,Los Angeles,California,02-21-2021
98,Feather River College,7,643.0,649.0,Quincy,Plumas,California,02-21-2021
99,Fresno Pacific University,13,92867.0,94234.0,Fresno,Fresno,California,02-21-2021
100,Fresno State University,48,92867.0,94234.0,Fresno,Fresno,California,02-21-2021
101,Harvey Mudd College,5,1160620.0,1180505.0,Claremont,Los Angeles,California,02-21-2021
102,Holy Names University,7,78339.0,79539.0,Oakland,Alameda,California,02-21-2021
103,Humboldt State University,31,3041.0,3073.0,Arcata,Humboldt,California,02-21-2021
104,Los Angeles Community College District‡,180,1160620.0,1180505.0,Los Angeles,Los Angeles,California,02-21-2021
105,Loyola Marymount University,34,1160620.0,1180505.0,Los Angeles,Los Angeles,California,02-21-2021
106,Menlo College,10,37874.0,38371.0,Atherton,San Mateo,California,02-21-2021
107,Mills College,3,78339.0,79539.0,Oakland,Alameda,California,02-21-2021
108,MiraCosta College,12,253840.0,257030.0,Oceanside,San Diego,California,02-21-2021
109,Occidental College‡,10,1160620.0,1180505.0,Los Angeles,Los Angeles,California,02-21-2021
110,Pepperdine University,36,1160620.0,1180505.0,Malibu,Los Angeles,California,02-21-2021
111,Pitzer College,1,1160620.0,1180505.0,Claremont,Los Angeles,California,02-21-2021
112,Point Loma Nazarene University‡,90,253840.0,257030.0,San Diego,San Diego,California,02-21-2021
113,Pomona College,16,1160620.0,1180505.0,Claremont,Los Angeles,California,02-21-2021
114,Rio Hondo College*,31,1160620.0,1180505.0,Whittier,Los Angeles,California,02-21-2021
115,Saint Mary's College of California,15,60974.0,61628.0,Moraga,Contra Costa,California,02-21-2021
116,San Diego City College,7,253840.0,257030.0,San Diego,San Diego,California,02-21-2021
117,San Diego Mesa College,2,253840.0,257030.0,San Diego,San Diego,California,02-21-2021
118,San Diego Miramar College,5,253840.0,257030.0,San Diego,San Diego,California,02-21-2021
119,San Diego State University System,"1,892",253840.0,257030.0,San Diego,San Diego,California,02-21-2021
120,San Francisco State University,10,33426.0,33820.0,San Francisco,San Francisco,California,02-21-2021
121,San Jose State University,73,107325.0,109054.0,San Jose,Santa Clara,California,02-21-2021
122,Santa Ana College,25,255495.0,259305.0,Santa Ana,Orange,California,02-21-2021
123,Santa Clara University,95,107325.0,109054.0,Santa Clara,Santa Clara,California,02-21-2021
124,Santa Monica College,5,1160620.0,1180505.0,Santa Monica,Los Angeles,California,02-21-2021
125,Santiago Canyon College,4,255495.0,259305.0,Orange,Orange,California,02-21-2021
126,Scripps College,4,1160620.0,1180505.0,Claremont,Los Angeles,California,02-21-2021
127,Shasta College,37,10696.0,10868.0,Redding,Shasta,California,02-21-2021
128,Sonoma State University,5,,,Ronhert Park,,California,02-21-2021
129,Southwestern College,14,253840.0,257030.0,Chula Vista,San Diego,California,02-21-2021
130,Stanford University*,242,107325.0,109054.0,Stanford,Santa Clara,California,02-21-2021
131,"University of California, Berkeley",330,78339.0,79539.0,Berkeley,Alameda,California,02-21-2021
132,"University of California, Davis",123,12458.0,12639.0,Davis,Yolo,California,02-21-2021
133,"University of California, Hastings College of Law",11,33426.0,33820.0,San Francisco,San Francisco,California,02-21-2021
134,"University of California, Irvine",341,255495.0,259305.0,Irvine,Orange,California,02-21-2021
135,"University of California, Los Angeles",712,1160620.0,1180505.0,Los Angeles,Los Angeles,California,02-21-2021
136,"University of California, Merced",45,28101.0,28489.0,Merced,Merced,California,02-21-2021
137,"University of California, Riverside",162,283901.0,287534.0,Riverside,Riverside,California,02-21-2021
138,"University of California, San Diego*",720,253840.0,257030.0,San Diego,San Diego,California,02-21-2021
