,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,25465.0,25643.0,Huntsville,Madison,Alabama,01-11-2021
1,Alabama State University,2,17890.0,18176.0,Montgomery,Montgomery,Alabama,01-11-2021
2,Athens State University,35,7578.0,7638.0,Athens,Limestone,Alabama,01-11-2021
3,Auburn University*,"2,134",11547.0,11626.0,Auburn,Lee,Alabama,01-11-2021
4,Auburn University at Montgomery,140,17890.0,18176.0,Montgomery,Montgomery,Alabama,01-11-2021
5,Bevill State Community College,4,5588.0,5758.0,Jasper,Walker,Alabama,01-11-2021
6,Birmingham-Southern College,214,58464.0,59248.0,Birmingham,Jefferson,Alabama,01-11-2021
7,Calhoun Community College,84,7578.0,7638.0,Tanner,Limestone,Alabama,01-11-2021
8,Central Alabama Community College,39,2447.0,2554.0,Alexander City,Tallapoosa,Alabama,01-11-2021
9,Enterprise State Community College,41,4138.0,4181.0,Enterprise,Coffee,Alabama,01-11-2021
10,Gadsden State Community College,62,11044.0,11151.0,Gadsden,Etowah,Alabama,01-11-2021
11,Jacksonville State University,219,10359.0,10537.0,Jacksonville,Calhoun,Alabama,01-11-2021
12,Lurleen B. Wallace Community College,19,3125.0,3177.0,Andalusia,Covington,Alabama,01-11-2021
13,Marion Military Institute,13,915.0,934.0,Marion,Perry,Alabama,01-11-2021
14,Samford University,480,58464.0,59248.0,Birmingham,Jefferson,Alabama,01-11-2021
15,Snead State Community College,19,11044.0,11151.0,Boaz,Etowah,Alabama,01-11-2021
16,Southern Union State Community College,59,1321.0,1353.0,Wadley,Randolph,Alabama,01-11-2021
17,Spring Hill College,124,28266.0,28793.0,Mobile,Mobile,Alabama,01-11-2021
18,Troy University,749,2318.0,2341.0,Troy,Pike,Alabama,01-11-2021
19,Troy University Dothan,17,8131.0,8203.0,Dothan,Houston,Alabama,01-11-2021
20,Troy University Montgomery,18,17890.0,18176.0,Montgomery,Montgomery,Alabama,01-11-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,01-11-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,01-11-2021
23,University of Alabama,"3,361",19944.0,20211.0,Tuscaloosa,Tuscaloosa,Alabama,01-11-2021
24,University of Alabama at Birmingham*,"2,286",58464.0,59248.0,Birmingham,Jefferson,Alabama,01-11-2021
25,University of Alabama in Huntsville,210,25465.0,25643.0,Huntsville,Madison,Alabama,01-11-2021
26,University of Montevallo,140,17584.0,17690.0,Montevallo,Shelby,Alabama,01-11-2021
27,University of North Alabama,488,7142.0,7214.0,Florence,Lauderdale,Alabama,01-11-2021
28,University of South Alabama,507,28266.0,28793.0,Mobile,Mobile,Alabama,01-11-2021
29,University of West Alabama,30,864.0,890.0,Livingston,Sumter,Alabama,01-11-2021
30,University of Alaska Anchorage,12,24051.0,24177.0,Anchorage,Anchorage,Alaska,01-11-2021
31,University of Alaska Fairbanks,130,5378.0,5399.0,Fairbanks,Fairbanks North Star,Alaska,01-11-2021
32,University of Alaska Southeast,1,1071.0,1076.0,Juneau,Juneau,Alaska,01-11-2021
33,Arizona State University,"3,642",382695.0,388518.0,Tempe,Maricopa,Arizona,01-11-2021
34,Arizona Western College,41,30923.0,31501.0,Yuma,Yuma,Arizona,01-11-2021
35,Dine College,5,8050.0,8309.0,Tsaile,Apache,Arizona,01-11-2021
36,Embry-Riddle Aeronautical University at Prescott,54,13449.0,13724.0,Prescott,Yavapai,Arizona,01-11-2021
37,Grand Canyon University,"1,372",382695.0,388518.0,Phoenix,Maricopa,Arizona,01-11-2021
38,Midwestern University at Glendale,158,382695.0,388518.0,Glendale,Maricopa,Arizona,01-11-2021
39,Northern Arizona University,354,12763.0,12996.0,Flagstaff,Coconino,Arizona,01-11-2021
40,University of Arizona,"2,959",82123.0,83386.0,Tucson,Pima,Arizona,01-11-2021
41,Arkansas Northeastern College,56,4641.0,4741.0,Blytheville,Mississippi,Arkansas,01-11-2021
42,Arkansas State University,"1,153",10914.0,11060.0,Jonesboro,Craighead,Arkansas,01-11-2021
43,Arkansas State University-Newport,43,5597.0,5631.0,Newport,Jackson,Arkansas,01-11-2021
44,Arkansas Tech University,402,6184.0,6249.0,Russellville,Pope,Arkansas,01-11-2021
45,Black River Technical College,85,1321.0,1353.0,Pocahontas,Randolph,Arkansas,01-11-2021
46,Central Baptist College,20,8870.0,8978.0,Conway,Faulkner,Arkansas,01-11-2021
47,Harding University,435,5511.0,5586.0,Searcy,White,Arkansas,01-11-2021
48,Henderson State University,172,1505.0,1531.0,Arkadelphia,Clark,Arkansas,01-11-2021
49,Hendrix College,22,8870.0,8978.0,Conway,Faulkner,Arkansas,01-11-2021
50,John Brown University,66,21352.0,21649.0,Siloam Springs,Benton,Arkansas,01-11-2021
51,Lyon College,22,3001.0,3101.0,Batesville,Independence,Arkansas,01-11-2021
52,National Park College,66,,,Hot Springs,,Arkansas,01-11-2021
53,North Arkansas College,76,2785.0,2856.0,Harrison,Boone,Arkansas,01-11-2021
54,NorthWest Arkansas Community College,34,21352.0,21649.0,Bentonville,Benton,Arkansas,01-11-2021
55,Ouachita Baptist University,197,1505.0,1531.0,Arkadelphia,Clark,Arkansas,01-11-2021
56,South Arkansas Community College,41,2716.0,2793.0,El Dorado,Union,Arkansas,01-11-2021
57,Southern Arkansas University,216,1662.0,1707.0,Magnolia,Columbia,Arkansas,01-11-2021
58,University of Arkansas,"2,742",1297.0,1323.0,Fayetteville,Washington,Arkansas,01-11-2021
59,University of Arkansas Community College Rich Mountain,19,1393.0,1442.0,Mena,Polk,Arkansas,01-11-2021
60,University of Arkansas Community College at Hope - Texarkana,32,2974.0,2999.0,Texarkana,Miller,Arkansas,01-11-2021
61,University of Arkansas Community College-Morrilton,34,1634.0,1653.0,Morrilton,Conway,Arkansas,01-11-2021
62,University of Arkansas at Fort Smith,192,11161.0,11329.0,Fort Smith,Sebastian,Arkansas,01-11-2021
63,University of Arkansas at Little Rock,218,27958.0,28388.0,Little Rock,Pulaski,Arkansas,01-11-2021
64,University of Arkansas at Monticello,106,1588.0,1612.0,Monticello,Drew,Arkansas,01-11-2021
65,University of Arkansas at Pine Bluff,201,58464.0,59248.0,Pine Bluff,Jefferson,Arkansas,01-11-2021
66,University of Arkansas for Medical Sciences,181,27958.0,28388.0,Little Rock,Pulaski,Arkansas,01-11-2021
67,University of Arkansas-Pulaski Technical College,108,27958.0,28388.0,North Little Rock,Pulaski,Arkansas,01-11-2021
68,University of Central Arkansas,563,8870.0,8978.0,Conway,Faulkner,Arkansas,01-11-2021
69,University of the Ozarks,63,2146.0,2167.0,Clarksville,Johnson,Arkansas,01-11-2021
70,Antelope Valley College,28,920310.0,932697.0,Lancaster,Los Angeles,California,01-11-2021
71,Azusa Pacific University,44,920310.0,932697.0,Azusa,Los Angeles,California,01-11-2021
72,Biola University,10,920310.0,932697.0,La Mirada,Los Angeles,California,01-11-2021
73,California Baptist University,25,217236.0,219486.0,Riverside,Riverside,California,01-11-2021
74,California Institute of Technology,48,920310.0,932697.0,Pasadena,Los Angeles,California,01-11-2021
75,California Lutheran University,22,52761.0,53095.0,Thousand Oaks,Ventura,California,01-11-2021
76,"California Polytechnic State University, San Luis Obispo",871,13867.0,13968.0,San Luis Obispo,San Luis Obispo,California,01-11-2021
77,"California State Polytechnic University, Pomona",22,920310.0,932697.0,Pomona,Los Angeles,California,01-11-2021
78,California State University Maritime Academy,8,23212.0,23314.0,Vallejo,Solano,California,01-11-2021
79,"California State University, Bakersfield",68,78290.0,78832.0,Bakersfield,Kern,California,01-11-2021
80,"California State University, Channel Islands",14,52761.0,53095.0,Camarillo,Ventura,California,01-11-2021
81,"California State University, Chico",233,8554.0,8665.0,Chico,Butte,California,01-11-2021
82,"California State University, Dominguez Hills",12,920310.0,932697.0,Carson,Los Angeles,California,01-11-2021
83,"California State University, East Bay",27,60375.0,61111.0,Hayward,Alameda,California,01-11-2021
84,"California State University, Fullerton",22,191646.0,193766.0,Fullerton,Orange,California,01-11-2021
85,"California State University, Long Beach",51,920310.0,932697.0,Long Beach,Los Angeles,California,01-11-2021
