,Texas,Georgia,Virginia,Kentucky,Missouri,Kansas,Illinois,North Carolina,Iowa,Tennessee,Nebraska,Indiana,Ohio,Minnesota,Michigan,Mississippi,Puerto Rico,Oklahoma,Arkansas,Wisconsin,Alabama,Florida,Pennsylvania,South Dakota,Louisiana,Colorado,New York,California,Montana,West Virginia,North Dakota,South Carolina,Idaho,Washington,Oregon,New Mexico,Alaska,Maryland,Wyoming,New Jersey,Maine,Nevada,Arizona,Vermont,Utah,Massachusetts,New Hampshire,Connecticut,Rhode Island,Hawaii,Delaware,District of Columbia
2020-09-25,756802,312514,144433,65066,124836,58061,286332,204330,85031,189454,43162,115407,148894,94189,133377,96032,44905,82520,79946,110828,150239,695887,159014,20554,163928,67926,456400,806526,11564,14962,19885,143902,39757,87062,32314,28487,7300,122359,5420,207038,5234,77753,216367,1731,68530,129481,8085,56587,24181,11891,20085,15163
2020-09-26,760281,313873,145408,66036,126910,58065,288773,206060,85908,190891,43596,116549,150009,95659,134373,96677,45413,83510,80755,113645,150965,698682,159933,21133,163928,68510,457573,810291,11907,15167,20380,145273,40296,87519,32581,28692,7414,122972,5465,207854,5258,78355,216826,1739,69547,130050,8121,56587,24181,12018,20156,15215
2020-09-27,765003,314685,146144,66491,128440,59528,290373,207349,86624,192995,44063,117450,150809,96734,134373,96859,46304,84333,81242,115862,151604,700564,160744,21541,164851,69079,458605,812602,12107,15351,20724,145887,40501,87897,32820,28844,7528,123403,5633,208617,5287,78728,217237,1742,70615,130642,8172,56587,24181,12116,20260,15250
2020-09-28,767990,315281,146593,66939,129733,59902,292082,208226,87257,193732,44578,118322,151802,97638,135702,97049,47422,85194,82049,117588,152350,701302,161594,21738,165091,69490,459574,815551,12413,15516,20983,146455,40923,88291,32994,28985,7646,123880,5754,209278,5300,79191,217510,1745,71442,131072,8208,57147,24424,12203,20389,15264
2020-09-29,774438,316306,147516,67856,130194,60844,293448,209136,88235,194611,45044,119066,152907,98447,136820,97638,48467,86219,82755,119955,153584,704568,163180,21997,165624,70025,460553,818673,12724,15693,21401,147634,41434,88823,33291,29157,7770,124311,5821,209848,5337,79595,218184,1749,72136,131584,8233,57329,24556,12290,20531,15300
2020-09-30,778057,318026,148271,68840,130485,61122,295720,210632,89247,196139,45564,120019,153987,99134,138014,98190,48755,87199,83697,122274,154772,706516,164099,22389,166033,70536,461537,822191,13071,15850,21846,147942,42048,89463,33509,29435,7874,124725,5948,210661,5389,79980,218507,1752,73042,132116,8266,57550,24748,12410,20613,15326
2020-10-01,781843,319359,148721,69728,130729,62292,297884,212898,90428,197432,46185,121176,155314,100200,139012,98886,49067,88369,84821,125161,155727,709144,165044,23136,166584,71218,462861,825341,13500,16026,22218,148323,42561,90179,33862,29661,7996,125510,6083,211378,5428,80410,219212,1755,74050,132870,8317,57742,24914,12515,20787,15358
2020-10-02,787698,320634,149687,70727,134887,62537,300340,214684,91482,198403,46977,122640,156809,101366,139996,99558,49747,89559,85779,127906,157402,711804,166238,23522,167401,71898,464620,829169,13855,16307,22694,149185,43238,90821,34163,30000,8122,126222,6214,212213,5466,81182,219763,1768,75157,133631,8534,58297,25076,12601,20937,15423
2020-10-03,793064,322169,150803,72001,136540,62569,302782,216886,92301,199595,47403,124059,157966,102787,141271,100167,50375,90748,86525,130798,158181,714591,166238,23986,167401,72555,466307,832566,14356,16481,23134,150891,43702,91290,34511,30296,8265,126819,6365,213239,5484,81708,220399,1778,76225,134303,8597,58297,25076,12734,21125,15473
2020-10-04,795520,322925,151870,72617,138005,63726,304235,217496,92744,201210,47807,125146,158907,103826,141271,100488,50675,90748,87013,132663,158717,716459,168126,24418,168294,73076,467693,835579,14635,16635,23550,151582,43964,91709,34770,30477,8453,127290,6504,213934,5519,82100,220754,1785,77618,134947,8645,58297,25076,12804,21243,15519
2020-10-05,799793,323714,152557,73158,139354,63979,306088,219754,93260,203699,48259,125976,159964,104799,142726,100703,51305,91982,87430,134359,159476,717874,169101,24598,168512,73537,468840,838480,14847,16749,23862,152159,44422,92136,35049,30632,8661,127791,6629,214540,5544,82437,221070,1817,78723,135462,8645,59120,25419,12854,21363,15547
2020-10-06,806225,324650,153182,74194,140477,65159,307705,221258,93805,205375,48757,126946,161299,105740,143877,101678,51737,93346,88071,136379,160485,720125,170224,24876,169044,74191,469989,841285,15347,16942,24364,152970,45082,92692,35339,30947,8800,128204,6770,215282,5565,82916,221934,1821,79439,135957,8731,59241,25596,12937,21466,15652
2020-10-07,811391,326142,153691,76587,141729,65274,310335,222969,95093,207455,49396,128227,162723,106651,145092,102241,51768,94352,88880,138698,161085,722707,171527,25906,170097,74922,471207,845116,16063,17150,24857,153705,45753,93450,35634,31372,8929,128664,6899,215907,5603,83347,222538,1827,80446,136492,8731,59364,25776,13045,21550,15652
2020-10-08,815327,327407,155535,77455,143404,66879,313429,225397,96657,209447,50059,129677,164262,107922,146493,102819,52294,95564,90145,141830,162683,726013,172948,26441,170621,75785,473285,848587,16677,17333,25384,154755,46426,94143,36116,31756,9054,129425,7092,217322,5638,83827,223401,1838,81947,136936,8878,59748,26045,13146,21682,15765
2020-10-09,819912,329032,156649,78456,145513,67216,316546,227431,97881,211003,50059,131493,166102,109312,147816,103681,52892,97088,91312,144818,163897,728921,174329,27215,170878,76619,474894,852445,17399,17707,26039,155676,47088,94691,36526,32241,9231,130159,7335,218312,5665,84593,224084,1846,83290,137701,8970,60038,26294,13300,21827,15843
2020-10-10,824119,330269,157905,79445,150213,67299,319451,229752,99042,212649,51887,133411,167458,110828,149453,104638,53364,98621,92220,147560,164698,728921,175797,27947,170878,77642,476397,855740,18117,17927,26627,156621,47701,95539,36924,32722,9482,130795,7455,219274,5695,85399,224978,1857,84644,138340,9092,60038,26294,13371,21998,15918
2020-10-11,826196,331409,158716,80292,150493,68886,322178,231471,99943,214717,52382,134981,168749,112268,149453,104932,53671,99387,92833,150236,165414,734491,176781,28564,172059,78461,477671,858372,18702,18132,27264,157406,48066,95914,37255,32983,9735,131357,7611,220111,5720,85779,225575,1868,85844,138903,9143,60038,26294,13472,22130,15984
2020-10-12,828815,332311,159570,80930,150759,69231,324918,232747,100453,217682,52839,136555,170179,113439,151396,105228,54234,100184,93487,152192,166514,736024,177819,28925,172119,79037,478925,861215,19125,18281,27736,158055,48663,96521,37467,33362,9929,131861,7802,220744,5752,86348,226050,1876,86832,139663,9208,61377,26294,13514,22289,16022
2020-10-13,834761,333304,160805,81691,151103,70413,327771,234481,101422,218829,53543,138104,171626,114574,152862,105941,54540,101493,94167,155471,167396,738749,179651,29339,172801,80085,480129,864710,19611,18557,28244,158883,49247,97240,37780,33713,10078,132343,7964,221935,5780,86835,226734,1886,87819,140412,9279,61697,26960,13575,22394,16068
2020-10-14,840829,334601,161610,83013,155678,70690,330637,236407,102904,220538,54467,139269,173665,115943,154455,106817,55516,102615,95246,158578,168620,741632,180935,30215,173121,80777,481227,868671,20210,18823,28947,159809,49892,97938,38160,34290,10221,132918,8177,223083,5816,87314,227635,1889,88963,140992,9349,61861,27164,13674,22465,16132
2020-10-15,845717,336241,162941,84195,157637,72187,334651,238939,104056,222827,55428,141212,175843,117106,156913,108139,56085,103836,96524,162325,169845,744988,182486,31012,173864,81918,482765,871721,20933,19084,29653,161106,50610,98713,38525,34958,10378,133548,8375,224246,5834,87969,228748,1903,90461,141579,9426,62028,27438,13764,22560,16166
2020-10-16,851830,337850,164124,85506,160027,72404,339757,241623,105746,223493,56714,143495,177991,119396,159119,109255,56412,105308,97539,166186,171157,748437,184165,31805,174638,83230,484512,874941,21595,19586,30517,162253,51704,99539,38935,35770,10600,134329,8665,225290,5863,88685,229486,1915,91957,142346,9514,62830,27691,13853,22724,16255
2020-10-17,856684,339384,165238,86797,162266,72512,343386,243725,106698,226139,57332,145977,180225,121090,161105,110006,56650,106468,98422,166186,172137,752481,185668,32611,174638,84369,486207,877372,22225,19805,31261,163214,52582,100105,39315,36343,10811,135127,8816,226378,5912,89652,230459,1926,93297,142930,9625,62830,27691,13949,22942,16334
2020-10-18,862191,340558,166138,87607,164151,73998,347631,246028,107334,228744,58068,147582,181787,122812,161105,110006,57293,107299,99066,166186,173002,755020,186754,33269,175781,85302,487719,879380,22821,20081,31978,163990,53092,100572,39532,36788,11032,135657,9025,227470,5937,90261,231149,1937,94394,143660,9625,62830,27691,14031,23093,16370
2020-10-19,865445,341310,166828,88247,165680,74619,350744,247172,108060,232061,58817,149166,183624,124439,164123,110592,57950,108073,99597,183142,174078,756727,188381,33836,175982,86374,488928,883429,23390,20293,32637,164609,53790,101064,39794,37302,11237,136154,9311,229277,5961,90843,231897,1946,95562,144488,9746,64021,28347,14068,23196,16395
2020-10-20,870980,342438,167754,89544,167257,75920,354457,248750,109202,233569,59409,150664,185639,125531,165994,111322,58643,109548,100441,187828,175210,760389,189970,34457,176681,87582,490166,887527,24093,20520,33666,165493,54663,101864,40136,37896,11445,136744,9526,230543,5987,91499,232937,1956,96643,145464,9828,64455,28649,14156,23325,16445
2020-10-21,877928,343750,168772,90996,168791,76310,358799,250592,110250,235861,60308,152396,188005,126591,167872,112123,58830,110855,101596,192191,176605,762533,191333,35044,177399,88849,491882,890810,24712,20735,34165,166357,55650,102567,40443,38715,11657,137236,9848,231862,6024,92064,233912,1971,98006,146166,9917,64871,29123,14233,23375,16498
2020-10-22,880754,345535,170104,92299,170873,77732,363740,252992,111733,237907,61285,155246,190430,128152,170076,113081,59037,112483,102798,195823,180437,768091,193401,36017,178171,90222,493774,897298,25640,21057,35052,167485,56600,103379,40443,39377,11888,137979,10119,233296,6063,92853,234906,1987,99549,147215,9994,65373,29594,14335,23528,16537
2020-10-23,887961,347759,171284,93748,173034,78222,368740,255708,113376,241513,62510,157713,192948,129863,172122,113876,60984,113856,104135,200466,182567,771780,195655,37202,178870,91572,495608,902835,26503,21393,35939,168549,57673,104328,41348,40168,12167,138691,10545,234640,6094,93665,235882,2016,101509,148285,10112,66052,30118,14464,23687,16609
2020-10-24,897630,349605,172372,95480,175732,78294,374901,258292,114836,244087,63215,160454,195806,132122,175612,115088,61280,115685,105318,205139,183831,776251,197370,38141,178870,93400,497732,907599,27142,21716,36874,169341,58694,105069,41739,41040,12542,139487,10805,236829,6136,94812,236772,2043,103117,149488,10238,66052,30118,14553,23847,16706
2020-10-25,901131,350923,173371,96942,177752,80104,378958,260099,116238,247587,63797,162607,198115,133802,175612,115088,62503,116736,106115,208917,184723,778636,198713,39203,179842,95089,499652,910407,27880,21907,37719,170678,59344,105665,42101,41863,13062,140279,11041,238243,6199,95703,238163,2073,104882,150565,10328,66052,30118,14672,23961,16767
2020-10-26,907706,351881,174275,97866,179621,80451,383687,261742,117198,249866,64499,164581,200231,135372,179669,115763,63135,117399,106727,211928,185938,782013,201248,39741,180069,97300,501197,914374,28501,22224,38241,171501,60041,106212,42436,42586,13412,140844,11477,239900,6251,96178,238964,2083,106083,151777,10397,68099,31024,14709,24168,16812
2020-10-27,914584,353372,175409,99637,181494,83159,387687,263883,118563,251774,65376,166564,202740,137536,182344,116617,63497,118409,107679,217429,187267,786311,203520,40730,180991,98733,502978,918795,29346,22710,39130,172579,60923,106963,42808,43169,14803,141741,11806,241901,6309,96908,240122,2113,107228,153037,10530,68637,31445,14773,24249,16906
2020-10-28,921888,355025,176754,101494,183955,83535,393797,266136,120635,254220,66545,169112,205347,139444,185934,117617,63587,119152,108640,221559,188775,790426,205852,42000,181443,100208,504689,923268,29966,23067,39907,173491,61785,107843,43228,43826,15160,142425,12146,243995,6386,97479,241165,2120,108803,154218,10641,69127,31944,14834,24392,16973
2020-10-29,928809,356848,178183,103305,184675,86270,400159,269021,122950,256880,68150,172730,208937,142311,190043,118587,64798,120193,109712,226704,190113,794624,208087,43000,181837,102014,507040,927714,30853,23466,41130,174591,62746,108954,43793,44904,15531,143387,12507,245970,6466,98552,242480,2141,110640,155564,10768,70446,32312,14911,24553,17074
2020-10-30,934760,358225,179639,105242,190249,86805,408648,271830,125722,259488,69645,175893,212782,145465,193388,119336,65743,121495,110874,232061,191932,800216,210586,44559,182270,104426,509368,932079,31916,23992,42483,175594,63810,109932,44388,45909,15913,144314,13028,248338,6566,99784,244045,2155,112932,157146,10884,71207,32874,15003,24751,17144
2020-10-31,942850,360790,181190,107219,193152,86845,416547,274635,128510,260672,70732,179358,215697,148472,197406,120160,66128,122762,112190,237869,193613,802547,212791,45992,182270,107350,511761,936255,32801,24460,43916,176612,64608,110808,44921,46490,16365,145281,13298,250090,6662,100761,245946,2179,114656,158576,11084,71207,32874,15071,24951,17266
2020-11-01,975717,361982,182392,108642,195735,90172,423527,276692,130974,261426,71666,182108,219000,150672,197406,120500,66661,124111,113057,241422,194458,807412,214416,47324,183341,109910,513883,940200,33495,24883,45043,178023,65088,111848,45429,47232,16709,146145,13723,252263,6711,101477,247473,2196,116510,159707,11190,71207,32874,15154,25126,17369
2020-11-02,982529,362921,183418,109670,198802,90619,429749,278028,132516,264587,72620,185185,221909,153620,204326,120865,68172,125195,113641,244927,195692,812063,217243,47850,183616,112147,515753,945821,34252,25238,46015,178917,65845,112593,45978,48104,17063,146995,14167,254211,6798,102114,248139,2219,117706,160549,11288,73858,34120,15231,25311,17438
2020-11-03,992250,394526,184679,111379,201296,93286,436265,280377,134326,266357,74060,188066,226138,157096,207763,121509,68943,126526,114519,251031,197504,816700,220074,48854,184769,114709,517822,950944,35159,25596,47187,179952,67024,114127,46460,49240,17455,147766,14621,256657,6925,103025,249818,2237,119375,161585,11416,74843,34543,15318,25426,17524
2020-11-04,1003342,397137,185836,113009,204353,93762,443803,282802,137214,269802,75888,191764,230209,160923,212160,122275,69020,127772,115812,257287,198927,821123,222883,49791,185144,117637,519890,956520,35955,25988,48301,180870,68314,115251,47049,50251,17868,148766,15044,259709,7071,104093,250633,2267,121485,163299,11538,75373,35122,15473,25534,17601
2020-11-05,1014091,399625,187202,115277,208458,98509,453738,285661,142491,271771,78012,196176,235170,164865,218263,123887,69416,129873,117360,263571,200528,827380,225698,51151,185825,121006,523107,963049,36968,26547,49837,181639,69579,117023,47839,51110,18182,149964,15409,262290,7260,105360,252768,2303,124292,165161,11785,77060,35750,15572,25753,17682
2020-11-06,1023763,402427,188770,117505,213061,99407,465540,288569,145866,273144,80693,200823,240178,170307,222509,124854,70519,131751,119230,269982,202131,832625,229346,52639,186695,124469,526318,969497,37947,27087,51602,182872,70909,118771,48608,52394,18712,151505,16405,265051,7444,106922,254764,2326,127279,167274,11991,78125,36380,15691,26035,17792
2020-11-07,1031453,405037,190873,119661,217726,99619,477978,291245,150254,278215,82395,205722,245727,174954,229073,125885,71532,131751,120828,277503,203518,837077,232493,53976,186695,127967,530218,974393,38948,27609,53204,184742,72312,120221,49587,53671,19316,152915,16597,268738,7600,108746,257384,2347,130235,169576,12214,78125,36380,15819,26258,17891
2020-11-08,1039049,406061,192175,120838,221745,104462,487987,293339,154778,281851,83969,210374,250268,180862,229073,126689,72166,136258,121866,281910,204665,843897,235014,55404,187961,130984,533797,980738,39679,28404,54305,185688,72961,121467,50448,54881,19834,153996,17310,271246,7693,110022,259264,2392,132621,171399,12458,78125,36380,15947,26603,18001
2020-11-09,1046241,407333,193477,122567,225315,105007,498560,294860,159910,287770,85551,214509,254974,184788,238308,127205,38581,138455,122811,286380,206523,847821,239724,56311,188352,134537,537243,987844,40053,29225,55458,186391,74227,122887,51155,56289,20309,155371,18010,273968,7888,110982,259699,2415,134868,172727,12666,81432,38009,16010,26908,18087
2020-11-10,1058874,411652,194912,124646,230139,105462,511183,297442,163827,289749,87733,219338,261482,189681,245252,128138,38856,140157,124235,293812,206562,852174,244046,57334,194702,138427,541200,996453,41151,29316,56352,187738,75428,124549,51909,57547,20839,156709,19242,278419,8060,112304,263133,2462,137385,174881,12882,82953,38798,16320,27112,18173
2020-11-11,1072157,413894,196506,127344,234519,110840,523840,300561,168453,293381,89942,224374,267356,194570,251872,129394,39120,142334,126197,301349,208637,858012,248015,58696,194702,142402,545453,1001880,42070,30201,57373,188995,77121,126574,52770,59034,21338,158423,19374,282233,8202,113411,265163,2535,139720,177541,13102,84741,39776,16437,27342,18379
2020-11-12,1083440,416876,198027,129680,240030,111112,536542,303454,173404,296725,92553,230965,274457,201795,259183,130665,40452,144691,128006,309572,210637,863619,254155,60716,198531,147599,550678,1011951,43031,30897,59173,190490,78279,128821,53879,60776,21825,159900,20479,286354,8395,114880,266562,2651,143639,180189,13414,85899,40764,16534,27546,18507
2020-11-13,1096469,419870,199262,132844,244877,117374,551957,305233,178888,300458,94922,236565,282528,207339,268362,131970,41119,147358,130318,318023,213617,870552,259988,62327,201981,154038,556344,1021804,44244,31639,60602,192101,79798,131141,54937,62006,22418,161769,21341,290377,8639,116737,269577,2743,145789,183095,13853,88645,41529,16652,28016,18666
2020-11-14,1107456,422905,200799,136137,254411,117389,562985,309118,183555,305120,96834,244887,290243,216028,275792,133340,41772,150205,132166,323604,215843,875096,264222,64182,201981,159234,561921,1030034,45886,32792,62872,194014,81317,133391,56018,63171,23162,164090,21881,295230,8791,119006,273053,2843,151141,186142,14212,88645,41529,16759,28395,18814
2020-11-15,1115378,424989,201960,137586,255260,117430,573616,312235,186314,310937,98161,251597,298096,223581,275792,134309,42479,154128,133040,329924,217822,885201,268696,65381,204513,163417,566113,1038776,47158,33659,63796,195507,82245,134969,56880,64201,23826,165930,22494,300283,8944,120183,275436,2889,153808,188275,14552,88645,41529,16759,28803,18977
2020-11-16,1124116,426236,204637,139097,259949,124585,585248,314207,189597,318888,101601,256744,305364,231018,288954,134898,43016,156857,134348,334562,219232,889864,275235,66278,205057,167713,570323,1050688,48027,34460,64885,196617,83344,137561,57646,65454,24414,167656,23193,303215,9117,122099,276912,3008,155779,190439,14907,93284,43923,16853,29200,19064
2020-11-17,1137495,430571,206762,142008,265904,125170,597849,317495,193198,320729,103805,262207,312443,236949,296840,135803,43585,158408,135902,342155,220848,897323,280957,67284,207685,172044,574935,1062095,49398,35324,65967,197900,85125,139120,58570,67559,25056,169805,24453,307958,9363,123795,279896,3104,158957,192964,15173,94986,44528,16905,29552,19309
2020-11-18,1151317,433732,208833,144753,270868,130598,606771,320862,197518,325201,106617,268222,318828,242043,303058,137396,43910,161425,137617,350665,223486,905248,287425,68671,209914,176694,579811,1074204,50582,36266,67230,199447,86435,141231,59669,70451,25602,171823,25275,312701,9519,125459,283102,3161,162028,195868,15599,97028,45911,16974,29755,19465
2020-11-19,1165609,437156,210787,148390,275806,131032,621383,325158,201572,328088,109280,275503,326615,249906,311041,138791,44431,164340,139855,358113,225910,914333,294294,69742,211966,182801,585635,1088201,51818,37399,68612,201160,87978,143405,60873,74116,26100,174733,26169,317589,9734,127876,287225,3310,165996,198550,16115,99381,46951,17081,30153,19678
2020-11-20,1179707,440591,213331,152206,280857,136763,634395,328846,205917,331532,111661,282311,335423,256700,321181,140429,45335,167261,141916,365190,228373,923418,301304,71070,216709,188566,591368,1101494,53293,38480,70016,203161,89764,145281,62175,77098,26561,177086,27129,321821,9958,129714,291696,3459,170584,200949,16616,101469,48001,17199,30816,19808
2020-11-21,1192973,446804,215679,155908,285862,136936,646286,332261,209203,335887,113029,289183,343286,262952,329021,142401,46434,170924,143821,372219,230708,931827,306988,72214,216709,194679,597680,1115122,54542,39598,71540,205018,90834,147929,63668,79440,27242,179971,27410,326964,10123,131733,295334,3546,173979,204155,17094,101469,48001,17361,31321,19961
2020-11-22,1201930,449132,217796,158100,290197,136955,656298,336775,211664,340476,114061,295357,351419,270157,329021,143180,47459,174330,145173,376238,232506,938414,313358,73065,220192,198600,603360,1123987,55680,40478,72683,206295,91653,151488,65170,81896,27797,182139,28169,331394,10359,133888,299665,3629,177176,206850,17405,101469,48001,17483,31808,20151
2020-11-23,1210459,451056,221038,160232,294194,144632,664620,339194,214792,344550,115921,300913,363304,276500,340964,143879,48200,177874,146190,379693,234080,944745,320158,73848,221160,202289,609797,1141930,56381,41114,73397,207552,93090,154770,66333,84148,28296,183797,29431,335675,10544,136227,302324,3714,179420,208623,17861,106740,50573,17596,32211,20290
2020-11-24,1231319,454732,223582,162838,298606,144956,674089,342294,217784,345916,115921,306538,371840,282916,347746,144544,48548,180610,148312,386441,236865,953300,326513,74859,224403,206439,614679,1159318,57504,42083,74401,209230,94730,157790,67333,86247,28883,185464,29959,340671,10799,139098,306868,3762,182121,211199,18283,107280,51424,17656,32664,20409
2020-11-25,1248700,457909,226300,166139,303596,150138,685467,346506,221286,347972,117682,312521,382743,289303,352433,145636,48725,184342,150277,392438,239318,961676,333465,76142,225638,210630,620712,1173797,58565,43050,75478,210905,96503,160663,68503,88102,29563,188161,30761,345398,11027,142240,310850,3827,183902,214594,18676,109152,52317,17764,32995,20516
2020-11-26,1256127,461517,228900,166139,308081,150493,697489,346506,223323,352376,122952,318894,382743,289303,352433,147382,49226,184342,152625,398104,241957,961676,340642,76142,225638,216683,628024,1181614,59682,44180,76442,210905,96503,162730,68503,89796,30121,190480,30761,350285,11265,144781,314324,3827,183902,214594,19205,109152,52317,17881,33579,20736
2020-11-27,1261000,464526,230444,171755,311520,155307,705063,354514,225056,356716,124066,324537,399808,295001,369801,148387,50678,187567,153677,399526,242874,979020,349238,78280,230602,220953,636302,1198409,59796,45046,77232,213120,98500,165124,70832,91852,30796,192858,31773,355116,11265,146317,318638,4005,190044,219252,19609,112581,53954,18006,34170,20937
2020-11-28,1267016,467564,233617,174182,314184,155396,712936,357958,227179,363466,125323,329008,406703,304023,378152,149940,51581,193824,155026,404999,244993,985297,355945,79099,230602,225283,643163,1212263,60845,45845,77935,214911,99660,167231,72506,93982,31467,194448,31928,358855,11288,149229,322774,4033,192087,222469,20142,112581,53954,18082,34670,21308
2020-11-29,1281337,469516,235942,176925,317567,155396,720114,361778,228690,366518,126466,333312,414432,312969,378152,151785,51702,195545,156247,409054,247229,992660,360944,79900,232245,228772,648641,1226219,61801,46997,78658,216129,100484,169500,74119,95417,32087,196447,32489,364047,11508,150527,325995,4100,193809,224964,20636,112581,53954,18138,35251,21448
2020-11-30,1291458,471563,237835,179041,321958,159697,726304,364512,230631,374493,128407,338977,421063,318763,388942,153270,52545,197745,157359,411730,249524,999319,366835,80464,232414,232905,656413,1244952,62198,47842,79252,217487,101698,171962,75431,97095,32598,198370,33305,368086,11757,152171,326817,4172,195706,226132,21033,117295,56723,18223,35654,21552
2020-12-01,1306735,476405,240063,183164,325759,160005,738846,367395,233062,380186,130194,344373,430093,322312,395453,154411,53320,199482,159309,416365,252900,1008166,372530,80912,237740,237310,663500,1262927,63205,48818,79655,218912,103305,175033,76654,99419,33139,201135,33805,373556,11981,154842,337139,4239,198216,229205,21725,118754,57906,18266,36343,21685
2020-12-02,1327263,482139,242480,186765,329267,164588,748603,371594,236159,384285,132530,350970,437928,327477,402886,156868,53708,202341,161521,420930,256828,1018160,380951,82203,241335,241172,671635,1282173,64340,49905,80135,220835,104734,177358,78160,100963,33828,203355,34507,378624,12208,156997,340979,4461,202220,234232,22428,121426,59005,18342,36698,21842
2020-12-03,1346216,487978,244503,190600,334224,164878,759562,377231,238724,388252,134710,359430,446849,333626,410843,159036,54105,204048,164310,426534,260359,1029030,392434,83348,244078,247209,681783,1305611,65122,51025,81105,223063,106455,179443,79293,102862,34592,205399,35078,384193,12554,159532,346421,4642,206165,240907,23567,126177,60722,18484,37456,22164
2020-12-04,1360818,494354,247380,194192,339049,170902,770088,382534,241531,392608,136325,367329,456963,338973,420268,161516,54597,208875,167137,432207,264199,1039207,404521,84398,247177,252222,693629,1330683,66436,52172,81949,226013,108366,181329,81437,104935,35354,209191,35737,390586,12844,162434,352101,4763,209170,246398,24444,127715,62137,18605,38398,22480
2020-12-05,1374889,499371,251173,198064,344367,171113,779975,388552,243385,397522,138568,375019,467432,345281,426576,163458,55532,213245,169382,437918,267589,1049638,415635,85304,247177,257347,704683,1356263,67069,53572,82504,229235,109705,183081,83243,106856,36296,212384,35941,396519,13127,165628,358900,4894,212844,252017,25367,127715,62137,18738,39096,22872
2020-12-06,1387163,501405,255053,200631,348317,171114,787573,394990,244691,400594,139834,381617,475024,350862,426576,164931,56671,216486,170924,441067,269877,1058074,423100,85991,251123,260581,714834,1383556,67875,54997,82981,232099,110510,189152,84496,108088,37062,215027,36317,403128,13348,168140,364276,5015,215407,256844,26044,127715,62137,18842,39912,23136
2020-12-07,1394656,506690,258870,202591,351752,176597,796264,399362,245984,408730,141127,387278,484297,356152,436400,166194,57622,218389,172042,443389,272229,1065785,432207,86500,252136,264618,723287,1412484,68591,56128,83342,234652,111893,192947,85788,109947,37562,217329,36985,407569,13775,170587,365843,5080,217638,259325,26759,135844,65818,18923,40711,23319
2020-12-08,1414125,512267,262730,205667,355713,177026,804174,404032,247954,414749,142595,392663,510018,359203,443076,167926,58316,220686,174325,448009,276665,1073770,442311,87038,254562,268589,731722,1440537,69346,57060,83342,236954,113905,196032,87082,109947,38141,219961,37475,413745,14049,173284,378157,5180,219971,263447,27566,138258,67067,18976,41464,23589
2020-12-09,1428656,517779,267128,209135,359397,182331,812430,410527,250280,422962,143924,398417,520112,363719,448418,170672,58962,222993,176652,452180,280187,1083362,450924,88023,258914,272346,740980,1473446,70133,58462,86149,239444,116203,199028,88287,112950,38736,222653,37885,418861,14454,176334,382601,5285,222545,269412,28519,140548,68299,19056,42393,23854
2020-12-10,1444808,525402,271043,213449,364374,182589,823531,416083,252553,428973,145774,404935,531850,367218,454720,172955,59458,225453,178854,456889,284922,1094697,462954,88727,261329,276995,752104,1509057,70892,59695,86707,241686,118028,202177,89838,114731,39373,225855,38223,424679,14861,178527,387529,5413,225946,274781,29238,142979,69247,19179,43036,24098
2020-12-11,1460691,531593,274438,217119,366833,188086,832951,423623,253612,436262,146877,412135,542209,370968,460346,175282,61002,229353,181624,461367,288775,1106396,476249,89672,264191,281673,763228,1546199,71870,60637,87214,245226,119610,206288,91420,116565,40000,228471,38785,428977,15206,181310,394512,5541,228129,280436,30282,146761,70818,19315,43818,24357
2020-12-12,1474276,538040,278615,220659,374633,188228,841688,429776,255009,442953,147688,419536,553461,375398,465159,177947,61723,233336,184252,465991,292841,1116973,485330,90407,264191,285634,774228,1575719,72644,62151,87590,248798,120632,208717,92839,118358,40522,232009,38907,435771,15620,183949,402589,5626,231821,285725,31119,146761,70818,19708,44876,24643
2020-12-13,1483168,542838,281909,223103,377820,188228,848904,436595,256249,454305,148861,425434,562727,378823,465159,179447,62431,237668,185702,468956,295631,1125931,495099,91038,268613,288193,784815,1607328,73303,63217,87871,252206,121179,210809,93853,119800,41169,234647,39360,440464,15923,186833,408442,5753,233904,290578,31705,146761,70818,19676,45460,24874
2020-12-14,1493486,546558,285149,224889,381470,192746,856118,441365,257311,464624,149344,430401,570602,381841,472780,181095,62985,239767,187057,471285,297895,1134383,505174,91354,269643,291104,794953,1631919,73303,64394,88067,254776,122217,212584,95010,121299,41599,236961,39775,446000,16349,189413,420248,5857,235872,294231,32544,153992,74071,19975,46457,25038
2020-12-15,1514508,553995,288309,227817,385240,193017,863477,446601,258253,472875,150861,434642,579357,384164,478171,183300,63419,241991,189198,475340,301533,1143794,514749,91699,272276,293382,803917,1675929,74040,65708,88393,257320,124019,214265,96092,122557,41891,239362,40064,450614,16760,191732,424382,5923,237787,298160,33318,155462,75237,19896,47142,25339
2020-12-16,1536275,560619,292240,230692,389118,197429,870600,451874,260774,484285,152103,440850,584766,386412,482815,185643,63686,245229,191504,478162,305640,1155335,524940,92603,275545,296716,813336,1738097,74644,66849,88686,260119,125452,214265,97622,124357,42498,241767,40310,456938,17311,194098,429219,6009,240715,304112,34114,157781,76209,20058,47929,25602
