,USA,RUS,JPN,IND,CHN,COL,MEX,BRA,UKR,PER,SWE,ITA,ESP,NLD,CHL,DEU,MYS,CAN,GBR,FRA,BEL,AUS,PAK,DNK,NZL,FIN,ALB,GNB,BOL,CPV,LKA,CYP,PAN,KEN,MKD,MUS,BTN,CHE,ROU,YEM,ERI,BDI,VNM,BRN,PHL,BWA,TTO,LBY,EST,ECU,ISR,BGD,COG,MNG,NAM,KWT,CIV,STP,TUN,MDG,MAR,SMR,BLR,TZA,ETH,HRV,TUR,LIE,OMN,NER,BFA,MCO,TGO,CUB,NPL,KAZ,SRB,KNA,DMA,IRL,CMR,PRT,NGA,LUX,TLS,MWI,JOR,LTU,BHR,MNE,TCD,AGO,SYR,GTM,NIC,ARM,SWZ,UZB,COD,HTI,ZAF,MDV,CAF,MLI,PNG,BEN,GUY,KGZ,GEO,BHS,ZWE,SEN,ARE,LAO,VCT,SSD,SLV,JAM,LCA,GIN,AZE,SUR,FJI,MMR,SYC,ATG,LBR,GRD,QAT,AUT,VEN,CZE,ARG,UGA,KOR,ISL,GRC,BLZ,MRT,EGY,LBN,GHA,RWA,SLE,GAB,IRQ,AFG,MDA,PRY,MLT,MOZ,AND,SVK,NOR,GMB,CRI,IRN,IDN,SGP,BIH,DOM,THA,DJI,HUN,BRB,SOM,LVA,GNQ,SVN,SDN,ZMB,TWN,BGR,SAU,HND,DZA,POL,URY,KHM
2020-06-12,2050707,510761,17240,297535,84228,45344,139196,830681,30415,214788,49684,236305,243209,48668,160846,187226,8402,99548,294402,195654,59819,7294,125933,12299,1504,7073,1416,1460,16929,697,1880,975,19211,3305,3701,337,62,31063,21404,632,41,85,333,141,24787,48,117,409,1970,45778,18851,81523,728,197,31,34952,4684,639,1093,1240,8610,695,52520,509,2915,2249,175218,83,21071,978,892,99,525,2233,5062,13872,12175,15,18,25250,8681,36180,15181,4055,24,481,915,1751,17269,324,848,130,164,8982,1464,15281,472,4869,4637,3796,61927,2003,2044,1752,8,388,159,2166,843,103,343,4851,41499,19,27,1670,3481,614,19,4426,9218,187,18,261,11,26,410,23,76588,17064,2879,9938,28764,686,12051,1807,3108,20,1572,41303,1422,10856,510,1103,3463,17770,23632,11093,1254,645,509,853,1542,8620,28,1612,182525,36406,39850,2893,22008,3129,4441,4053,96,2513,1096,1306,1490,6730,1321,443,3191,119942,8132,10698,28577,847,126
2020-06-13,2076263,519458,17285,308993,84286,46994,142690,851911,31177,220749,50931,236651,243605,48847,167355,187267,8445,99959,295828,196151,59918,7320,132405,12339,1504,7087,1464,1460,17842,726,1884,980,20059,3457,3895,337,66,31094,21679,705,65,85,334,141,25392,60,117,418,1973,46356,19000,84379,728,197,32,35466,4848,659,1094,1252,8692,695,53241,509,3166,2251,176677,83,22077,980,892,99,530,2238,5335,14238,12251,15,18,25295,8681,36463,15682,4063,24,529,953,1758,17713,324,848,138,170,9491,1464,16004,486,4966,4724,3941,65736,2013,2057,1776,8,412,159,2207,851,103,356,4996,41990,19,27,1693,3603,615,19,4484,9570,196,18,261,11,26,421,23,78416,17078,2904,9991,30295,694,12085,1808,3112,20,1682,42980,1442,11118,541,1132,3463,18950,24188,11459,1261,646,553,853,1545,8628,28,1662,184955,37420,40197,2893,22572,3134,4449,4064,96,2579,1097,1306,1492,6879,1357,443,3266,123308,8455,10810,29017,847,128
2020-06-14,2095982,528267,17360,320922,84335,48896,146837,868705,31851,229736,51614,236989,243928,48990,174293,187518,8453,100286,297342,196541,60029,7335,144478,12393,1504,7104,1521,1460,18459,750,1889,980,21418,3594,4057,337,66,31117,21999,728,96,85,334,141,25930,60,123,454,1973,46751,19136,87520,728,197,32,35920,5084,661,1096,1272,8793,695,53973,509,3345,2252,178239,83,23481,980,894,99,530,2248,5760,14496,12310,15,18,25303,8681,36690,16085,4070,24,547,961,1763,18227,325,850,140,177,9845,1464,16667,490,5080,4778,3941,70038,2035,2057,1809,8,442,159,2285,864,103,383,5090,42294,19,27,1693,3720,617,19,4532,9957,208,18,261,11,26,446,23,79602,17109,2978,10024,31577,696,12121,1810,3121,20,1783,44598,1446,11964,582,1169,3463,20209,24852,11740,1289,649,583,853,1548,8631,28,1715,187427,38277,40604,2893,22962,3135,4465,4069,96,2618,1097,1306,1495,7007,1358,443,3290,127541,8858,10919,29392,848,128
2020-06-15,2114524,536484,17432,343091,84378,53211,150264,893322,32536,232992,52383,237290,244109,49155,179436,187682,8494,100655,298315,196677,60100,7347,148921,12417,1506,7108,1590,1492,19073,760,1905,983,21422,3727,4157,337,67,31131,22165,844,109,85,334,141,26420,60,123,467,1974,47322,19334,90619,883,197,32,36431,5439,662,1110,1290,8885,695,54680,509,3521,2254,179831,83,24524,980,894,99,531,2262,6211,15192,12367,15,18,25321,9864,37036,16658,4072,24,555,979,1768,19013,326,850,142,177,10272,1464,17064,506,5263,4837,4165,73533,2065,2222,1860,8,483,159,2472,879,103,387,5173,42636,19,27,1693,3826,621,19,4572,10324,229,18,262,11,26,458,23,80876,17135,3062,10064,32785,705,12155,1810,3134,21,1887,46289,1464,11964,612,1176,4033,21315,25613,11879,1296,650,609,853,1552,8647,30,1744,189876,39294,40818,3040,23271,3135,4501,4076,97,2642,1097,1306,1496,7220,1382,445,3341,132048,9178,11031,29788,848,128
2020-06-16,2138452,544725,17474,354065,84422,53211,154863,930305,33209,237156,53323,237500,244328,49295,184449,188252,8505,101021,299600,197038,60155,7370,154760,12450,1506,7112,1672,1492,19883,781,1915,985,21962,3860,4299,337,67,31154,22415,885,121,104,334,141,26781,60,123,484,1975,47943,19634,94481,883,197,34,36958,5679,671,1125,1317,8931,695,55369,509,3630,2255,181298,83,25269,1016,895,99,537,2273,6591,15542,12426,15,18,25334,9864,37336,17148,4075,24,564,981,1771,19553,326,853,148,177,10706,1823,17489,520,5493,4974,4309,76334,2094,2410,1885,8,532,171,2562,879,104,391,5247,42982,19,29,1776,3941,621,19,4639,10662,236,18,262,11,26,498,23,82077,17189,3150,10111,34159,724,12198,1812,3148,22,2057,47856,1473,12193,636,1225,4114,22700,25719,12254,1303,656,638,854,1552,8660,34,1796,192439,40400,40969,3085,23686,3135,4539,4077,97,2658,1098,1664,1499,7435,1405,445,3453,136315,9656,11147,30195,849,128
2020-06-17,2165692,552549,17520,366946,84458,55083,159793,961230,33986,240908,54562,237828,244683,49412,220628,188604,8515,101429,300717,197527,60244,7391,160118,12494,1507,7117,1722,1492,20685,792,1924,985,22597,4044,4482,337,67,31187,22760,902,131,104,335,141,27238,79,123,500,1977,48490,19905,98489,883,201,36,37533,6063,683,1128,1378,8997,695,56032,509,3759,2258,182727,83,26079,1020,899,99,544,2280,7177,15877,12522,15,18,25341,9864,37672,17735,4085,24,572,987,1773,19961,333,854,155,178,11251,1823,18033,563,5682,5100,4441,80412,2120,2564,1890,8,572,171,2657,888,104,401,5369,43364,19,29,1813,4066,626,19,4668,10991,261,18,262,11,26,509,23,83174,17203,3386,10162,35552,732,12257,1815,3203,22,2223,49219,1489,12590,639,1249,4229,24254,26960,12732,1308,662,651,854,1561,8692,34,1871,195051,41431,41216,3141,24105,3135,4545,4078,97,2696,1104,1664,1503,7740,1412,445,3542,141234,10299,11268,30701,849,128
2020-06-18,2193642,560321,17589,380532,84494,57202,165455,986750,34833,244388,56043,238159,245268,49527,225103,189817,8529,101830,301935,198113,60348,7409,165062,12544,1507,7119,1788,1492,21499,823,1947,985,23351,4257,4664,337,67,31200,23080,909,142,104,342,141,27799,79,123,510,1977,49097,20207,102292,883,204,39,38074,6444,688,1132,1403,9074,709,56657,509,3954,2269,184031,83,26818,1020,899,99,547,2295,7848,15877,12616,15,18,25355,9864,38089,18480,4091,24,592,1001,1779,20430,337,854,166,187,11868,1823,18698,586,5767,5283,4547,83890,2137,2605,1906,8,597,183,2657,893,104,463,5475,43752,19,29,1830,4200,638,19,4841,11329,277,18,286,11,26,516,23,84441,17223,3483,10280,37510,741,12306,1816,3227,22,2424,50437,1495,12929,646,1272,4340,25717,27423,13106,1330,663,662,855,1562,8708,36,1939,197647,42762,41473,3174,24645,3141,4557,4079,97,2719,1108,1664,1511,8020,1416,446,3674,145991,10739,11385,31015,850,129
2020-06-19,2225780,568292,17650,395048,84494,60387,170485,1042809,35755,247925,56043,238011,245575,49634,231393,190299,8535,102233,303285,198900,60476,7411,171666,12591,1509,7133,1838,1541,22476,848,1950,985,24274,4374,4820,337,68,31235,23400,919,142,104,349,141,28459,89,123,520,1979,49731,20517,105535,883,204,45,38678,6874,693,1146,1443,9613,709,57333,509,4070,2280,185245,83,27670,1020,900,99,555,2305,8274,16779,12709,15,18,25368,10638,38464,19147,4099,24,620,1008,1787,20916,355,858,172,187,12509,1823,19157,623,5946,5477,4688,87715,2150,2605,1923,8,650,183,2789,896,104,479,5639,44145,19,29,1864,4329,652,19,4904,11767,293,18,286,11,26,542,23,85462,17271,3591,10406,39570,755,12373,1819,3237,22,2621,52211,1510,13203,661,1298,4428,27352,27964,13556,1336,663,668,855,1576,8726,36,2058,200262,43803,41615,3273,25068,3146,4565,4081,97,2719,1110,1664,1513,8020,1430,446,3755,150292,11258,11504,31316,853,129
2020-06-20,2258731,576162,17714,410461,84553,63454,175202,1071666,36615,251338,56043,238275,245938,49710,236748,190670,8556,102652,304580,199519,60550,7461,176617,12591,1511,7142,1891,1541,23512,863,1950,985,25222,4478,5005,337,68,31243,23730,922,143,104,349,141,29400,89,123,544,1981,49731,20676,108775,883,206,46,39145,7276,698,1156,1503,9839,713,57936,509,4469,2299,186493,83,28566,1035,901,99,561,2309,8605,17225,12803,15,18,25374,11610,38841,19808,4105,24,620,1015,1790,21331,359,858,176,198,12755,1823,19708,627,6153,5672,4916,92681,2187,2686,1933,8,650,183,2981,898,104,479,5783,44533,19,29,1882,4475,657,19,4960,12238,303,18,287,11,26,581,23,86488,17323,3789,10448,41204,763,12421,1822,3256,22,2813,53758,1536,13717,702,1309,4428,29222,28383,13953,1362,664,688,855,1586,8742,37,2127,202584,45029,41833,3273,25778,3147,4565,4086,97,2755,1111,1664,1519,8416,1430,446,3872,154233,12306,11631,31620,859,129
2020-06-21,2285121,583879,17769,425282,84572,68836,180545,1088233,37361,251338,56043,238499,246272,49801,242355,191272,8572,102957,305803,199862,60550,7474,181088,12591,1513,7143,1962,1541,24388,890,1950,985,26030,4738,5106,337,68,31292,24045,941,143,144,349,141,30052,89,123,571,1981,50640,20849,112306,883,213,55,39650,7492,698,1157,1596,9977,713,58505,509,4532,2317,187685,83,29471,1036,903,100,569,2312,9026,17732,12894,15,18,25379,11892,39133,20244,4120,24,730,1033,1793,21764,362,858,183,204,13145,1823,20268,635,6315,5826,4980,97302,2203,2808,1933,8,765,184,3356,906,104,489,5888,44925,19,29,1892,4626,659,19,4988,12729,314,18,290,11,26,601,23,87369,17341,3917,10498,42785,770,12438,1823,3266,22,2984,55233,1587,14154,728,1327,4428,30868,28919,14200,1379,665,733,855,1587,8745,37,2213,204952,45891,42095,3273,26677,3148,4582,4094,97,2779,1111,1664,1520,8580,1430,446,3905,157612,12769,11771,31931,876,129
2020-06-22,2316448,591465,17812,440215,84624,71367,185122,1114728,38056,257447,58932,238720,246504,49866,246963,191768,8587,103313,306761,200004,60550,7492,185034,12727,1515,7144,1995,1556,25493,944,1951,986,26752,4797,5196,340,68,31310,24291,967,143,144,349,141,30682,89,123,595,1981,50640,21194,115786,1087,215,63,40291,7677,702,1159,1640,10172,713,59023,509,4663,2336,188897,83,31076,1046,903,101,569,2315,9561,18231,12990,15,18,25383,12041,39392,20919,4121,24,749,1042,1796,22407,367,858,186,219,13769,1823,20588,643,6461,5924,5077,101590,2217,2963,1961,9,807,205,3356,908,104,512,5970,45303,19,29,1916,4808,665,19,4988,13207,319,18,291,11,26,626,23,88403,17380,4048,10523,44931,774,12484,1823,3287,23,3121,56809,1603,14154,787,1340,4739,32676,29229,14363,1392,665,737,855,1588,8751,41,2277,207525,46845,42313,3525,27370,3151,4599,4102,97,2812,1111,1664,1521,8698,1430,446,3984,161005,13356,11920,32227,882,130
2020-06-23,2352804,598878,17869,456183,84653,73760,191410,1154255,38901,260810,60837,238833,246752,49930,250767,192480,8590,103707,307682,200608,60810,7521,188926,12761,1516,7155,2047,1556,26389,982,1991,988,27314,4952,5311,340,70,31332,24505,992,143,144,349,141,31825,89,123,639,1982,51643,21645,119198,1087,215,72,41033,7904,707,1159,1724,10344,713,59487,509,4848,2366,190165,83,32394,1051,907,101,576,2318,10099,18765,13092,15,18,25391,12270,39737,21371,4133,24,803,1047,1798,23062,378,860,189,231,14540,2170,21006,674,6662,6027,5211,106108,2238,3051,1978,9,850,206,3726,911,104,525,6034,45683,19,29,1930,4973,670,19,5040,13715,319,18,292,11,26,650,23,89579,17408,4187,10650,47203,797,12535,1824,3302,23,3292,58141,1622,14568,798,1347,4849,34502,29567,14714,1422,665,757,855,1589,8772,42,2368,209970,47896,42432,3588,27936,3156,4617,4107,97,2812,1111,1664,1534,8796,1477,446,4114,164144,13943,12076,32527,885,130
2020-06-24,2389363,606043,17965,473105,84673,73760,196847,1195288,39852,264689,62324,239410,247086,50012,254416,192871,8596,104063,308337,200876,60898,7558,192970,12815,1519,7167,2114,1556,27487,999,2001,990,28030,5206,5445,341,70,31376,24826,1015,144,144,352,141,32295,92,123,670,1983,51643,22132,122660,1087,216,76,41879,8164,710,1160,1787,10907,713,59945,509,5034,2388,191657,83,33536,1051,919,102,583,2319,10728,19285,13235,15,18,25396,12592,40104,22020,4140,24,941,1071,1799,23570,389,860,197,231,14819,2170,21717,690,6990,6213,5216,111796,2261,3099,2005,10,902,209,3954,914,104,530,6129,46133,19,29,1942,5150,678,19,5174,14305,357,18,293,11,26,652,23,90778,17449,4366,10777,49851,805,12563,1824,3310,23,3519,59561,1644,15013,830,1354,4956,36702,29726,15078,1528,665,762,855,1607,8788,42,2515,212501,49009,42623,3676,28631,3157,4630,4114,97,2835,1111,1664,1541,8887,1489,446,4242,167267,14571,12248,32821,902,130
2020-06-25,2429874,613148,18047,490401,84701,77313,202951,1236752,40854,268602,63890,239706,247486,50122,259064,193371,8600,104387,309455,201131,61007,7595,195745,12836,1520,7172,2192,1556,28503,1003,2010,991,29037,5384,5595,341,70,31428,25286,1076,144,144,352,141,33069,92,123,698,1984,53156,22648,126606,1087,219,102,42788,8334,711,1162,1829,11338,713,60382,509,5175,2483,193115,83,34902,1056,934,102,588,2321,11162,19750,13372,15,18,25405,12592,40415,22614,4151,24,960,1086,1801,24081,414,863,212,242,15619,2170,22488,706,7177,6411,5324,118375,2277,3244,2039,10,1017,215,4204,917,104,551,6233,46563,19,29,1942,5336,684,19,5174,14852,373,18,293,11,65,662,23,91838,17477,4563,10870,52457,821,12602,1830,3321,23,3739,61130,1662,15473,850,1354,5087,39139,30261,15453,1569,668,788,855,1630,8788,43,2684,215096,50187,42736,3796,29141,3158,4635,4123,97,2878,1111,2001,1547,8887,1497,447,4408,170639,15366,12445,33119,907,130
2020-06-26,2476033,619936,18152,508953,84725,80811,208392,1281636,41975,272364,65137,239961,247905,50213,263360,194036,8606,104638,310836,202394,61106,7601,198883,12875,1522,7191,2269,1614,29423,1027,2014,992,29905,5533,5758,341,70,31486,25697,1089,167,144,353,141,34073,92,124,713,1986,53856,23112,130474,1087,219,121,43703,8739,712,1164,1922,11633,713,60713,509,5425,2539,194511,83,36034,1059,941,102,591,2325,11755,20319,13565,15,18,25414,12592,40866,23298,4173,24,1005,1104,1803,24805,439,865,212,255,15828,2170,23247,728,7427,6552,5429,124590,2283,3340,2060,11,1053,215,4446,919,104,561,6354,46973,19,29,1942,5517,686,19,5260,15369,389,18,293,16,65,681,23,92784,17522,4779,11038,55343,833,12653,1832,3343,24,3907,62755,1697,15834,858,1394,5209,41193,30346,15776,1711,670,816,855,1643,8832,43,2836,217724,51427,42955,3935,29764,3162,4643,4127,97,2878,1112,2001,1558,8982,1531,447,4513,174577,15994,12685,33395,919,139
2020-06-27,2518212,626779,18244,528859,84743,84660,212802,1318556,42932,275989,65137,240136,248469,50282,267766,194458,8616,104975,311727,202842,61209,7686,202955,12875,1526,7198,2330,1614,30676,1091,2033,992,30658,5811,5906,341,75,31555,26022,1103,191,170,355,141,34803,92,126,727,1986,54574,23510,133978,1087,219,136,44391,8944,713,1168,2005,11877,713,61095,509,5570,2624,195883,83,36953,1062,941,103,615,2330,12309,20319,13792,15,18,25437,12592,41189,24077,4217,24,1038,1111,1808,25267,469,865,259,256,16397,2170,23909,745,7682,6690,5543,131800,2305,3429,2118,11,1124,230,4513,921,104,567,6459,47360,19,29,1942,5727,690,19,5291,15890,467,18,296,20,65,684,23,93663,17580,5130,11298,57744,848,12715,1836,3366,24,4025,63923,1719,16431,878,1410,5209,43262,30702,16080,1942,670,839,855,1657,8846,44,2979,220180,52812,43246,3935,30619,3162,4643,4138,97,2878,1115,2001,1572,9257,1531,447,4625,178504,17007,12968,33714,924,141
2020-06-28,2560324,633563,18357,548318,84757,91995,216852,1351439,43856,279419,65137,240310,248770,50355,271982,194693,8634,105348,312640,203157,61295,7764,206512,12875,1528,7198,2402,1614,31524,1155,2037,994,31686,6070,6080,341,76,31617,26313,1118,191,170,355,141,35455,92,126,762,1987,55255,23895,137787,1087,220,183,44942,9101,713,1169,2078,12052,713,61475,509,5689,2691,197239,83,38150,1074,959,103,642,2332,12772,21327,14046,15,18,25439,12592,41646,24567,4242,24,1146,1121,1810,25705,481,866,267,256,16930,2170,24645,781,7948,6827,5722,138134,2324,3429,2147,11,1149,230,5017,924,104,567,6586,47797,19,29,1989,5934,696,19,5342,16424,490,18,299,70,69,684,23,94413,17654,5297,11603,59933,859,12757,1838,3376,24,4149,65188,1740,16742,900,1427,5209,45402,31053,16250,2127,670,859,855,1664,8855,45,3130,222669,54010,43459,3935,31373,3162,4643,4142,97,2894,1116,2001,1581,9314,1557,447,4691,182493,18082,13273,33907,929,141
2020-06-29,2600075,640246,18467,566840,84780,91995,220657,1372989,44538,282365,67667,240436,248970,50433,275999,195042,8637,105732,313470,203802,61361,7834,209337,12951,1528,7209,2466,1654,32125,1165,2039,994,32785,6190,6209,341,77,31652,26582,1128,191,170,355,141,36438,175,126,802,1987,55665,24652,141801,1087,220,196,45524,9214,713,1172,2138,12290,713,61790,509,5846,2725,198613,83,39060,1075,959,103,643,2340,13248,21819,14288,15,18,25462,12592,41912,25133,4256,24,1152,1128,1811,26239,501,866,276,269,17409,2170,25127,795,8222,6939,5722,144264,2337,3613,2173,11,1187,235,5296,926,104,574,6698,48246,19,29,1989,6173,698,19,5351,16968,501,18,299,77,69,768,23,95106,17723,5530,11805,62268,870,12800,1840,3390,24,4237,66754,1745,17351,1001,1450,5394,47151,31324,16357,2191,670,883,855,1665,8862,47,3269,225205,55092,43661,4325,31816,3169,4656,4145,97,2904,1117,2001,1585,9320,1568,447,4831,186436,18818,13571,34154,932,141
2020-06-30,2647346,646929,18605,585493,84785,95269,226089,1412669,45254,285213,68451,240578,249271,50483,279393,195418,8639,106029,314160,204244,61427,7920,213470,12968,1528,7214,2535,1654,33219,1227,2047,996,33550,6366,6334,341,77,31714,26970,1158,203,170,355,141,37514,227,130,824,1989,56432,25438,145483,1087,220,205,46195,9499,714,1174,2214,12533,713,62118,509,5846,2777,199906,83,40070,1075,962,103,650,2341,13564,22308,14564,15,18,25473,12592,42141,25694,4299,24,1224,1132,1812,26758,548,866,284,279,18096,2519,25542,812,8503,7039,5847,151209,2361,3745,2181,11,1199,245,5506,928,104,591,6793,48667,19,29,2007,6438,702,19,5391,17524,515,18,299,81,69,770,23,96088,17766,5832,11954,64530,889,12850,1842,3409,24,4363,68311,1778,17741,1025,1462,5394,49109,31445,16613,2221,670,889,855,1667,8879,49,3459,227662,56385,43907,4453,32568,3171,4682,4155,97,2924,1118,2001,1600,9372,1594,447,4989,190823,19558,13907,34393,936,141
2020-07-01,2698358,653479,18732,604641,84816,98090,231770,1459494,45924,288477,69692,240760,249659,50483,282043,195893,8640,106227,314992,205234,61509,8001,217809,12994,1530,7236,2580,1654,34227,1267,2054,998,34463,6673,6454,341,77,31851,27296,1190,203,170,355,141,38511,227,130,874,1989,58257,26410,149258,1382,220,285,46940,9702,715,1175,2303,12636,713,62424,509,5846,2831,201098,83,41194,1075,962,103,661,2348,14046,41065,14836,15,18,25477,12592,42454,26484,4345,24,1265,1133,1813,27414,576,866,291,293,19011,2519,26065,840,8781,7122,5933,159333,2382,3745,2202,11,1199,248,6261,931,104,605,6925,49069,19,29,2021,6736,707,19,5404,18112,535,18,303,81,69,780,23,97003,17873,6062,12046,67197,893,12904,1847,3432,28,4472,69814,1788,18134,1042,1498,5513,51524,31848,16898,2260,671,903,855,1687,8896,49,3753,230211,57770,44122,4606,33387,3173,4704,4157,97,2924,1121,2001,1613,9500,1632,447,5154,194225,20262,14272,34775,943,141
2020-07-02,2753202,660231,18926,625544,84830,102261,238511,1503895,46821,292004,70639,240961,250103,50546,284541,196370,8643,106583,285268,205773,61598,8066,221896,13015,1530,7241,2662,1654,35528,1301,2066,999,35237,6941,6625,341,77,31967,27746,1221,215,170,355,141,38805,227,130,891,1990,59468,27556,153277,1382,220,293,47859,9992,717,1178,2403,12969,713,62698,509,5846,2912,202284,84,42555,1081,967,106,667,2353,14519,42574,15195,15,18,25489,12592,42782,27110,4395,24,1342,1136,1820,27837,616,868,315,312,20072,2519,26658,873,9078,7189,5975,168061,2400,3788,2260,11,1199,250,6767,939,104,617,7054,49469,19,29,2021,7000,715,19,5450,18684,547,18,304,81,69,804,23,97897,17941,6273,12178,69941,902,12967,1850,3458,28,4606,71299,1796,18134,1063,1518,5513,53708,32108,17150,2303,671,918,855,1700,8902,55,4023,232863,59394,44310,4788,34197,3179,4715,4166,97,2944,1122,3071,1634,9573,1632,448,5315,197608,21120,14657,35146,947,141
2020-07-03,2807594,666941,19176,648315,84838,106392,245251,1546935,47705,295599,71419,241184,250545,50546,288089,196780,8648,106903,285787,206312,61727,8260,221896,13032,1530,7242,2752,1765,36818,1382,2069,999,35995,7188,6787,341,77,32101,28166,1240,215,191,355,141,40336,277,130,918,1991,60657,28495,156391,1557,220,350,48672,10244,719,1181,2512,13288,713,62997,509,5846,3008,203456,84,43929,1082,980,106,671,2361,15259,45719,15504,15,18,25498,12592,43156,27564,4447,24,1498,1147,1823,28410,663,871,328,328,21293,2519,27320,909,9396,7311,6040,177124,2410,3918,2285,11,1199,256,6878,943,104,625,7164,50141,19,29,2021,7267,721,22,5521,19267,561,18,306,81,68,819,23,98653,18050,6537,12319,72786,911,13030,1855,3486,30,4705,72711,1830,19388,1081,1524,5620,56020,32410,17445,2349,672,939,855,1720,8921,55,4311,235429,60695,44479,4962,35148,3180,4736,4172,97,2944,1122,3071,1650,9689,1632,449,5497,201801,22116,15070,35405,952,141
2020-07-04,2856104,673564,19450,673165,84857,109793,252165,1580502,48628,299080,71419,241419,250545,50548,291847,197198,8658,107116,286412,206670,61838,8443,225283,13032,1533,7248,2819,1765,38071,1421,2074,999,36983,7577,6932,341,78,32198,28582,1248,215,191,355,141,41830,277,130,989,1993,61535,29316,159679,1557,220,375,49303,10462,719,1186,2728,13822,713,63270,509,5846,3094,204610,84,45106,1082,987,106,676,2369,15491,47171,15829,16,18,25509,12592,43569,28167,4476,24,1613,1150,1826,28857,720,871,346,338,22501,2519,27900,954,9708,7379,6101,187977,2435,3969,2303,11,1199,272,7094,948,104,698,7272,50857,19,29,2021,7507,728,22,5570,19801,565,18,313,81,68,833,23,99183,18165,6750,12440,75376,927,13091,1860,3511,30,4827,74035,1855,19388,1092,1533,5620,58354,32758,17672,2385,672,969,855,1749,8926,57,4621,237878,62142,44664,4962,36184,3185,4736,4174,97,2961,1123,3071,1679,9689,1632,449,5677,205929,22921,15500,35719,955,141
2020-07-05,2905670,680283,19658,697413,84871,113685,256848,1605695,49468,302718,71419,241611,250545,50834,295532,197523,8663,107303,286931,206682,62016,8583,231818,13033,1534,7253,2893,1765,39297,1451,2076,1002,38149,7886,7046,341,80,32268,28973,1265,215,191,355,141,44254,277,133,1046,1993,61958,30147,162417,1557,220,412,49941,10772,720,1188,2941,14215,713,63554,509,5846,3151,205758,84,46178,1088,987,108,680,2372,15784,48574,16131,16,18,25527,12592,43897,28711,4522,24,1613,1164,1831,29367,781,872,346,358,23248,2519,28606,988,10020,7411,6230,196750,2468,3969,2330,11,1199,273,7377,951,104,716,7400,51540,19,29,2021,7777,732,22,5610,20324,594,19,313,81,68,833,23,99799,18280,7169,12515,77815,939,13137,1863,3519,30,4879,75253,1873,20085,1105,1542,5620,60479,33037,17814,2427,672,987,855,1764,8930,57,4996,240438,63749,44800,4962,37425,3190,4792,4183,98,2997,1124,3071,1700,9767,1632,449,5740,209509,23943,15941,35950,956,141
2020-07-06,2951703,686852,19834,719664,84889,117412,261750,1630149,50053,305703,73061,241819,251789,50870,298557,198064,8668,107718,287290,207700,62058,8755,234509,13079,1536,7257,2964,1790,40509,1463,2077,1003,39334,8067,7124,342,80,32315,29223,1290,215,191,369,141,46333,314,133,1117,1994,62380,31281,165618,1557,225,485,50644,10966,721,1199,3250,14379,713,63804,509,5846,3220,206844,85,47735,1093,1000,108,680,2380,15964,49683,16420,16,18,25531,12592,44129,29286,4542,24,1742,1167,1836,29821,841,872,346,372,23972,2519,28936,1011,10362,7432,6294,205721,2491,4033,2331,11,1199,273,8141,953,104,734,7478,52068,19,29,2021,8027,737,22,5610,20837,614,21,316,81,70,874,23,100345,18365,7411,12566,80447,953,13181,1866,3562,30,4948,76222,1885,21077,1113,1547,5743,62275,33150,17906,2456,672,1012,855,1765,8936,61,5241,243051,64958,44983,5458,38128,3195,4822,4189,98,3006,1127,3071,1716,9767,1632,449,5914,213716,24665,16404,36155,960,141
2020-07-07,3010613,693215,20042,742417,84917,120281,268008,1676848,50622,309278,73344,241956,252130,50907,301019,198343,8674,107973,287874,208154,62058,8886,237489,13089,1537,7262,3038,1790,41545,1499,2081,1004,40291,8250,7244,342,80,32369,29620,1297,215,191,369,141,47873,314,133,1182,1995,63245,32671,168645,1557,227,539,51245,11194,724,1205,3472,14607,713,64003,509,5846,3272,207897,85,48997,1094,1003,108,689,2395,16168,51059,16719,16,18,25538,14916,44416,29789,4603,24,1818,1169,1839,30321,907,873,386,372,24787,2846,29285,1056,10838,7432,6333,215855,2501,4071,2348,11,1199,284,8279,958,104,787,7547,52600,19,29,2021,8307,745,22,5636,21374,634,21,316,81,70,891,23,100945,18421,7693,12685,83426,971,13244,1873,3589,30,5024,77279,1907,21968,1172,1572,5743,64701,33470,18141,2502,673,1040,855,1767,8947,61,5486,245688,66226,45140,5621,38430,3195,4878,4205,98,3015,1134,3071,1739,9894,1895,449,6102,217108,25428,16879,36412,965,141
2020-07-08,3069886,699749,20249,767296,84950,124494,275003,1722098,51457,312911,73858,242149,252513,50959,303083,198699,8677,108302,288511,208976,62123,9056,240848,13101,1540,7265,3106,1790,42984,1542,2094,1005,41251,8528,7406,342,80,32498,30175,1318,215,191,369,141,50359,314,133,1268,2003,63245,33998,172134,1821,227,593,52007,11504,724,1221,3573,14771,713,64224,509,6774,3325,208938,85,50207,1097,1003,108,695,2399,16423,51059,17076,16,18,25542,14916,44859,30249,4650,24,1864,1169,1849,30931,960,873,386,372,25411,2846,29820,1138,11092,7432,6371,224665,2517,4109,2358,11,1199,284,8847,963,106,885,7657,53045,19,29,2021,8566,751,22,5697,21916,665,21,317,91,70,917,23,101553,18513,8008,12814,87030,977,13293,1880,3622,30,5087,78304,1946,22822,1194,1584,5871,67442,33680,18471,2554,673,1071,855,1798,8950,61,5836,248379,68079,45298,5869,39588,3197,4889,4210,98,3028,1141,3071,1763,9997,1895,449,6342,220144,25978,17348,36689,974,141
