,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,8198.0,8276.0,Huntsville,Madison,Alabama,10-05-2020
1,Athens State University,2,2276.0,2298.0,Athens,Limestone,Alabama,10-05-2020
2,Auburn University*,"1,912",6095.0,6156.0,Auburn,Lee,Alabama,10-05-2020
3,Birmingham-Southern College,106,20377.0,20731.0,Birmingham,Jefferson,Alabama,10-05-2020
4,Calhoun Community College,23,2276.0,2298.0,Tanner,Limestone,Alabama,10-05-2020
5,Central Alabama Community College,21,1112.0,1197.0,Alexander City,Tallapoosa,Alabama,10-05-2020
6,Enterprise State Community College,19,1467.0,1472.0,Enterprise,Coffee,Alabama,10-05-2020
7,Gadsden State Community College,31,3646.0,3691.0,Gadsden,Etowah,Alabama,10-05-2020
8,Jacksonville State University,219,3661.0,3705.0,Jacksonville,Calhoun,Alabama,10-05-2020
9,Lurleen B. Wallace Community College,9,1452.0,1480.0,Andalusia,Covington,Alabama,10-05-2020
10,Marion Military Institute,3,538.0,544.0,Marion,Perry,Alabama,10-05-2020
11,Samford University,237,20377.0,20731.0,Birmingham,Jefferson,Alabama,10-05-2020
12,Snead State Community College,11,3646.0,3691.0,Boaz,Etowah,Alabama,10-05-2020
13,Southern Union State Community College,48,693.0,706.0,Wadley,Randolph,Alabama,10-05-2020
14,Spring Hill College,69,13447.0,13744.0,Mobile,Mobile,Alabama,10-05-2020
15,Troy University,141,1230.0,1242.0,Troy,Pike,Alabama,10-05-2020
16,Troy University Dothan,8,3345.0,3368.0,Dothan,Houston,Alabama,10-05-2020
17,Troy University Montgomery,5,8843.0,9029.0,Montgomery,Montgomery,Alabama,10-05-2020
18,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,10-05-2020
19,Tuskegee University,41,,,Tuskeegee,,Alabama,10-05-2020
20,University of Alabama,"2,690",9100.0,9219.0,Tuscaloosa,Tuscaloosa,Alabama,10-05-2020
21,University of Alabama at Birmingham*,"1,239",20377.0,20731.0,Birmingham,Jefferson,Alabama,10-05-2020
22,University of Alabama in Huntsville,55,8198.0,8276.0,Huntsville,Madison,Alabama,10-05-2020
23,University of Montevallo,81,6356.0,6407.0,Montevallo,Shelby,Alabama,10-05-2020
24,University of North Alabama,244,1795.0,1832.0,Florence,Lauderdale,Alabama,10-05-2020
25,University of South Alabama,220,13447.0,13744.0,Mobile,Mobile,Alabama,10-05-2020
26,University of Alaska Anchorage,4,4826.0,4862.0,Anchorage,Anchorage,Alaska,10-05-2020
27,University of Alaska Fairbanks,44,1322.0,1333.0,Fairbanks,Fairbanks North Star,Alaska,10-05-2020
28,University of Alaska Southeast,1,300.0,302.0,Juneau,Juneau,Alaska,10-05-2020
29,Arizona State University,"1,701",139984.0,143411.0,Tempe,Maricopa,Arizona,10-05-2020
30,Arizona Western College,5,12467.0,12815.0,Yuma,Yuma,Arizona,10-05-2020
31,Embry-Riddle Aeronautical University at Prescott,31,2533.0,2617.0,Prescott,Yavapai,Arizona,10-05-2020
32,Grand Canyon University,55,139984.0,143411.0,Phoenix,Maricopa,Arizona,10-05-2020
33,Midwestern University at Glendale,61,139984.0,143411.0,Glendale,Maricopa,Arizona,10-05-2020
34,Northern Arizona University,116,4147.0,4291.0,Flagstaff,Coconino,Arizona,10-05-2020
35,University of Arizona†,"2,149",25353.0,25980.0,Tucson,Pima,Arizona,10-05-2020
36,Arkansas State University,143,3261.0,3287.0,Jonesboro,Craighead,Arkansas,10-05-2020
37,Arkansas Tech University,6,2218.0,2254.0,Russellville,Pope,Arkansas,10-05-2020
38,Harding University,17,946.0,975.0,Searcy,White,Arkansas,10-05-2020
39,Henderson State University,59,380.0,384.0,Arkadelphia,Clark,Arkansas,10-05-2020
40,Hendrix College,6,2706.0,2728.0,Conway,Faulkner,Arkansas,10-05-2020
41,John Brown University,29,6815.0,6910.0,Siloam Springs,Benton,Arkansas,10-05-2020
42,Lyon College,6,1194.0,1217.0,Batesville,Independence,Arkansas,10-05-2020
43,National Park College,10,,,Hot Springs,,Arkansas,10-05-2020
44,NorthWest Arkansas Community College,2,6815.0,6910.0,Bentonville,Benton,Arkansas,10-05-2020
45,Ouachita Baptist University,89,380.0,384.0,Arkadelphia,Clark,Arkansas,10-05-2020
46,Southern Arkansas University,99,547.0,565.0,Magnolia,Columbia,Arkansas,10-05-2020
47,University of Arkansas,"1,572",570.0,582.0,Fayetteville,Washington,Arkansas,10-05-2020
48,University of Arkansas Community College Rich Mountain,2,277.0,281.0,Mena,Polk,Arkansas,10-05-2020
49,University of Arkansas at Little Rock,98,9699.0,9859.0,Little Rock,Pulaski,Arkansas,10-05-2020
50,University of Arkansas at Monticello,16,356.0,363.0,Monticello,Drew,Arkansas,10-05-2020
51,University of Arkansas at Pine Bluff,139,20377.0,20731.0,Pine Bluff,Jefferson,Arkansas,10-05-2020
52,University of Arkansas-Fort Smith,42,3911.0,3974.0,Fort Smith,Sebastian,Arkansas,10-05-2020
53,University of Central Arkansas†,115,2706.0,2728.0,Conway,Faulkner,Arkansas,10-05-2020
54,University of the Ozarks,37,878.0,885.0,Clarksville,Johnson,Arkansas,10-05-2020
55,Antelope Valley College,9,268288.0,274942.0,Lancaster,Los Angeles,California,10-05-2020
56,Biola University,2,268288.0,274942.0,La Mirada,Los Angeles,California,10-05-2020
