,School,Cases,City,State,Date
0,Alabama A&M University,41,Huntsville,Alabama,11-30-2020
1,Alabama State University,2,Montgomery,Alabama,11-30-2020
2,Athens State University,33,Athens,Alabama,11-30-2020
3,Auburn University*,"2,079",Auburn,Alabama,11-30-2020
4,Auburn University at Montgomery,101,Montgomery,Alabama,11-30-2020
5,Bevill State Community College,4,Jasper,Alabama,11-30-2020
6,Birmingham-Southern College,214,Birmingham,Alabama,11-30-2020
7,Calhoun Community College,45,Tanner,Alabama,11-30-2020
8,Central Alabama Community College,34,Alexander City,Alabama,11-30-2020
9,Enterprise State Community College,36,Enterprise,Alabama,11-30-2020
10,Gadsden State Community College,52,Gadsden,Alabama,11-30-2020
11,Jacksonville State University,219,Jacksonville,Alabama,11-30-2020
12,Lurleen B. Wallace Community College,16,Andalusia,Alabama,11-30-2020
13,Marion Military Institute,6,Marion,Alabama,11-30-2020
14,Samford University,461,Birmingham,Alabama,11-30-2020
15,Snead State Community College,13,Boaz,Alabama,11-30-2020
16,Southern Union State Community College,59,Wadley,Alabama,11-30-2020
17,Spring Hill College,119,Mobile,Alabama,11-30-2020
18,Troy University,715,Troy,Alabama,11-30-2020
19,Troy University Dothan,13,Dothan,Alabama,11-30-2020
20,Troy University Montgomery,18,Montgomery,Alabama,11-30-2020
21,Troy University-Phenix City Campus,9,Phenix,Alabama,11-30-2020
22,Tuskegee University,110,Tuskeegee,Alabama,11-30-2020
23,University of Alabama,"3,219",Tuscaloosa,Alabama,11-30-2020
24,University of Alabama at Birmingham*,"2,119",Birmingham,Alabama,11-30-2020
25,University of Alabama in Huntsville,173,Huntsville,Alabama,11-30-2020
26,University of Montevallo,130,Montevallo,Alabama,11-30-2020
27,University of North Alabama,426,Florence,Alabama,11-30-2020
28,University of South Alabama,457,Mobile,Alabama,11-30-2020
29,University of West Alabama,27,Livingston,Alabama,11-30-2020
30,University of Alaska Anchorage,11,Anchorage,Alaska,11-30-2020
31,University of Alaska Fairbanks,104,Fairbanks,Alaska,11-30-2020
32,University of Alaska Southeast,1,Juneau,Alaska,11-30-2020
33,Arizona State University,"2,862",Tempe,Arizona,11-30-2020
