,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,10884.0,11002.0,Huntsville,Madison,Alabama,11-13-2020
1,Athens State University,23,3536.0,3577.0,Athens,Limestone,Alabama,11-13-2020
2,Auburn University*,"2,047",7057.0,7122.0,Auburn,Lee,Alabama,11-13-2020
3,Auburn University at Montgomery,80,11228.0,11449.0,Montgomery,Montgomery,Alabama,11-13-2020
4,Bevill State Community College,4,3156.0,3252.0,Jasper,Walker,Alabama,11-13-2020
5,Birmingham-Southern College,196,26810.0,27264.0,Birmingham,Jefferson,Alabama,11-13-2020
6,Calhoun Community College,36,3536.0,3577.0,Tanner,Limestone,Alabama,11-13-2020
7,Central Alabama Community College,24,1476.0,1564.0,Alexander City,Tallapoosa,Alabama,11-13-2020
8,Enterprise State Community College,32,2104.0,2116.0,Enterprise,Coffee,Alabama,11-13-2020
9,Gadsden State Community College,45,5127.0,5187.0,Gadsden,Etowah,Alabama,11-13-2020
10,Jacksonville State University,219,5352.0,5429.0,Jacksonville,Calhoun,Alabama,11-13-2020
11,Lurleen B. Wallace Community College,16,1976.0,2008.0,Andalusia,Covington,Alabama,11-13-2020
12,Marion Military Institute,5,628.0,634.0,Marion,Perry,Alabama,11-13-2020
13,Samford University,379,26810.0,27264.0,Birmingham,Jefferson,Alabama,11-13-2020
14,Snead State Community College,13,5127.0,5187.0,Boaz,Etowah,Alabama,11-13-2020
15,Southern Union State Community College,59,913.0,933.0,Wadley,Randolph,Alabama,11-13-2020
16,Spring Hill College,113,17983.0,18319.0,Mobile,Mobile,Alabama,11-13-2020
17,Troy University,628,1468.0,1482.0,Troy,Pike,Alabama,11-13-2020
18,Troy University Dothan,12,4651.0,4688.0,Dothan,Houston,Alabama,11-13-2020
19,Troy University Montgomery,16,11228.0,11449.0,Montgomery,Montgomery,Alabama,11-13-2020
20,Troy University-Phenix City Campus,8,,,Phenix,,Alabama,11-13-2020
21,Tuskegee University,69,,,Tuskeegee,,Alabama,11-13-2020
22,University of Alabama,"3,037",11418.0,11566.0,Tuscaloosa,Tuscaloosa,Alabama,11-13-2020
23,University of Alabama at Birmingham*,"1,779",26810.0,27264.0,Birmingham,Jefferson,Alabama,11-13-2020
24,University of Alabama in Huntsville,119,10884.0,11002.0,Huntsville,Madison,Alabama,11-13-2020
25,University of Montevallo,110,8719.0,8792.0,Montevallo,Shelby,Alabama,11-13-2020
26,University of North Alabama,370,3170.0,3221.0,Florence,Lauderdale,Alabama,11-13-2020
27,University of South Alabama,378,17983.0,18319.0,Mobile,Mobile,Alabama,11-13-2020
28,University of Alaska Anchorage,10,11427.0,11486.0,Anchorage,Anchorage,Alaska,11-13-2020
29,University of Alaska Fairbanks,94,2722.0,2739.0,Fairbanks,Fairbanks North Star,Alaska,11-13-2020
30,University of Alaska Southeast,1,712.0,716.0,Juneau,Juneau,Alaska,11-13-2020
31,Arizona State University,"2,518",169090.0,172864.0,Tempe,Maricopa,Arizona,11-13-2020
32,Arizona Western College,41,14639.0,15004.0,Yuma,Yuma,Arizona,11-13-2020
33,Dine College,7,4106.0,4293.0,Tsaile,Apache,Arizona,11-13-2020
34,Embry-Riddle Aeronautical University at Prescott,37,3399.0,3501.0,Prescott,Yavapai,Arizona,11-13-2020
35,Grand Canyon University,230,169090.0,172864.0,Phoenix,Maricopa,Arizona,11-13-2020
36,Midwestern University at Glendale,72,169090.0,172864.0,Glendale,Maricopa,Arizona,11-13-2020
37,Northern Arizona University,268,6068.0,6221.0,Flagstaff,Coconino,Arizona,11-13-2020
38,University of Arizona,"2,517",31205.0,31874.0,Tucson,Pima,Arizona,11-13-2020
39,Arkansas Northeastern College,28,2698.0,2771.0,Blytheville,Mississippi,Arkansas,11-13-2020
40,Arkansas State University,692,5826.0,5885.0,Jonesboro,Craighead,Arkansas,11-13-2020
41,Arkansas Tech University,340,3108.0,3147.0,Russellville,Pope,Arkansas,11-13-2020
42,Black River Technical College,56,913.0,933.0,Pocahontas,Randolph,Arkansas,11-13-2020
43,Harding University,300,2159.0,2200.0,Searcy,White,Arkansas,11-13-2020
44,Henderson State University,116,661.0,667.0,Arkadelphia,Clark,Arkansas,11-13-2020
45,Hendrix College,17,3965.0,4009.0,Conway,Faulkner,Arkansas,11-13-2020
46,John Brown University,36,9994.0,10127.0,Siloam Springs,Benton,Arkansas,11-13-2020
47,Lyon College,12,1756.0,1824.0,Batesville,Independence,Arkansas,11-13-2020
48,National Park College,36,,,Hot Springs,,Arkansas,11-13-2020
49,NorthWest Arkansas Community College,16,9994.0,10127.0,Bentonville,Benton,Arkansas,11-13-2020
50,Ouachita Baptist University,147,661.0,667.0,Arkadelphia,Clark,Arkansas,11-13-2020
51,Southern Arkansas University,144,830.0,852.0,Magnolia,Columbia,Arkansas,11-13-2020
52,University of Arkansas,"2,262",853.0,865.0,Fayetteville,Washington,Arkansas,11-13-2020
53,University of Arkansas Community College Rich Mountain,19,534.0,539.0,Mena,Polk,Arkansas,11-13-2020
54,University of Arkansas Community College at Hope - Texarkana,16,1860.0,1882.0,Texarkana,Miller,Arkansas,11-13-2020
55,University of Arkansas Community College-Morrilton,34,461.0,466.0,Morrilton,Conway,Arkansas,11-13-2020
56,University of Arkansas at Fort Smith,104,5874.0,5984.0,Fort Smith,Sebastian,Arkansas,11-13-2020
57,University of Arkansas at Little Rock,149,13817.0,14051.0,Little Rock,Pulaski,Arkansas,11-13-2020
58,University of Arkansas at Monticello,40,496.0,503.0,Monticello,Drew,Arkansas,11-13-2020
59,University of Arkansas at Pine Bluff,172,26810.0,27264.0,Pine Bluff,Jefferson,Arkansas,11-13-2020
60,University of Arkansas for Medical Sciences,69,13817.0,14051.0,Little Rock,Pulaski,Arkansas,11-13-2020
61,University of Central Arkansas,379,3965.0,4009.0,Conway,Faulkner,Arkansas,11-13-2020
62,University of the Ozarks,52,1118.0,1129.0,Clarksville,Johnson,Arkansas,11-13-2020
63,Antelope Valley College,14,325619.0,332865.0,Lancaster,Los Angeles,California,11-13-2020
64,Azusa Pacific University,8,325619.0,332865.0,Azusa,Los Angeles,California,11-13-2020
65,Biola University,6,325619.0,332865.0,La Mirada,Los Angeles,California,11-13-2020
66,California Baptist University,9,72813.0,74180.0,Riverside,Riverside,California,11-13-2020
67,California Institute of Technology,29,325619.0,332865.0,Pasadena,Los Angeles,California,11-13-2020
68,California Lutheran University,7,15842.0,16013.0,Thousand Oaks,Ventura,California,11-13-2020
69,"California Polytechnic State University, San Luis Obispo",271,4939.0,4972.0,San Luis Obispo,San Luis Obispo,California,11-13-2020
70,"California State Polytechnic University, Pomona",16,325619.0,332865.0,Pomona,Los Angeles,California,11-13-2020
71,California State University Maritime Academy,3,8650.0,8729.0,Vallejo,Solano,California,11-13-2020
72,"California State University, Bakersfield",5,35639.0,36069.0,Bakersfield,Kern,California,11-13-2020
73,"California State University, Channel Islands",9,15842.0,16013.0,Camarillo,Ventura,California,11-13-2020
74,"California State University, Chico",204,3315.0,3371.0,Chico,Butte,California,11-13-2020
75,"California State University, Dominguez Hills",9,325619.0,332865.0,Carson,Los Angeles,California,11-13-2020
76,"California State University, East Bay",22,25113.0,25599.0,Hayward,Alameda,California,11-13-2020
77,"California State University, Fullerton",10,62536.0,64058.0,Fullerton,Orange,California,11-13-2020
78,"California State University, Long Beach",32,325619.0,332865.0,Long Beach,Los Angeles,California,11-13-2020
79,"California State University, Los Angeles",88,325619.0,332865.0,Los Angeles,Los Angeles,California,11-13-2020
80,"California State University, Monterey Bay",5,12503.0,12606.0,Marina,Monterey,California,11-13-2020
81,"California State University, Northridge",39,325619.0,332865.0,Los Angeles,Los Angeles,California,11-13-2020
82,"California State University, Sacramento",43,28993.0,29510.0,Sacramento,Sacramento,California,11-13-2020
83,"California State University, San Bernardino",30,71904.0,73001.0,San Bernardino,San Bernardino,California,11-13-2020
84,"California State University, San Marcos",27,62024.0,62945.0,San Marcos,San Diego,California,11-13-2020
85,"California State University, Stanislaus",15,18581.0,18992.0,Turlock,Stanislaus,California,11-13-2020
86,Chapman University,37,62536.0,64058.0,Orange,Orange,California,11-13-2020
87,Concordia University Irvine,10,62536.0,64058.0,Irvine,Orange,California,11-13-2020
88,Cypress College,9,62536.0,64058.0,Cypress,Orange,California,11-13-2020
89,Dominican University of California,4,7199.0,7326.0,San Rafael,Marin,California,11-13-2020
90,Feather River College,7,128.0,128.0,Quincy,Plumas,California,11-13-2020
91,Fresno State University,30,32999.0,33459.0,Fresno,Fresno,California,11-13-2020
92,Harvey Mudd College,5,325619.0,332865.0,Claremont,Los Angeles,California,11-13-2020
93,Holy Names University,2,25113.0,25599.0,Oakland,Alameda,California,11-13-2020
94,Humboldt State University,12,648.0,658.0,Arcata,Humboldt,California,11-13-2020
95,Los Angeles Community College District‡,175,325619.0,332865.0,Los Angeles,Los Angeles,California,11-13-2020
96,Loyola Marymount University,21,325619.0,332865.0,Los Angeles,Los Angeles,California,11-13-2020
97,Menlo College,3,12164.0,12332.0,Atherton,San Mateo,California,11-13-2020
98,Mills College,3,25113.0,25599.0,Oakland,Alameda,California,11-13-2020
99,MiraCosta College,9,62024.0,62945.0,Oceanside,San Diego,California,11-13-2020
100,Occidental College,5,325619.0,332865.0,Los Angeles,Los Angeles,California,11-13-2020
101,Pepperdine University,26,325619.0,332865.0,Malibu,Los Angeles,California,11-13-2020
102,Pitzer College,1,325619.0,332865.0,Claremont,Los Angeles,California,11-13-2020
103,Point Loma Nazarene University,46,62024.0,62945.0,San Diego,San Diego,California,11-13-2020
104,Pomona College,1,325619.0,332865.0,Claremont,Los Angeles,California,11-13-2020
