,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,26283.0,26466.0,Huntsville,Madison,Alabama,01-14-2021
1,Alabama State University,2,18258.0,18562.0,Montgomery,Montgomery,Alabama,01-14-2021
2,Athens State University,35,7777.0,7850.0,Athens,Limestone,Alabama,01-14-2021
3,Auburn University*,"2,134",12023.0,12120.0,Auburn,Lee,Alabama,01-14-2021
4,Auburn University at Montgomery,140,18258.0,18562.0,Montgomery,Montgomery,Alabama,01-14-2021
5,Bevill State Community College,4,5658.0,5834.0,Jasper,Walker,Alabama,01-14-2021
6,Birmingham-Southern College,214,59955.0,60842.0,Birmingham,Jefferson,Alabama,01-14-2021
7,Calhoun Community College,84,7777.0,7850.0,Tanner,Limestone,Alabama,01-14-2021
8,Central Alabama Community College,39,2484.0,2591.0,Alexander City,Tallapoosa,Alabama,01-14-2021
9,Enterprise State Community College,41,4258.0,4314.0,Enterprise,Coffee,Alabama,01-14-2021
10,Gadsden State Community College,62,11346.0,11488.0,Gadsden,Etowah,Alabama,01-14-2021
11,Jacksonville State University,219,10666.0,10863.0,Jacksonville,Calhoun,Alabama,01-14-2021
12,Lurleen B. Wallace Community College,19,3188.0,3255.0,Andalusia,Covington,Alabama,01-14-2021
13,Marion Military Institute,13,931.0,950.0,Marion,Perry,Alabama,01-14-2021
14,Samford University,480,59955.0,60842.0,Birmingham,Jefferson,Alabama,01-14-2021
15,Snead State Community College,19,11346.0,11488.0,Boaz,Etowah,Alabama,01-14-2021
16,Southern Union State Community College,59,1341.0,1376.0,Wadley,Randolph,Alabama,01-14-2021
17,Spring Hill College,124,29052.0,29590.0,Mobile,Mobile,Alabama,01-14-2021
18,Troy University,749,2429.0,2458.0,Troy,Pike,Alabama,01-14-2021
19,Troy University Dothan,17,8282.0,8405.0,Dothan,Houston,Alabama,01-14-2021
20,Troy University Montgomery,18,18258.0,18562.0,Montgomery,Montgomery,Alabama,01-14-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,01-14-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,01-14-2021
23,University of Alabama,"3,361",20270.0,20537.0,Tuscaloosa,Tuscaloosa,Alabama,01-14-2021
24,University of Alabama at Birmingham*,"2,286",59955.0,60842.0,Birmingham,Jefferson,Alabama,01-14-2021
25,University of Alabama in Huntsville,210,26283.0,26466.0,Huntsville,Madison,Alabama,01-14-2021
26,University of Montevallo,140,18069.0,18181.0,Montevallo,Shelby,Alabama,01-14-2021
27,University of North Alabama,488,7320.0,7402.0,Florence,Lauderdale,Alabama,01-14-2021
28,University of South Alabama,507,29052.0,29590.0,Mobile,Mobile,Alabama,01-14-2021
29,University of West Alabama,30,865.0,891.0,Livingston,Sumter,Alabama,01-14-2021
30,University of Alaska Anchorage,12,24309.0,24438.0,Anchorage,Anchorage,Alaska,01-14-2021
31,University of Alaska Fairbanks,130,5508.0,5530.0,Fairbanks,Fairbanks North Star,Alaska,01-14-2021
32,University of Alaska Southeast,1,1089.0,1094.0,Juneau,Juneau,Alaska,01-14-2021
33,Arizona State University,"3,642",395643.0,401855.0,Tempe,Maricopa,Arizona,01-14-2021
34,Arizona Western College,41,31348.0,31958.0,Yuma,Yuma,Arizona,01-14-2021
35,Dine College,5,8143.0,8410.0,Tsaile,Apache,Arizona,01-14-2021
36,Embry-Riddle Aeronautical University at Prescott,54,13868.0,14170.0,Prescott,Yavapai,Arizona,01-14-2021
37,Grand Canyon University,"1,372",395643.0,401855.0,Phoenix,Maricopa,Arizona,01-14-2021
38,Midwestern University at Glendale,158,395643.0,401855.0,Glendale,Maricopa,Arizona,01-14-2021
39,Northern Arizona University,354,13178.0,13420.0,Flagstaff,Coconino,Arizona,01-14-2021
40,University of Arizona,"2,959",84983.0,86345.0,Tucson,Pima,Arizona,01-14-2021
41,Arkansas Northeastern College,56,4716.0,4817.0,Blytheville,Mississippi,Arkansas,01-14-2021
42,Arkansas State University,"1,153",11164.0,11313.0,Jonesboro,Craighead,Arkansas,01-14-2021
43,Arkansas State University-Newport,43,5682.0,5719.0,Newport,Jackson,Arkansas,01-14-2021
44,Arkansas Tech University,402,6370.0,6437.0,Russellville,Pope,Arkansas,01-14-2021
45,Black River Technical College,85,1341.0,1376.0,Pocahontas,Randolph,Arkansas,01-14-2021
46,Central Baptist College,20,9186.0,9300.0,Conway,Faulkner,Arkansas,01-14-2021
47,Harding University,435,5684.0,5759.0,Searcy,White,Arkansas,01-14-2021
48,Henderson State University,172,1573.0,1601.0,Arkadelphia,Clark,Arkansas,01-14-2021
49,Hendrix College,22,9186.0,9300.0,Conway,Faulkner,Arkansas,01-14-2021
50,John Brown University,66,22169.0,22471.0,Siloam Springs,Benton,Arkansas,01-14-2021
