,School,Cases,City,State,Date
0,Alabama A&M University,41,Huntsville,Alabama,12-27-2020
1,Alabama State University,2,Montgomery,Alabama,12-27-2020
2,Athens State University,35,Athens,Alabama,12-27-2020
3,Auburn University*,"2,134",Auburn,Alabama,12-27-2020
4,Auburn University at Montgomery,140,Montgomery,Alabama,12-27-2020
5,Bevill State Community College,4,Jasper,Alabama,12-27-2020
6,Birmingham-Southern College,214,Birmingham,Alabama,12-27-2020
7,Calhoun Community College,84,Tanner,Alabama,12-27-2020
8,Central Alabama Community College,39,Alexander City,Alabama,12-27-2020
9,Enterprise State Community College,41,Enterprise,Alabama,12-27-2020
10,Gadsden State Community College,62,Gadsden,Alabama,12-27-2020
11,Jacksonville State University,219,Jacksonville,Alabama,12-27-2020
12,Lurleen B. Wallace Community College,19,Andalusia,Alabama,12-27-2020
13,Marion Military Institute,13,Marion,Alabama,12-27-2020
14,Samford University,480,Birmingham,Alabama,12-27-2020
15,Snead State Community College,19,Boaz,Alabama,12-27-2020
16,Southern Union State Community College,59,Wadley,Alabama,12-27-2020
17,Spring Hill College,124,Mobile,Alabama,12-27-2020
18,Troy University,749,Troy,Alabama,12-27-2020
19,Troy University Dothan,17,Dothan,Alabama,12-27-2020
20,Troy University Montgomery,18,Montgomery,Alabama,12-27-2020
21,Troy University-Phenix City Campus,9,Phenix,Alabama,12-27-2020
22,Tuskegee University,110,Tuskeegee,Alabama,12-27-2020
23,University of Alabama,"3,361",Tuscaloosa,Alabama,12-27-2020
24,University of Alabama at Birmingham*,"2,286",Birmingham,Alabama,12-27-2020
25,University of Alabama in Huntsville,210,Huntsville,Alabama,12-27-2020
26,University of Montevallo,140,Montevallo,Alabama,12-27-2020
27,University of North Alabama,488,Florence,Alabama,12-27-2020
28,University of South Alabama,507,Mobile,Alabama,12-27-2020
29,University of West Alabama,30,Livingston,Alabama,12-27-2020
30,University of Alaska Anchorage,12,Anchorage,Alaska,12-27-2020
31,University of Alaska Fairbanks,130,Fairbanks,Alaska,12-27-2020
32,University of Alaska Southeast,1,Juneau,Alaska,12-27-2020
33,Arizona State University,"3,642",Tempe,Arizona,12-27-2020
34,Arizona Western College,41,Yuma,Arizona,12-27-2020
35,Dine College,5,Tsaile,Arizona,12-27-2020
36,Embry-Riddle Aeronautical University at Prescott,54,Prescott,Arizona,12-27-2020
37,Grand Canyon University,"1,372",Phoenix,Arizona,12-27-2020
38,Midwestern University at Glendale,158,Glendale,Arizona,12-27-2020
39,Northern Arizona University,354,Flagstaff,Arizona,12-27-2020
40,University of Arizona,"2,959",Tucson,Arizona,12-27-2020
41,Arkansas Northeastern College,56,Blytheville,Arkansas,12-27-2020
42,Arkansas State University,"1,153",Jonesboro,Arkansas,12-27-2020
43,Arkansas State University-Newport,43,Newport,Arkansas,12-27-2020
44,Arkansas Tech University,402,Russellville,Arkansas,12-27-2020
45,Black River Technical College,85,Pocahontas,Arkansas,12-27-2020
46,Central Baptist College,20,Conway,Arkansas,12-27-2020
47,Harding University,435,Searcy,Arkansas,12-27-2020
48,Henderson State University,172,Arkadelphia,Arkansas,12-27-2020
49,Hendrix College,22,Conway,Arkansas,12-27-2020
50,John Brown University,66,Siloam Springs,Arkansas,12-27-2020
51,Lyon College,22,Batesville,Arkansas,12-27-2020
52,National Park College,66,Hot Springs,Arkansas,12-27-2020
53,North Arkansas College,76,Harrison,Arkansas,12-27-2020
54,NorthWest Arkansas Community College,34,Bentonville,Arkansas,12-27-2020
55,Ouachita Baptist University,197,Arkadelphia,Arkansas,12-27-2020
56,South Arkansas Community College,41,El Dorado,Arkansas,12-27-2020
57,Southern Arkansas University,216,Magnolia,Arkansas,12-27-2020
58,University of Arkansas,"2,742",Fayetteville,Arkansas,12-27-2020
59,University of Arkansas Community College Rich Mountain,19,Mena,Arkansas,12-27-2020
60,University of Arkansas Community College at Hope - Texarkana,32,Texarkana,Arkansas,12-27-2020
61,University of Arkansas Community College-Morrilton,34,Morrilton,Arkansas,12-27-2020
62,University of Arkansas at Fort Smith,192,Fort Smith,Arkansas,12-27-2020
63,University of Arkansas at Little Rock,218,Little Rock,Arkansas,12-27-2020
64,University of Arkansas at Monticello,106,Monticello,Arkansas,12-27-2020
65,University of Arkansas at Pine Bluff,201,Pine Bluff,Arkansas,12-27-2020
66,University of Arkansas for Medical Sciences,181,Little Rock,Arkansas,12-27-2020
67,University of Arkansas-Pulaski Technical College,108,North Little Rock,Arkansas,12-27-2020
68,University of Central Arkansas,563,Conway,Arkansas,12-27-2020
69,University of the Ozarks,63,Clarksville,Arkansas,12-27-2020
70,Antelope Valley College,28,Lancaster,California,12-27-2020
71,Azusa Pacific University,44,Azusa,California,12-27-2020
72,Biola University,10,La Mirada,California,12-27-2020
73,California Baptist University,25,Riverside,California,12-27-2020
74,California Institute of Technology,48,Pasadena,California,12-27-2020
75,California Lutheran University,22,Thousand Oaks,California,12-27-2020
76,"California Polytechnic State University, San Luis Obispo",871,San Luis Obispo,California,12-27-2020
77,"California State Polytechnic University, Pomona",22,Pomona,California,12-27-2020
78,California State University Maritime Academy,8,Vallejo,California,12-27-2020
79,"California State University, Bakersfield",68,Bakersfield,California,12-27-2020
80,"California State University, Channel Islands",14,Camarillo,California,12-27-2020
81,"California State University, Chico",233,Chico,California,12-27-2020
82,"California State University, Dominguez Hills",12,Carson,California,12-27-2020
83,"California State University, East Bay",27,Hayward,California,12-27-2020
84,"California State University, Fullerton",22,Fullerton,California,12-27-2020
85,"California State University, Long Beach",51,Long Beach,California,12-27-2020
86,"California State University, Los Angeles",105,Los Angeles,California,12-27-2020
87,"California State University, Monterey Bay",10,Marina,California,12-27-2020
88,"California State University, Northridge",71,Los Angeles,California,12-27-2020
89,"California State University, Sacramento",77,Sacramento,California,12-27-2020
90,"California State University, San Bernardino",28,San Bernardino,California,12-27-2020
91,"California State University, San Marcos",45,San Marcos,California,12-27-2020
92,"California State University, Stanislaus",20,Turlock,California,12-27-2020
93,Chapman University,152,Orange,California,12-27-2020
94,Concordia University Irvine,23,Irvine,California,12-27-2020
95,Cypress College,19,Cypress,California,12-27-2020
96,Dominican University of California,8,San Rafael,California,12-27-2020
97,El Camino Community College,14,Torrance,California,12-27-2020
98,Feather River College,7,Quincy,California,12-27-2020
99,Fresno Pacific University,13,Fresno,California,12-27-2020
100,Fresno State University,48,Fresno,California,12-27-2020
101,Harvey Mudd College,5,Claremont,California,12-27-2020
102,Holy Names University,7,Oakland,California,12-27-2020
103,Humboldt State University,31,Arcata,California,12-27-2020
104,Los Angeles Community College District‡,180,Los Angeles,California,12-27-2020
105,Loyola Marymount University,34,Los Angeles,California,12-27-2020
106,Menlo College,10,Atherton,California,12-27-2020
107,Mills College,3,Oakland,California,12-27-2020
108,MiraCosta College,12,Oceanside,California,12-27-2020
109,Occidental College‡,10,Los Angeles,California,12-27-2020
110,Pepperdine University,36,Malibu,California,12-27-2020
111,Pitzer College,1,Claremont,California,12-27-2020
112,Point Loma Nazarene University‡,90,San Diego,California,12-27-2020
113,Pomona College,16,Claremont,California,12-27-2020
114,Rio Hondo College*,31,Whittier,California,12-27-2020
115,Saint Mary's College of California,15,Moraga,California,12-27-2020
116,San Diego City College,7,San Diego,California,12-27-2020
117,San Diego Mesa College,2,San Diego,California,12-27-2020
118,San Diego Miramar College,5,San Diego,California,12-27-2020
119,San Diego State University System,"1,892",San Diego,California,12-27-2020
120,San Francisco State University,10,San Francisco,California,12-27-2020
121,San Jose State University,73,San Jose,California,12-27-2020
122,Santa Ana College,25,Santa Ana,California,12-27-2020
123,Santa Clara University,95,Santa Clara,California,12-27-2020
124,Santa Monica College,5,Santa Monica,California,12-27-2020
125,Santiago Canyon College,4,Orange,California,12-27-2020
126,Scripps College,4,Claremont,California,12-27-2020
127,Shasta College,37,Redding,California,12-27-2020
128,Sonoma State University,5,Ronhert Park,California,12-27-2020
129,Southwestern College,14,Chula Vista,California,12-27-2020
130,Stanford University*,242,Stanford,California,12-27-2020
131,"University of California, Berkeley",330,Berkeley,California,12-27-2020
132,"University of California, Davis",123,Davis,California,12-27-2020
133,"University of California, Hastings College of Law",11,San Francisco,California,12-27-2020
134,"University of California, Irvine",341,Irvine,California,12-27-2020
135,"University of California, Los Angeles",712,Los Angeles,California,12-27-2020
136,"University of California, Merced",45,Merced,California,12-27-2020
137,"University of California, Riverside",162,Riverside,California,12-27-2020
138,"University of California, San Diego*",720,San Diego,California,12-27-2020
139,"University of California, San Francisco*",380,San Francisco,California,12-27-2020
140,"University of California, Santa Barbara",33,Santa Barbara,California,12-27-2020
141,"University of California, Santa Cruz",69,Santa Cruz,California,12-27-2020
142,University of Redlands,12,Redlands,California,12-27-2020
143,University of San Diego,234,San Diego,California,12-27-2020
144,University of San Francisco,17,San Francisco,California,12-27-2020
145,University of Southern California,808,Los Angeles,California,12-27-2020
146,University of the Pacific,10,Stockton,California,12-27-2020
147,Westmont College,10,Santa Barbara,California,12-27-2020
148,Whittier College,2,Whittier,California,12-27-2020
149,Adams State University,108,Alamosa,Colorado,12-27-2020
150,Arapahoe Community College,72,Littleton,Colorado,12-27-2020
151,Colorado Christian University,109,Lakewood,Colorado,12-27-2020
152,Colorado College,55,Colorado Springs,Colorado,12-27-2020
153,Colorado Mesa University,850,Grand Junction,Colorado,12-27-2020
154,Colorado Mountain College Glenwood Springs,44,Glenwood Springs,Colorado,12-27-2020
155,Colorado School of Mines,389,Golden,Colorado,12-27-2020
156,Colorado State University,"1,695",Fort Collins,Colorado,12-27-2020
157,Colorado State University-Pueblo,217,Pueblo,Colorado,12-27-2020
158,Community College of Aurora,38,Aurora,Colorado,12-27-2020
159,Community College of Denver,59,Denver,Colorado,12-27-2020
160,Fort Lewis College,183,Durango,Colorado,12-27-2020
161,Front Range Community College,43,Westminster,Colorado,12-27-2020
162,Johnson & Wales University-Denver,8,Denver,Colorado,12-27-2020
163,Metropolitan State University of Denver,158,Denver,Colorado,12-27-2020
164,Morgan Community College,13,Fort Morgan,Colorado,12-27-2020
165,Northeastern Junior College,104,Sterling,Colorado,12-27-2020
166,Otero Junior College,31,La Junta,Colorado,12-27-2020
167,Pikes Peak Community College,45,Colorado Springs,Colorado,12-27-2020
168,Pueblo Community College,73,Pueblo,Colorado,12-27-2020
169,Regis University,177,Denver,Colorado,12-27-2020
170,Trinidad State Junior College,37,Trinidad,Colorado,12-27-2020
171,United States Air Force Academy,2,Air Force Academy,Colorado,12-27-2020
