,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,11403.0,11523.0,Huntsville,Madison,Alabama,11-17-2020
1,Athens State University,23,3681.0,3723.0,Athens,Limestone,Alabama,11-17-2020
2,Auburn University*,"2,047",7213.0,7278.0,Auburn,Lee,Alabama,11-17-2020
3,Auburn University at Montgomery,80,11482.0,11709.0,Montgomery,Montgomery,Alabama,11-17-2020
4,Bevill State Community College,4,3230.0,3326.0,Jasper,Walker,Alabama,11-17-2020
5,Birmingham-Southern College,196,27944.0,28420.0,Birmingham,Jefferson,Alabama,11-17-2020
6,Calhoun Community College,36,3681.0,3723.0,Tanner,Limestone,Alabama,11-17-2020
7,Central Alabama Community College,24,1526.0,1614.0,Alexander City,Tallapoosa,Alabama,11-17-2020
8,Enterprise State Community College,32,2181.0,2195.0,Enterprise,Coffee,Alabama,11-17-2020
9,Gadsden State Community College,45,5379.0,5440.0,Gadsden,Etowah,Alabama,11-17-2020
10,Jacksonville State University,219,5625.0,5702.0,Jacksonville,Calhoun,Alabama,11-17-2020
11,Lurleen B. Wallace Community College,16,2015.0,2047.0,Andalusia,Covington,Alabama,11-17-2020
12,Marion Military Institute,5,636.0,642.0,Marion,Perry,Alabama,11-17-2020
13,Samford University,379,27944.0,28420.0,Birmingham,Jefferson,Alabama,11-17-2020
14,Snead State Community College,13,5379.0,5440.0,Boaz,Etowah,Alabama,11-17-2020
15,Southern Union State Community College,59,938.0,958.0,Wadley,Randolph,Alabama,11-17-2020
16,Spring Hill College,113,18354.0,18696.0,Mobile,Mobile,Alabama,11-17-2020
17,Troy University,628,1497.0,1511.0,Troy,Pike,Alabama,11-17-2020
18,Troy University Dothan,12,4763.0,4800.0,Dothan,Houston,Alabama,11-17-2020
19,Troy University Montgomery,16,11482.0,11709.0,Montgomery,Montgomery,Alabama,11-17-2020
20,Troy University-Phenix City Campus,8,,,Phenix,,Alabama,11-17-2020
21,Tuskegee University,69,,,Tuskeegee,,Alabama,11-17-2020
22,University of Alabama,"3,037",11800.0,11949.0,Tuscaloosa,Tuscaloosa,Alabama,11-17-2020
23,University of Alabama at Birmingham*,"1,779",27944.0,28420.0,Birmingham,Jefferson,Alabama,11-17-2020
24,University of Alabama in Huntsville,119,11403.0,11523.0,Huntsville,Madison,Alabama,11-17-2020
25,University of Montevallo,110,9086.0,9160.0,Montevallo,Shelby,Alabama,11-17-2020
26,University of North Alabama,370,3379.0,3431.0,Florence,Lauderdale,Alabama,11-17-2020
27,University of South Alabama,378,18354.0,18696.0,Mobile,Mobile,Alabama,11-17-2020
28,University of Alaska Anchorage,10,13214.0,13275.0,Anchorage,Anchorage,Alaska,11-17-2020
29,University of Alaska Fairbanks,94,2915.0,2932.0,Fairbanks,Fairbanks North Star,Alaska,11-17-2020
30,University of Alaska Southeast,1,756.0,760.0,Juneau,Juneau,Alaska,11-17-2020
31,Arizona State University,"2,518",174830.0,178639.0,Tempe,Maricopa,Arizona,11-17-2020
32,Arizona Western College,41,15277.0,15642.0,Yuma,Yuma,Arizona,11-17-2020
33,Dine College,7,4299.0,4488.0,Tsaile,Apache,Arizona,11-17-2020
34,Embry-Riddle Aeronautical University at Prescott,37,3687.0,3791.0,Prescott,Yavapai,Arizona,11-17-2020
35,Grand Canyon University,230,174830.0,178639.0,Phoenix,Maricopa,Arizona,11-17-2020
36,Midwestern University at Glendale,72,174830.0,178639.0,Glendale,Maricopa,Arizona,11-17-2020
37,Northern Arizona University,268,6317.0,6476.0,Flagstaff,Coconino,Arizona,11-17-2020
38,University of Arizona,"2,517",32774.0,33444.0,Tucson,Pima,Arizona,11-17-2020
39,Arkansas Northeastern College,28,2792.0,2869.0,Blytheville,Mississippi,Arkansas,11-17-2020
40,Arkansas State University,692,6055.0,6124.0,Jonesboro,Craighead,Arkansas,11-17-2020
41,Arkansas Tech University,340,3231.0,3270.0,Russellville,Pope,Arkansas,11-17-2020
42,Black River Technical College,56,938.0,958.0,Pocahontas,Randolph,Arkansas,11-17-2020
43,Harding University,300,2375.0,2419.0,Searcy,White,Arkansas,11-17-2020
44,Henderson State University,116,687.0,695.0,Arkadelphia,Clark,Arkansas,11-17-2020
45,Hendrix College,17,4137.0,4181.0,Conway,Faulkner,Arkansas,11-17-2020
46,John Brown University,36,10408.0,10543.0,Siloam Springs,Benton,Arkansas,11-17-2020
47,Lyon College,12,1812.0,1880.0,Batesville,Independence,Arkansas,11-17-2020
48,National Park College,36,,,Hot Springs,,Arkansas,11-17-2020
49,NorthWest Arkansas Community College,16,10408.0,10543.0,Bentonville,Benton,Arkansas,11-17-2020
50,Ouachita Baptist University,147,687.0,695.0,Arkadelphia,Clark,Arkansas,11-17-2020
51,Southern Arkansas University,144,868.0,890.0,Magnolia,Columbia,Arkansas,11-17-2020
52,University of Arkansas,"2,262",863.0,880.0,Fayetteville,Washington,Arkansas,11-17-2020
53,University of Arkansas Community College Rich Mountain,19,603.0,609.0,Mena,Polk,Arkansas,11-17-2020
54,University of Arkansas Community College at Hope - Texarkana,16,1909.0,1931.0,Texarkana,Miller,Arkansas,11-17-2020
55,University of Arkansas Community College-Morrilton,34,515.0,521.0,Morrilton,Conway,Arkansas,11-17-2020
56,University of Arkansas at Fort Smith,104,6103.0,6218.0,Fort Smith,Sebastian,Arkansas,11-17-2020
57,University of Arkansas at Little Rock,149,14443.0,14684.0,Little Rock,Pulaski,Arkansas,11-17-2020
58,University of Arkansas at Monticello,40,525.0,532.0,Monticello,Drew,Arkansas,11-17-2020
59,University of Arkansas at Pine Bluff,172,27944.0,28420.0,Pine Bluff,Jefferson,Arkansas,11-17-2020
60,University of Arkansas for Medical Sciences,69,14443.0,14684.0,Little Rock,Pulaski,Arkansas,11-17-2020
61,University of Central Arkansas,379,4137.0,4181.0,Conway,Faulkner,Arkansas,11-17-2020
62,University of the Ozarks,52,1149.0,1160.0,Clarksville,Johnson,Arkansas,11-17-2020
63,Antelope Valley College,14,337224.0,344523.0,Lancaster,Los Angeles,California,11-17-2020
64,Azusa Pacific University,8,337224.0,344523.0,Azusa,Los Angeles,California,11-17-2020
65,Biola University,6,337224.0,344523.0,La Mirada,Los Angeles,California,11-17-2020
66,California Baptist University,9,75350.0,76724.0,Riverside,Riverside,California,11-17-2020
67,California Institute of Technology,29,337224.0,344523.0,Pasadena,Los Angeles,California,11-17-2020
68,California Lutheran University,7,16518.0,16691.0,Thousand Oaks,Ventura,California,11-17-2020
69,"California Polytechnic State University, San Luis Obispo",271,5216.0,5250.0,San Luis Obispo,San Luis Obispo,California,11-17-2020
70,"California State Polytechnic University, Pomona",16,337224.0,344523.0,Pomona,Los Angeles,California,11-17-2020
71,California State University Maritime Academy,3,9008.0,9088.0,Vallejo,Solano,California,11-17-2020
72,"California State University, Bakersfield",5,36487.0,36919.0,Bakersfield,Kern,California,11-17-2020
73,"California State University, Channel Islands",9,16518.0,16691.0,Camarillo,Ventura,California,11-17-2020
74,"California State University, Chico",204,3433.0,3490.0,Chico,Butte,California,11-17-2020
75,"California State University, Dominguez Hills",9,337224.0,344523.0,Carson,Los Angeles,California,11-17-2020
76,"California State University, East Bay",22,25967.0,26460.0,Hayward,Alameda,California,11-17-2020
77,"California State University, Fullerton",10,64431.0,65957.0,Fullerton,Orange,California,11-17-2020
78,"California State University, Long Beach",32,337224.0,344523.0,Long Beach,Los Angeles,California,11-17-2020
79,"California State University, Los Angeles",88,337224.0,344523.0,Los Angeles,Los Angeles,California,11-17-2020
80,"California State University, Monterey Bay",5,13000.0,13110.0,Marina,Monterey,California,11-17-2020
81,"California State University, Northridge",39,337224.0,344523.0,Los Angeles,Los Angeles,California,11-17-2020
82,"California State University, Sacramento",43,30472.0,30999.0,Sacramento,Sacramento,California,11-17-2020
83,"California State University, San Bernardino",30,75587.0,76685.0,San Bernardino,San Bernardino,California,11-17-2020
84,"California State University, San Marcos",27,65386.0,66319.0,San Marcos,San Diego,California,11-17-2020
85,"California State University, Stanislaus",15,19097.0,19510.0,Turlock,Stanislaus,California,11-17-2020
86,Chapman University,37,64431.0,65957.0,Orange,Orange,California,11-17-2020
87,Concordia University Irvine,10,64431.0,65957.0,Irvine,Orange,California,11-17-2020
88,Cypress College,9,64431.0,65957.0,Cypress,Orange,California,11-17-2020
89,Dominican University of California,4,7281.0,7409.0,San Rafael,Marin,California,11-17-2020
90,Feather River College,7,147.0,147.0,Quincy,Plumas,California,11-17-2020
91,Fresno State University,30,34130.0,34593.0,Fresno,Fresno,California,11-17-2020
92,Harvey Mudd College,5,337224.0,344523.0,Claremont,Los Angeles,California,11-17-2020
93,Holy Names University,2,25967.0,26460.0,Oakland,Alameda,California,11-17-2020
94,Humboldt State University,12,685.0,695.0,Arcata,Humboldt,California,11-17-2020
95,Los Angeles Community College District‡,175,337224.0,344523.0,Los Angeles,Los Angeles,California,11-17-2020
96,Loyola Marymount University,21,337224.0,344523.0,Los Angeles,Los Angeles,California,11-17-2020
97,Menlo College,3,12516.0,12684.0,Atherton,San Mateo,California,11-17-2020
98,Mills College,3,25967.0,26460.0,Oakland,Alameda,California,11-17-2020
99,MiraCosta College,9,65386.0,66319.0,Oceanside,San Diego,California,11-17-2020
100,Occidental College,5,337224.0,344523.0,Los Angeles,Los Angeles,California,11-17-2020
101,Pepperdine University,26,337224.0,344523.0,Malibu,Los Angeles,California,11-17-2020
102,Pitzer College,1,337224.0,344523.0,Claremont,Los Angeles,California,11-17-2020
103,Point Loma Nazarene University,46,65386.0,66319.0,San Diego,San Diego,California,11-17-2020
104,Pomona College,1,337224.0,344523.0,Claremont,Los Angeles,California,11-17-2020
105,Rio Hondo College*,19,337224.0,344523.0,Whittier,Los Angeles,California,11-17-2020
106,Saint Mary's College of California,9,21205.0,21458.0,Moraga,Contra Costa,California,11-17-2020
107,San Diego City College,5,65386.0,66319.0,San Diego,San Diego,California,11-17-2020
108,San Diego Mesa College,2,65386.0,66319.0,San Diego,San Diego,California,11-17-2020
109,San Diego Miramar College,2,65386.0,66319.0,San Diego,San Diego,California,11-17-2020
110,San Diego State University System,"1,301",65386.0,66319.0,San Diego,San Diego,California,11-17-2020
111,San Francisco State University,7,13691.0,13847.0,San Francisco,San Francisco,California,11-17-2020
112,San Jose State University,54,28576.0,29023.0,San Jose,Santa Clara,California,11-17-2020
113,Santa Ana College,9,64431.0,65957.0,Santa Ana,Orange,California,11-17-2020
114,Santa Clara University,36,28576.0,29023.0,Santa Clara,Santa Clara,California,11-17-2020
115,Santa Monica College,5,337224.0,344523.0,Santa Monica,Los Angeles,California,11-17-2020
116,Scripps College,4,337224.0,344523.0,Claremont,Los Angeles,California,11-17-2020
117,Shasta College,5,3447.0,3483.0,Redding,Shasta,California,11-17-2020
118,Sonoma State University,4,,,Ronhert Park,,California,11-17-2020
119,Southwestern College,10,65386.0,66319.0,Chula Vista,San Diego,California,11-17-2020
120,Stanford University*,165,28576.0,29023.0,Stanford,Santa Clara,California,11-17-2020
121,"University of California, Berkeley",238,25967.0,26460.0,Berkeley,Alameda,California,11-17-2020
122,"University of California, Davis",96,3822.0,3892.0,Davis,Yolo,California,11-17-2020
123,"University of California, Hastings College of Law",5,13691.0,13847.0,San Francisco,San Francisco,California,11-17-2020
124,"University of California, Irvine",119,64431.0,65957.0,Irvine,Orange,California,11-17-2020
125,"University of California, Los Angeles",251,337224.0,344523.0,Los Angeles,Los Angeles,California,11-17-2020
126,"University of California, Merced",22,10380.0,10552.0,Merced,Merced,California,11-17-2020
127,"University of California, Riverside",80,75350.0,76724.0,Riverside,Riverside,California,11-17-2020
128,"University of California, San Diego*",384,65386.0,66319.0,San Diego,San Diego,California,11-17-2020
129,"University of California, San Francisco*",263,13691.0,13847.0,San Francisco,San Francisco,California,11-17-2020
130,"University of California, Santa Barbara",33,10444.0,10577.0,Santa Barbara,Santa Barbara,California,11-17-2020
131,"University of California, Santa Cruz",20,3271.0,3337.0,Santa Cruz,Santa Cruz,California,11-17-2020
132,University of Redlands,9,75587.0,76685.0,Redlands,San Bernardino,California,11-17-2020
133,University of San Diego,175,65386.0,66319.0,San Diego,San Diego,California,11-17-2020
134,University of San Francisco,9,13691.0,13847.0,San Francisco,San Francisco,California,11-17-2020
135,University of Southern California,556,337224.0,344523.0,Los Angeles,Los Angeles,California,11-17-2020
136,University of the Pacific,10,23233.0,23734.0,Stockton,San Joaquin,California,11-17-2020
137,Westmont College,8,10444.0,10577.0,Santa Barbara,Santa Barbara,California,11-17-2020
138,Whittier College,2,337224.0,344523.0,Whittier,Los Angeles,California,11-17-2020
139,Adams State University,17,454.0,465.0,Alamosa,Alamosa,Colorado,11-17-2020
140,Arapahoe Community College,29,20553.0,20970.0,Littleton,Arapahoe,Colorado,11-17-2020
141,Colorado Christian University,25,,,Lakewood,,Colorado,11-17-2020
142,Colorado College,18,18987.0,19218.0,Colorado Springs,El Paso,Colorado,11-17-2020
143,Colorado Mesa University,164,3820.0,3859.0,Grand Junction,Mesa,Colorado,11-17-2020
