,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,,33108.0,Huntsville,Madison,Alabama,03-17-2021
1,Alabama State University,2,,23317.0,Montgomery,Montgomery,Alabama,03-17-2021
2,Athens State University,35,,9648.0,Athens,Limestone,Alabama,03-17-2021
3,Auburn University*,"2,134",,15218.0,Auburn,Lee,Alabama,03-17-2021
4,Auburn University at Montgomery,140,,23317.0,Montgomery,Montgomery,Alabama,03-17-2021
5,Bevill State Community College,4,,6989.0,Jasper,Walker,Alabama,03-17-2021
6,Birmingham-Southern College,214,,73722.0,Birmingham,Jefferson,Alabama,03-17-2021
7,Calhoun Community College,84,,9648.0,Tanner,Limestone,Alabama,03-17-2021
8,Central Alabama Community College,39,,3818.0,Alexander City,Tallapoosa,Alabama,03-17-2021
9,Enterprise State Community College,41,,5338.0,Enterprise,Coffee,Alabama,03-17-2021
10,Gadsden State Community College,62,,13572.0,Gadsden,Etowah,Alabama,03-17-2021
11,Jacksonville State University,219,,14137.0,Jacksonville,Calhoun,Alabama,03-17-2021
12,Lurleen B. Wallace Community College,19,,4020.0,Andalusia,Covington,Alabama,03-17-2021
13,Marion Military Institute,13,,1076.0,Marion,Perry,Alabama,03-17-2021
14,Samford University,480,,73722.0,Birmingham,Jefferson,Alabama,03-17-2021
15,Snead State Community College,19,,13572.0,Boaz,Etowah,Alabama,03-17-2021
16,Southern Union State Community College,59,,1720.0,Wadley,Randolph,Alabama,03-17-2021
17,Spring Hill College,124,,37092.0,Mobile,Mobile,Alabama,03-17-2021
18,Troy University,749,,2990.0,Troy,Pike,Alabama,03-17-2021
19,Troy University Dothan,17,,10236.0,Dothan,Houston,Alabama,03-17-2021
20,Troy University Montgomery,18,,23317.0,Montgomery,Montgomery,Alabama,03-17-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,03-17-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,03-17-2021
23,University of Alabama,"3,361",,24677.0,Tuscaloosa,Tuscaloosa,Alabama,03-17-2021
24,University of Alabama at Birmingham*,"2,286",,73722.0,Birmingham,Jefferson,Alabama,03-17-2021
25,University of Alabama in Huntsville,210,,33108.0,Huntsville,Madison,Alabama,03-17-2021
26,University of Montevallo,140,,22701.0,Montevallo,Shelby,Alabama,03-17-2021
27,University of North Alabama,488,,8993.0,Florence,Lauderdale,Alabama,03-17-2021
28,University of South Alabama,507,,37092.0,Mobile,Mobile,Alabama,03-17-2021
29,University of West Alabama,30,,1021.0,Livingston,Sumter,Alabama,03-17-2021
30,University of Alaska Anchorage,12,,27542.0,Anchorage,Anchorage,Alaska,03-17-2021
31,University of Alaska Fairbanks,130,,6472.0,Fairbanks,Fairbanks North Star,Alaska,03-17-2021
32,University of Alaska Southeast,1,,1282.0,Juneau,Juneau,Alaska,03-17-2021
33,Arizona State University,"3,642",,521251.0,Tempe,Maricopa,Arizona,03-17-2021
34,Arizona Western College,41,,36604.0,Yuma,Yuma,Arizona,03-17-2021
35,Dine College,5,,10726.0,Tsaile,Apache,Arizona,03-17-2021
36,Embry-Riddle Aeronautical University at Prescott,54,,18143.0,Prescott,Yavapai,Arizona,03-17-2021
37,Grand Canyon University,"1,372",,521251.0,Phoenix,Maricopa,Arizona,03-17-2021
38,Midwestern University at Glendale,158,,521251.0,Glendale,Maricopa,Arizona,03-17-2021
39,Northern Arizona University,354,,16894.0,Flagstaff,Coconino,Arizona,03-17-2021
40,University of Arizona,"2,959",,111427.0,Tucson,Pima,Arizona,03-17-2021
41,Arkansas Northeastern College,56,,5708.0,Blytheville,Mississippi,Arkansas,03-17-2021
42,Arkansas State University,"1,153",,12992.0,Jonesboro,Craighead,Arkansas,03-17-2021
43,Arkansas State University-Newport,43,,6673.0,Newport,Jackson,Arkansas,03-17-2021
44,Arkansas Tech University,402,,7819.0,Russellville,Pope,Arkansas,03-17-2021
45,Black River Technical College,85,,1720.0,Pocahontas,Randolph,Arkansas,03-17-2021
46,Central Baptist College,20,,12048.0,Conway,Faulkner,Arkansas,03-17-2021
47,Harding University,435,,7707.0,Searcy,White,Arkansas,03-17-2021
48,Henderson State University,172,,2067.0,Arkadelphia,Clark,Arkansas,03-17-2021
49,Hendrix College,22,,12048.0,Conway,Faulkner,Arkansas,03-17-2021
50,John Brown University,66,,27837.0,Siloam Springs,Benton,Arkansas,03-17-2021
51,Lyon College,22,,3695.0,Batesville,Independence,Arkansas,03-17-2021
52,National Park College,66,,,Hot Springs,,Arkansas,03-17-2021
53,North Arkansas College,76,,3705.0,Harrison,Boone,Arkansas,03-17-2021
54,NorthWest Arkansas Community College,34,,27837.0,Bentonville,Benton,Arkansas,03-17-2021
55,Ouachita Baptist University,197,,2067.0,Arkadelphia,Clark,Arkansas,03-17-2021
56,South Arkansas Community College,41,,3862.0,El Dorado,Union,Arkansas,03-17-2021
57,Southern Arkansas University,216,,2294.0,Magnolia,Columbia,Arkansas,03-17-2021
58,University of Arkansas,"2,742",,1630.0,Fayetteville,Washington,Arkansas,03-17-2021
59,University of Arkansas Community College Rich Mountain,19,,1927.0,Mena,Polk,Arkansas,03-17-2021
60,University of Arkansas Community College at Hope - Texarkana,32,,4129.0,Texarkana,Miller,Arkansas,03-17-2021
61,University of Arkansas Community College-Morrilton,34,,2172.0,Morrilton,Conway,Arkansas,03-17-2021
62,University of Arkansas at Fort Smith,192,,14881.0,Fort Smith,Sebastian,Arkansas,03-17-2021
63,University of Arkansas at Little Rock,218,,37963.0,Little Rock,Pulaski,Arkansas,03-17-2021
64,University of Arkansas at Monticello,106,,1967.0,Monticello,Drew,Arkansas,03-17-2021
65,University of Arkansas at Pine Bluff,201,,73722.0,Pine Bluff,Jefferson,Arkansas,03-17-2021
66,University of Arkansas for Medical Sciences,181,,37963.0,Little Rock,Pulaski,Arkansas,03-17-2021
67,University of Arkansas-Pulaski Technical College,108,,37963.0,North Little Rock,Pulaski,Arkansas,03-17-2021
68,University of Central Arkansas,563,,12048.0,Conway,Faulkner,Arkansas,03-17-2021
69,University of the Ozarks,63,,2843.0,Clarksville,Johnson,Arkansas,03-17-2021
70,Antelope Valley College,28,,1211739.0,Lancaster,Los Angeles,California,03-17-2021
71,Azusa Pacific University,44,,1211739.0,Azusa,Los Angeles,California,03-17-2021
72,Biola University,10,,1211739.0,La Mirada,Los Angeles,California,03-17-2021
