,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,17,7508.0,7583.0,Huntsville,Madison,Alabama,09-20-2020
1,Athens State University,2,1976.0,1995.0,Athens,Limestone,Alabama,09-20-2020
2,Auburn University*,"1,672",5654.0,5713.0,Auburn,Lee,Alabama,09-20-2020
3,Birmingham-Southern College,64,18678.0,19015.0,Birmingham,Jefferson,Alabama,09-20-2020
4,Calhoun Community College,20,1976.0,1995.0,Tanner,Limestone,Alabama,09-20-2020
5,Central Alabama Community College,16,1053.0,1136.0,Alexander City,Tallapoosa,Alabama,09-20-2020
6,Enterprise State Community College,5,1269.0,1277.0,Enterprise,Coffee,Alabama,09-20-2020
7,Gadsden State Community College,25,3308.0,3355.0,Gadsden,Etowah,Alabama,09-20-2020
8,Jacksonville State University,219,3299.0,3338.0,Jacksonville,Calhoun,Alabama,09-20-2020
9,Lurleen B. Wallace Community College,7,1282.0,1309.0,Andalusia,Covington,Alabama,09-20-2020
10,Marion Military Institute,3,531.0,537.0,Marion,Perry,Alabama,09-20-2020
11,Samford University,199,18678.0,19015.0,Birmingham,Jefferson,Alabama,09-20-2020
12,Snead State Community College,11,3308.0,3355.0,Boaz,Etowah,Alabama,09-20-2020
13,Southern Union State Community College,45,596.0,608.0,Wadley,Randolph,Alabama,09-20-2020
14,Troy University,112,1146.0,1155.0,Troy,Pike,Alabama,09-20-2020
15,Troy University Dothan,6,2686.0,2708.0,Dothan,Houston,Alabama,09-20-2020
16,Troy University Montgomery,4,8501.0,8674.0,Montgomery,Montgomery,Alabama,09-20-2020
17,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,09-20-2020
18,Tuskegee University,41,,,Tuskeegee,,Alabama,09-20-2020
19,University of Alabama,"2,225",7126.0,7240.0,Tuscaloosa,Tuscaloosa,Alabama,09-20-2020
20,University of Alabama at Birmingham*,"1,105",18678.0,19015.0,Birmingham,Jefferson,Alabama,09-20-2020
21,University of Alabama in Huntsville,24,7508.0,7583.0,Huntsville,Madison,Alabama,09-20-2020
22,University of Montevallo,63,5634.0,5684.0,Montevallo,Shelby,Alabama,09-20-2020
23,University of North Alabama,189,1613.0,1646.0,Florence,Lauderdale,Alabama,09-20-2020
24,University of South Alabama,169,12777.0,13066.0,Mobile,Mobile,Alabama,09-20-2020
25,University of Alaska Anchorage,4,3810.0,3838.0,Anchorage,Anchorage,Alaska,09-20-2020
26,University of Alaska Fairbanks,35,957.0,966.0,Fairbanks,Fairbanks North Star,Alaska,09-20-2020
27,University of Alaska Southeast,1,266.0,267.0,Juneau,Juneau,Alaska,09-20-2020
28,Arizona State University,"1,330",136595.0,139856.0,Tempe,Maricopa,Arizona,09-20-2020
29,Arizona Western College,4,12209.0,12553.0,Yuma,Yuma,Arizona,09-20-2020
30,Embry-Riddle Aeronautical University at Prescott,21,2401.0,2480.0,Prescott,Yavapai,Arizona,09-20-2020
31,Grand Canyon University,46,136595.0,139856.0,Phoenix,Maricopa,Arizona,09-20-2020
32,Midwestern University at Glendale,55,136595.0,139856.0,Glendale,Maricopa,Arizona,09-20-2020
33,Northern Arizona University,37,3611.0,3744.0,Flagstaff,Coconino,Arizona,09-20-2020
34,University of Arizona,709,23995.0,24610.0,Tucson,Pima,Arizona,09-20-2020
35,Arkansas State University,143,2580.0,2600.0,Jonesboro,Craighead,Arkansas,09-20-2020
36,Arkansas Tech University,6,1988.0,2017.0,Russellville,Pope,Arkansas,09-20-2020
37,Harding University,1,699.0,718.0,Searcy,White,Arkansas,09-20-2020
38,Henderson State University,29,306.0,310.0,Arkadelphia,Clark,Arkansas,09-20-2020
