,School,Cases,City,State,Date
0,Alabama A&M University,41,Huntsville,Alabama,11-06-2020
1,Athens State University,23,Athens,Alabama,11-06-2020
2,Auburn University*,"2,047",Auburn,Alabama,11-06-2020
3,Auburn University at Montgomery,80,Montgomery,Alabama,11-06-2020
4,Bevill State Community College,4,Jasper,Alabama,11-06-2020
5,Birmingham-Southern College,196,Birmingham,Alabama,11-06-2020
6,Calhoun Community College,36,Tanner,Alabama,11-06-2020
7,Central Alabama Community College,24,Alexander City,Alabama,11-06-2020
8,Enterprise State Community College,32,Enterprise,Alabama,11-06-2020
9,Gadsden State Community College,45,Gadsden,Alabama,11-06-2020
10,Jacksonville State University,219,Jacksonville,Alabama,11-06-2020
11,Lurleen B. Wallace Community College,16,Andalusia,Alabama,11-06-2020
12,Marion Military Institute,5,Marion,Alabama,11-06-2020
13,Samford University,379,Birmingham,Alabama,11-06-2020
14,Snead State Community College,13,Boaz,Alabama,11-06-2020
15,Southern Union State Community College,59,Wadley,Alabama,11-06-2020
16,Spring Hill College,113,Mobile,Alabama,11-06-2020
17,Troy University,628,Troy,Alabama,11-06-2020
18,Troy University Dothan,12,Dothan,Alabama,11-06-2020
19,Troy University Montgomery,16,Montgomery,Alabama,11-06-2020
20,Troy University-Phenix City Campus,8,Phenix,Alabama,11-06-2020
21,Tuskegee University,69,Tuskeegee,Alabama,11-06-2020
22,University of Alabama,"3,037",Tuscaloosa,Alabama,11-06-2020
23,University of Alabama at Birmingham*,"1,779",Birmingham,Alabama,11-06-2020
24,University of Alabama in Huntsville,119,Huntsville,Alabama,11-06-2020
25,University of Montevallo,110,Montevallo,Alabama,11-06-2020
26,University of North Alabama,370,Florence,Alabama,11-06-2020
27,University of South Alabama,378,Mobile,Alabama,11-06-2020
28,University of Alaska Anchorage,10,Anchorage,Alaska,11-06-2020
29,University of Alaska Fairbanks,94,Fairbanks,Alaska,11-06-2020
30,University of Alaska Southeast,1,Juneau,Alaska,11-06-2020
31,Arizona State University,"2,518",Tempe,Arizona,11-06-2020
32,Arizona Western College,41,Yuma,Arizona,11-06-2020
33,Dine College,7,Tsaile,Arizona,11-06-2020
34,Embry-Riddle Aeronautical University at Prescott,37,Prescott,Arizona,11-06-2020
35,Grand Canyon University,230,Phoenix,Arizona,11-06-2020
36,Midwestern University at Glendale,72,Glendale,Arizona,11-06-2020
37,Northern Arizona University,268,Flagstaff,Arizona,11-06-2020
38,University of Arizona,"2,517",Tucson,Arizona,11-06-2020
39,Arkansas Northeastern College,28,Blytheville,Arkansas,11-06-2020
40,Arkansas State University,692,Jonesboro,Arkansas,11-06-2020
41,Arkansas Tech University,340,Russellville,Arkansas,11-06-2020
42,Black River Technical College,56,Pocahontas,Arkansas,11-06-2020
43,Harding University,300,Searcy,Arkansas,11-06-2020
44,Henderson State University,116,Arkadelphia,Arkansas,11-06-2020
45,Hendrix College,17,Conway,Arkansas,11-06-2020
46,John Brown University,36,Siloam Springs,Arkansas,11-06-2020
47,Lyon College,12,Batesville,Arkansas,11-06-2020
48,National Park College,36,Hot Springs,Arkansas,11-06-2020
49,NorthWest Arkansas Community College,16,Bentonville,Arkansas,11-06-2020
50,Ouachita Baptist University,147,Arkadelphia,Arkansas,11-06-2020
51,Southern Arkansas University,144,Magnolia,Arkansas,11-06-2020
52,University of Arkansas,"2,262",Fayetteville,Arkansas,11-06-2020
53,University of Arkansas Community College Rich Mountain,19,Mena,Arkansas,11-06-2020
54,University of Arkansas Community College at Hope - Texarkana,16,Texarkana,Arkansas,11-06-2020
55,University of Arkansas Community College-Morrilton,34,Morrilton,Arkansas,11-06-2020
56,University of Arkansas at Fort Smith,104,Fort Smith,Arkansas,11-06-2020
57,University of Arkansas at Little Rock,149,Little Rock,Arkansas,11-06-2020
58,University of Arkansas at Monticello,40,Monticello,Arkansas,11-06-2020
59,University of Arkansas at Pine Bluff,172,Pine Bluff,Arkansas,11-06-2020
60,University of Arkansas for Medical Sciences,69,Little Rock,Arkansas,11-06-2020
61,University of Central Arkansas,379,Conway,Arkansas,11-06-2020
62,University of the Ozarks,52,Clarksville,Arkansas,11-06-2020
63,Antelope Valley College,14,Lancaster,California,11-06-2020
64,Azusa Pacific University,8,Azusa,California,11-06-2020
65,Biola University,6,La Mirada,California,11-06-2020
66,California Baptist University,9,Riverside,California,11-06-2020
67,California Institute of Technology,29,Pasadena,California,11-06-2020
68,California Lutheran University,7,Thousand Oaks,California,11-06-2020
69,"California Polytechnic State University, San Luis Obispo",271,San Luis Obispo,California,11-06-2020
70,"California State Polytechnic University, Pomona",16,Pomona,California,11-06-2020
71,California State University Maritime Academy,3,Vallejo,California,11-06-2020
72,"California State University, Bakersfield",5,Bakersfield,California,11-06-2020
73,"California State University, Channel Islands",9,Camarillo,California,11-06-2020
74,"California State University, Chico",204,Chico,California,11-06-2020
75,"California State University, Dominguez Hills",9,Carson,California,11-06-2020
76,"California State University, East Bay",22,Hayward,California,11-06-2020
77,"California State University, Fullerton",10,Fullerton,California,11-06-2020
78,"California State University, Long Beach",32,Long Beach,California,11-06-2020
79,"California State University, Los Angeles",88,Los Angeles,California,11-06-2020
80,"California State University, Monterey Bay",5,Marina,California,11-06-2020
81,"California State University, Northridge",39,Los Angeles,California,11-06-2020
82,"California State University, Sacramento",43,Sacramento,California,11-06-2020
83,"California State University, San Bernardino",30,San Bernardino,California,11-06-2020
84,"California State University, San Marcos",27,San Marcos,California,11-06-2020
85,"California State University, Stanislaus",15,Turlock,California,11-06-2020
86,Chapman University,37,Orange,California,11-06-2020
87,Concordia University Irvine,10,Irvine,California,11-06-2020
88,Cypress College,9,Cypress,California,11-06-2020
89,Dominican University of California,4,San Rafael,California,11-06-2020
90,Feather River College,7,Quincy,California,11-06-2020
91,Fresno State University,30,Fresno,California,11-06-2020
92,Harvey Mudd College,5,Claremont,California,11-06-2020
93,Holy Names University,2,Oakland,California,11-06-2020
94,Humboldt State University,12,Arcata,California,11-06-2020
95,Los Angeles Community College District‡,175,Los Angeles,California,11-06-2020
96,Loyola Marymount University,21,Los Angeles,California,11-06-2020
97,Menlo College,3,Atherton,California,11-06-2020
98,Mills College,3,Oakland,California,11-06-2020
99,MiraCosta College,9,Oceanside,California,11-06-2020
100,Occidental College,5,Los Angeles,California,11-06-2020
101,Pepperdine University,26,Malibu,California,11-06-2020
102,Pitzer College,1,Claremont,California,11-06-2020
103,Point Loma Nazarene University,46,San Diego,California,11-06-2020
104,Pomona College,1,Claremont,California,11-06-2020
105,Rio Hondo College*,19,Whittier,California,11-06-2020
106,Saint Mary's College of California,9,Moraga,California,11-06-2020
107,San Diego City College,5,San Diego,California,11-06-2020
108,San Diego Mesa College,2,San Diego,California,11-06-2020
109,San Diego Miramar College,2,San Diego,California,11-06-2020
110,San Diego State University System,"1,301",San Diego,California,11-06-2020
111,San Francisco State University,7,San Francisco,California,11-06-2020
112,San Jose State University,54,San Jose,California,11-06-2020
113,Santa Ana College,9,Santa Ana,California,11-06-2020
114,Santa Clara University,36,Santa Clara,California,11-06-2020
115,Santa Monica College,5,Santa Monica,California,11-06-2020
116,Scripps College,4,Claremont,California,11-06-2020
117,Shasta College,5,Redding,California,11-06-2020
118,Sonoma State University,4,Ronhert Park,California,11-06-2020
119,Southwestern College,10,Chula Vista,California,11-06-2020
120,Stanford University*,165,Stanford,California,11-06-2020
121,"University of California, Berkeley",238,Berkeley,California,11-06-2020
122,"University of California, Davis",96,Davis,California,11-06-2020
123,"University of California, Hastings College of Law",5,San Francisco,California,11-06-2020
124,"University of California, Irvine",119,Irvine,California,11-06-2020
125,"University of California, Los Angeles",251,Los Angeles,California,11-06-2020
126,"University of California, Merced",22,Merced,California,11-06-2020
127,"University of California, Riverside",80,Riverside,California,11-06-2020
128,"University of California, San Diego*",384,San Diego,California,11-06-2020
129,"University of California, San Francisco*",263,San Francisco,California,11-06-2020
130,"University of California, Santa Barbara",33,Santa Barbara,California,11-06-2020
131,"University of California, Santa Cruz",20,Santa Cruz,California,11-06-2020
132,University of Redlands,9,Redlands,California,11-06-2020
133,University of San Diego,175,San Diego,California,11-06-2020
134,University of San Francisco,9,San Francisco,California,11-06-2020
135,University of Southern California,556,Los Angeles,California,11-06-2020
136,University of the Pacific,10,Stockton,California,11-06-2020
137,Westmont College,8,Santa Barbara,California,11-06-2020
138,Whittier College,2,Whittier,California,11-06-2020
139,Adams State University,17,Alamosa,Colorado,11-06-2020
140,Arapahoe Community College,29,Littleton,Colorado,11-06-2020
141,Colorado Christian University,25,Lakewood,Colorado,11-06-2020
142,Colorado College,18,Colorado Springs,Colorado,11-06-2020
143,Colorado Mesa University,164,Grand Junction,Colorado,11-06-2020
144,Colorado Mountain College Glenwood Springs,10,Glenwood Springs,Colorado,11-06-2020
145,Colorado School of Mines,109,Golden,Colorado,11-06-2020
146,Colorado State University,727,Fort Collins,Colorado,11-06-2020
147,Colorado State University-Pueblo,54,Pueblo,Colorado,11-06-2020
148,Community College of Denver,21,Denver,Colorado,11-06-2020
149,Fort Lewis College,42,Durango,Colorado,11-06-2020
150,Front Range Community College,19,Westminster,Colorado,11-06-2020
151,Johnson & Wales University-Denver,1,Denver,Colorado,11-06-2020
152,Metropolitan State University of Denver,50,Denver,Colorado,11-06-2020
153,Morgan Community College,6,Fort Morgan,Colorado,11-06-2020
154,Pikes Peak Community College,40,Colorado Springs,Colorado,11-06-2020
155,Pueblo Community College,5,Pueblo,Colorado,11-06-2020
156,Regis University,101,Denver,Colorado,11-06-2020
157,Trinidad State Junior College,4,Trinidad,Colorado,11-06-2020
158,United States Air Force Academy,2,Air Force Academy,Colorado,11-06-2020
159,University of Colorado Boulder,"1,943",Boulder,Colorado,11-06-2020
160,University of Colorado Colorado Springs,55,Colorado Springs,Colorado,11-06-2020
