,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,17,7347.0,7422.0,Huntsville,Madison,Alabama,09-18-2020
1,Athens State University,2,1923.0,1942.0,Athens,Limestone,Alabama,09-18-2020
2,Auburn University*,"1,672",5544.0,5603.0,Auburn,Lee,Alabama,09-18-2020
3,Birmingham-Southern College,64,18439.0,18772.0,Birmingham,Jefferson,Alabama,09-18-2020
4,Calhoun Community College,20,1923.0,1942.0,Tanner,Limestone,Alabama,09-18-2020
5,Central Alabama Community College,16,1046.0,1129.0,Alexander City,Tallapoosa,Alabama,09-18-2020
6,Enterprise State Community College,5,1240.0,1248.0,Enterprise,Coffee,Alabama,09-18-2020
7,Gadsden State Community College,25,3261.0,3306.0,Gadsden,Etowah,Alabama,09-18-2020
8,Jacksonville State University,219,3210.0,3249.0,Jacksonville,Calhoun,Alabama,09-18-2020
9,Lurleen B. Wallace Community College,7,1276.0,1303.0,Andalusia,Covington,Alabama,09-18-2020
10,Marion Military Institute,3,530.0,536.0,Marion,Perry,Alabama,09-18-2020
11,Samford University,199,18439.0,18772.0,Birmingham,Jefferson,Alabama,09-18-2020
12,Snead State Community College,11,3261.0,3306.0,Boaz,Etowah,Alabama,09-18-2020
13,Southern Union State Community College,45,579.0,591.0,Wadley,Randolph,Alabama,09-18-2020
14,Troy University,112,1126.0,1135.0,Troy,Pike,Alabama,09-18-2020
15,Troy University Dothan,6,2622.0,2644.0,Dothan,Houston,Alabama,09-18-2020
16,Troy University Montgomery,4,8425.0,8598.0,Montgomery,Montgomery,Alabama,09-18-2020
17,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,09-18-2020
18,Tuskegee University,41,,,Tuskeegee,,Alabama,09-18-2020
19,University of Alabama,"2,225",6967.0,7081.0,Tuscaloosa,Tuscaloosa,Alabama,09-18-2020
20,University of Alabama at Birmingham*,"1,105",18439.0,18772.0,Birmingham,Jefferson,Alabama,09-18-2020
21,University of Alabama in Huntsville,24,7347.0,7422.0,Huntsville,Madison,Alabama,09-18-2020
22,University of Montevallo,63,5522.0,5572.0,Montevallo,Shelby,Alabama,09-18-2020
23,University of North Alabama,189,1583.0,1616.0,Florence,Lauderdale,Alabama,09-18-2020
24,University of South Alabama,169,12686.0,12975.0,Mobile,Mobile,Alabama,09-18-2020
25,University of Alaska Anchorage,4,3722.0,3750.0,Anchorage,Anchorage,Alaska,09-18-2020
26,University of Alaska Fairbanks,35,925.0,934.0,Fairbanks,Fairbanks North Star,Alaska,09-18-2020
27,University of Alaska Southeast,1,257.0,258.0,Juneau,Juneau,Alaska,09-18-2020
28,Arizona State University,"1,330",136000.0,139245.0,Tempe,Maricopa,Arizona,09-18-2020
29,Arizona Western College,4,12156.0,12498.0,Yuma,Yuma,Arizona,09-18-2020
30,Embry-Riddle Aeronautical University at Prescott,21,2378.0,2457.0,Prescott,Yavapai,Arizona,09-18-2020
31,Grand Canyon University,46,136000.0,139245.0,Phoenix,Maricopa,Arizona,09-18-2020
32,Midwestern University at Glendale,55,136000.0,139245.0,Glendale,Maricopa,Arizona,09-18-2020
33,Northern Arizona University,37,3605.0,3738.0,Flagstaff,Coconino,Arizona,09-18-2020
34,University of Arizona,709,23700.0,24313.0,Tucson,Pima,Arizona,09-18-2020
