,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,32111.0,32573.0,Huntsville,Madison,Alabama,03-03-2021
1,Alabama State University,2,22189.0,22708.0,Montgomery,Montgomery,Alabama,03-03-2021
2,Athens State University,35,9277.0,9413.0,Athens,Limestone,Alabama,03-03-2021
3,Auburn University*,"2,134",14866.0,15021.0,Auburn,Lee,Alabama,03-03-2021
4,Auburn University at Montgomery,140,22189.0,22708.0,Montgomery,Montgomery,Alabama,03-03-2021
5,Bevill State Community College,4,6312.0,6571.0,Jasper,Walker,Alabama,03-03-2021
6,Birmingham-Southern College,214,70013.0,71400.0,Birmingham,Jefferson,Alabama,03-03-2021
7,Calhoun Community College,84,9277.0,9413.0,Tanner,Limestone,Alabama,03-03-2021
8,Central Alabama Community College,39,3470.0,3613.0,Alexander City,Tallapoosa,Alabama,03-03-2021
9,Enterprise State Community College,41,5156.0,5259.0,Enterprise,Coffee,Alabama,03-03-2021
10,Gadsden State Community College,62,13059.0,13379.0,Gadsden,Etowah,Alabama,03-03-2021
11,Jacksonville State University,219,13467.0,13755.0,Jacksonville,Calhoun,Alabama,03-03-2021
12,Lurleen B. Wallace Community College,19,3883.0,3989.0,Andalusia,Covington,Alabama,03-03-2021
13,Marion Military Institute,13,1032.0,1059.0,Marion,Perry,Alabama,03-03-2021
14,Samford University,480,70013.0,71400.0,Birmingham,Jefferson,Alabama,03-03-2021
15,Snead State Community College,19,13059.0,13379.0,Boaz,Etowah,Alabama,03-03-2021
16,Southern Union State Community College,59,1606.0,1646.0,Wadley,Randolph,Alabama,03-03-2021
17,Spring Hill College,124,35516.0,36252.0,Mobile,Mobile,Alabama,03-03-2021
18,Troy University,749,2861.0,2933.0,Troy,Pike,Alabama,03-03-2021
19,Troy University Dothan,17,9848.0,10110.0,Dothan,Houston,Alabama,03-03-2021
20,Troy University Montgomery,18,22189.0,22708.0,Montgomery,Montgomery,Alabama,03-03-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,03-03-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,03-03-2021
23,University of Alabama,"3,361",23875.0,24289.0,Tuscaloosa,Tuscaloosa,Alabama,03-03-2021
24,University of Alabama at Birmingham*,"2,286",70013.0,71400.0,Birmingham,Jefferson,Alabama,03-03-2021
25,University of Alabama in Huntsville,210,32111.0,32573.0,Huntsville,Madison,Alabama,03-03-2021
26,University of Montevallo,140,21897.0,22112.0,Montevallo,Shelby,Alabama,03-03-2021
27,University of North Alabama,488,8398.0,8610.0,Florence,Lauderdale,Alabama,03-03-2021
28,University of South Alabama,507,35516.0,36252.0,Mobile,Mobile,Alabama,03-03-2021
29,University of West Alabama,30,962.0,994.0,Livingston,Sumter,Alabama,03-03-2021
30,University of Alaska Anchorage,12,26669.0,26829.0,Anchorage,Anchorage,Alaska,03-03-2021
31,University of Alaska Fairbanks,130,6273.0,6302.0,Fairbanks,Fairbanks North Star,Alaska,03-03-2021
32,University of Alaska Southeast,1,1251.0,1256.0,Juneau,Juneau,Alaska,03-03-2021
33,Arizona State University,"3,642",503114.0,512286.0,Tempe,Maricopa,Arizona,03-03-2021
34,Arizona Western College,41,35675.0,36469.0,Yuma,Yuma,Arizona,03-03-2021
35,Dine College,5,10114.0,10503.0,Tsaile,Apache,Arizona,03-03-2021
36,Embry-Riddle Aeronautical University at Prescott,54,16622.0,17084.0,Prescott,Yavapai,Arizona,03-03-2021
37,Grand Canyon University,"1,372",503114.0,512286.0,Phoenix,Maricopa,Arizona,03-03-2021
38,Midwestern University at Glendale,158,503114.0,512286.0,Glendale,Maricopa,Arizona,03-03-2021
39,Northern Arizona University,354,16322.0,16635.0,Flagstaff,Coconino,Arizona,03-03-2021
40,University of Arizona,"2,959",107708.0,109941.0,Tucson,Pima,Arizona,03-03-2021
41,Arkansas Northeastern College,56,5574.0,5679.0,Blytheville,Mississippi,Arkansas,03-03-2021
42,Arkansas State University,"1,153",12709.0,12877.0,Jonesboro,Craighead,Arkansas,03-03-2021
43,Arkansas State University-Newport,43,6439.0,6542.0,Newport,Jackson,Arkansas,03-03-2021
44,Arkansas Tech University,402,7660.0,7758.0,Russellville,Pope,Arkansas,03-03-2021
45,Black River Technical College,85,1606.0,1646.0,Pocahontas,Randolph,Arkansas,03-03-2021
46,Central Baptist College,20,11662.0,11811.0,Conway,Faulkner,Arkansas,03-03-2021
47,Harding University,435,7490.0,7598.0,Searcy,White,Arkansas,03-03-2021
48,Henderson State University,172,2005.0,2043.0,Arkadelphia,Clark,Arkansas,03-03-2021
49,Hendrix College,22,11662.0,11811.0,Conway,Faulkner,Arkansas,03-03-2021
50,John Brown University,66,26962.0,27341.0,Siloam Springs,Benton,Arkansas,03-03-2021
51,Lyon College,22,3562.0,3678.0,Batesville,Independence,Arkansas,03-03-2021
52,National Park College,66,,,Hot Springs,,Arkansas,03-03-2021
53,North Arkansas College,76,3585.0,3658.0,Harrison,Boone,Arkansas,03-03-2021
54,NorthWest Arkansas Community College,34,26962.0,27341.0,Bentonville,Benton,Arkansas,03-03-2021
55,Ouachita Baptist University,197,2005.0,2043.0,Arkadelphia,Clark,Arkansas,03-03-2021
56,South Arkansas Community College,41,3644.0,3744.0,El Dorado,Union,Arkansas,03-03-2021
57,Southern Arkansas University,216,2217.0,2270.0,Magnolia,Columbia,Arkansas,03-03-2021
58,University of Arkansas,"2,742",1531.0,1566.0,Fayetteville,Washington,Arkansas,03-03-2021
59,University of Arkansas Community College Rich Mountain,19,1836.0,1901.0,Mena,Polk,Arkansas,03-03-2021
60,University of Arkansas Community College at Hope - Texarkana,32,4028.0,4059.0,Texarkana,Miller,Arkansas,03-03-2021
61,University of Arkansas Community College-Morrilton,34,2125.0,2155.0,Morrilton,Conway,Arkansas,03-03-2021
62,University of Arkansas at Fort Smith,192,14380.0,14637.0,Fort Smith,Sebastian,Arkansas,03-03-2021
63,University of Arkansas at Little Rock,218,36931.0,37496.0,Little Rock,Pulaski,Arkansas,03-03-2021
64,University of Arkansas at Monticello,106,1913.0,1948.0,Monticello,Drew,Arkansas,03-03-2021
65,University of Arkansas at Pine Bluff,201,70013.0,71400.0,Pine Bluff,Jefferson,Arkansas,03-03-2021
66,University of Arkansas for Medical Sciences,181,36931.0,37496.0,Little Rock,Pulaski,Arkansas,03-03-2021
67,University of Arkansas-Pulaski Technical College,108,36931.0,37496.0,North Little Rock,Pulaski,Arkansas,03-03-2021
68,University of Central Arkansas,563,11662.0,11811.0,Conway,Faulkner,Arkansas,03-03-2021
69,University of the Ozarks,63,2742.0,2772.0,Clarksville,Johnson,Arkansas,03-03-2021
70,Antelope Valley College,28,1174341.0,1196017.0,Lancaster,Los Angeles,California,03-03-2021
71,Azusa Pacific University,44,1174341.0,1196017.0,Azusa,Los Angeles,California,03-03-2021
72,Biola University,10,1174341.0,1196017.0,La Mirada,Los Angeles,California,03-03-2021
73,California Baptist University,25,286649.0,290498.0,Riverside,Riverside,California,03-03-2021
74,California Institute of Technology,48,1174341.0,1196017.0,Pasadena,Los Angeles,California,03-03-2021
75,California Lutheran University,22,77082.0,77952.0,Thousand Oaks,Ventura,California,03-03-2021
76,"California Polytechnic State University, San Luis Obispo",871,19513.0,19751.0,San Luis Obispo,San Luis Obispo,California,03-03-2021
77,"California State Polytechnic University, Pomona",22,1174341.0,1196017.0,Pomona,Los Angeles,California,03-03-2021
78,California State University Maritime Academy,8,30051.0,30216.0,Vallejo,Solano,California,03-03-2021
79,"California State University, Bakersfield",68,102841.0,103756.0,Bakersfield,Kern,California,03-03-2021
80,"California State University, Channel Islands",14,77082.0,77952.0,Camarillo,Ventura,California,03-03-2021
81,"California State University, Chico",233,10840.0,11007.0,Chico,Butte,California,03-03-2021
82,"California State University, Dominguez Hills",12,1174341.0,1196017.0,Carson,Los Angeles,California,03-03-2021
83,"California State University, East Bay",27,79679.0,80950.0,Hayward,Alameda,California,03-03-2021
84,"California State University, Fullerton",22,257832.0,261798.0,Fullerton,Orange,California,03-03-2021
85,"California State University, Long Beach",51,1174341.0,1196017.0,Long Beach,Los Angeles,California,03-03-2021
86,"California State University, Los Angeles",105,1174341.0,1196017.0,Los Angeles,Los Angeles,California,03-03-2021
87,"California State University, Monterey Bay",10,42006.0,42335.0,Marina,Monterey,California,03-03-2021
88,"California State University, Northridge",71,1174341.0,1196017.0,Los Angeles,Los Angeles,California,03-03-2021
89,"California State University, Sacramento",77,92292.0,93790.0,Sacramento,Sacramento,California,03-03-2021
90,"California State University, San Bernardino",28,284096.0,287055.0,San Bernardino,San Bernardino,California,03-03-2021
91,"California State University, San Marcos",45,258011.0,261353.0,San Marcos,San Diego,California,03-03-2021
92,"California State University, Stanislaus",20,55480.0,56433.0,Turlock,Stanislaus,California,03-03-2021
93,Chapman University,152,257832.0,261798.0,Orange,Orange,California,03-03-2021
94,Concordia University Irvine,23,257832.0,261798.0,Irvine,Orange,California,03-03-2021
95,Cypress College,19,257832.0,261798.0,Cypress,Orange,California,03-03-2021
