,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,17,1789.0,1807.0,Madison,Limestone,Alabama,09-14-2020
1,Athens State University,2,,,Limestone,,Alabama,09-14-2020
2,Auburn University*,"1,672",,,Lee,,Alabama,09-14-2020
3,Birmingham-Southern College,64,644.0,662.0,Jefferson,Marengo,Alabama,09-14-2020
4,Calhoun Community College,20,,,Limestone,,Alabama,09-14-2020
5,Central Alabama Community College,16,,,Tallapoosa,,Alabama,09-14-2020
6,Enterprise State Community College,5,,,Coffee,,Alabama,09-14-2020
7,Gadsden State Community College,25,,,Etowah,,Alabama,09-14-2020
8,Jacksonville State University,219,,,Calhoun,,Alabama,09-14-2020
9,Lurleen B. Wallace Community College,7,,,Covington,,Alabama,09-14-2020
10,Marion Military Institute,3,,,Perry,,Alabama,09-14-2020
11,Samford University,199,644.0,662.0,Jefferson,Marengo,Alabama,09-14-2020
12,Snead State Community College,11,,,Etowah,,Alabama,09-14-2020
13,Southern Union State Community College,45,575.0,581.0,Randolph,Bibb,Alabama,09-14-2020
14,Troy University,112,,,Pike,,Alabama,09-14-2020
15,Troy University Dothan,6,614.0,626.0,Houston,Winston,Alabama,09-14-2020
16,Troy University Montgomery,4,8022.0,8188.0,Montgomery,Montgomery,Alabama,09-14-2020
17,Troy University-Phenix City Campus,6,,,,,Alabama,09-14-2020
18,Tuskegee University,41,,,,,Alabama,09-14-2020
19,University of Alabama,"2,225",5522.0,5618.0,Tuscaloosa,Tuscaloosa,Alabama,09-14-2020
20,University of Alabama at Birmingham*,"1,105",644.0,662.0,Jefferson,Marengo,Alabama,09-14-2020
21,University of Alabama in Huntsville,24,1789.0,1807.0,Madison,Limestone,Alabama,09-14-2020
22,University of Montevallo,63,4640.0,4680.0,Shelby,Shelby,Alabama,09-14-2020
23,University of North Alabama,189,,,Lauderdale,,Alabama,09-14-2020
24,University of South Alabama,169,12278.0,12559.0,Mobile,Mobile,Alabama,09-14-2020
25,University of Alaska Anchorage,4,3564.0,3591.0,Anchorage,Anchorage,Alaska,09-14-2020
26,University of Alaska Fairbanks,35,,,Fairbanks North Star,,Alaska,09-14-2020
27,University of Alaska Southeast,1,239.0,240.0,Juneau,Juneau,Alaska,09-14-2020
28,Arizona State University,"1,330",9992.0,10187.0,Maricopa,Pinal,Arizona,09-14-2020
29,Arizona Western College,4,12078.0,12415.0,Yuma,Yuma,Arizona,09-14-2020
30,Embry-Riddle Aeronautical University at Prescott,21,,,Yavapai,,Arizona,09-14-2020
31,Grand Canyon University,46,9992.0,10187.0,Maricopa,Pinal,Arizona,09-14-2020
32,Midwestern University at Glendale,55,9992.0,10187.0,Maricopa,Pinal,Arizona,09-14-2020
33,Northern Arizona University,37,,,Coconino,,Arizona,09-14-2020
34,University of Arizona,709,750.0,774.0,Pima,Graham,Arizona,09-14-2020
35,Arkansas State University,143,,,Craighead,,Arkansas,09-14-2020
36,Arkansas Tech University,6,,,Pope,,Arkansas,09-14-2020
37,Harding University,1,,,White,,Arkansas,09-14-2020
38,Henderson State University,29,,,Clark,,Arkansas,09-14-2020
39,John Brown University,26,1825.0,1842.0,Benton,Saline,Arkansas,09-14-2020
40,Lyon College,4,,,Independence,,Arkansas,09-14-2020
41,National Park College,2,,,,,Arkansas,09-14-2020
