,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,8237.0,8316.0,Huntsville,Madison,Alabama,10-06-2020
1,Athens State University,2,2308.0,2330.0,Athens,Limestone,Alabama,10-06-2020
2,Auburn University*,"1,912",6111.0,6173.0,Auburn,Lee,Alabama,10-06-2020
3,Birmingham-Southern College,106,20489.0,20842.0,Birmingham,Jefferson,Alabama,10-06-2020
4,Calhoun Community College,23,2308.0,2330.0,Tanner,Limestone,Alabama,10-06-2020
5,Central Alabama Community College,21,1116.0,1201.0,Alexander City,Tallapoosa,Alabama,10-06-2020
6,Enterprise State Community College,19,1477.0,1482.0,Enterprise,Coffee,Alabama,10-06-2020
7,Gadsden State Community College,31,3654.0,3699.0,Gadsden,Etowah,Alabama,10-06-2020
8,Jacksonville State University,219,3685.0,3730.0,Jacksonville,Calhoun,Alabama,10-06-2020
9,Lurleen B. Wallace Community College,9,1458.0,1486.0,Andalusia,Covington,Alabama,10-06-2020
10,Marion Military Institute,3,538.0,544.0,Marion,Perry,Alabama,10-06-2020
11,Samford University,237,20489.0,20842.0,Birmingham,Jefferson,Alabama,10-06-2020
12,Snead State Community College,11,3654.0,3699.0,Boaz,Etowah,Alabama,10-06-2020
13,Southern Union State Community College,48,696.0,709.0,Wadley,Randolph,Alabama,10-06-2020
14,Spring Hill College,69,13478.0,13778.0,Mobile,Mobile,Alabama,10-06-2020
15,Troy University,141,1233.0,1245.0,Troy,Pike,Alabama,10-06-2020
16,Troy University Dothan,8,3361.0,3384.0,Dothan,Houston,Alabama,10-06-2020
17,Troy University Montgomery,5,8873.0,9061.0,Montgomery,Montgomery,Alabama,10-06-2020
18,Troy University-Phenix City Campus,6,,,Phenix,,Alabama,10-06-2020
19,Tuskegee University,41,,,Tuskeegee,,Alabama,10-06-2020
20,University of Alabama,"2,690",9170.0,9291.0,Tuscaloosa,Tuscaloosa,Alabama,10-06-2020
21,University of Alabama at Birmingham*,"1,239",20489.0,20842.0,Birmingham,Jefferson,Alabama,10-06-2020
22,University of Alabama in Huntsville,55,8237.0,8316.0,Huntsville,Madison,Alabama,10-06-2020
23,University of Montevallo,81,6394.0,6448.0,Montevallo,Shelby,Alabama,10-06-2020
24,University of North Alabama,244,1814.0,1851.0,Florence,Lauderdale,Alabama,10-06-2020
25,University of South Alabama,220,13478.0,13778.0,Mobile,Mobile,Alabama,10-06-2020
26,University of Alaska Anchorage,4,4893.0,4929.0,Anchorage,Anchorage,Alaska,10-06-2020
27,University of Alaska Fairbanks,44,1345.0,1356.0,Fairbanks,Fairbanks North Star,Alaska,10-06-2020
28,University of Alaska Southeast,1,302.0,304.0,Juneau,Juneau,Alaska,10-06-2020
29,Arizona State University,"1,701",140486.0,143917.0,Tempe,Maricopa,Arizona,10-06-2020
30,Arizona Western College,5,12530.0,12877.0,Yuma,Yuma,Arizona,10-06-2020
31,Embry-Riddle Aeronautical University at Prescott,31,2552.0,2636.0,Prescott,Yavapai,Arizona,10-06-2020
32,Grand Canyon University,55,140486.0,143917.0,Phoenix,Maricopa,Arizona,10-06-2020
33,Midwestern University at Glendale,61,140486.0,143917.0,Glendale,Maricopa,Arizona,10-06-2020
34,Northern Arizona University,116,4187.0,4331.0,Flagstaff,Coconino,Arizona,10-06-2020
35,University of Arizona†,"2,149",25424.0,26052.0,Tucson,Pima,Arizona,10-06-2020
36,Arkansas State University,143,3297.0,3324.0,Jonesboro,Craighead,Arkansas,10-06-2020
37,Arkansas Tech University,6,2235.0,2271.0,Russellville,Pope,Arkansas,10-06-2020
38,Harding University,17,972.0,1001.0,Searcy,White,Arkansas,10-06-2020
39,Henderson State University,59,389.0,393.0,Arkadelphia,Clark,Arkansas,10-06-2020
40,Hendrix College,6,2742.0,2765.0,Conway,Faulkner,Arkansas,10-06-2020
41,John Brown University,29,6861.0,6958.0,Siloam Springs,Benton,Arkansas,10-06-2020
42,Lyon College,6,1208.0,1232.0,Batesville,Independence,Arkansas,10-06-2020
43,National Park College,10,,,Hot Springs,,Arkansas,10-06-2020
44,NorthWest Arkansas Community College,2,6861.0,6958.0,Bentonville,Benton,Arkansas,10-06-2020
45,Ouachita Baptist University,89,389.0,393.0,Arkadelphia,Clark,Arkansas,10-06-2020
46,Southern Arkansas University,99,561.0,579.0,Magnolia,Columbia,Arkansas,10-06-2020
47,University of Arkansas,"1,572",572.0,584.0,Fayetteville,Washington,Arkansas,10-06-2020
48,University of Arkansas Community College Rich Mountain,2,282.0,286.0,Mena,Polk,Arkansas,10-06-2020
49,University of Arkansas at Little Rock,98,9781.0,9944.0,Little Rock,Pulaski,Arkansas,10-06-2020
50,University of Arkansas at Monticello,16,359.0,366.0,Monticello,Drew,Arkansas,10-06-2020
51,University of Arkansas at Pine Bluff,139,20489.0,20842.0,Pine Bluff,Jefferson,Arkansas,10-06-2020
52,University of Arkansas-Fort Smith,42,3943.0,4007.0,Fort Smith,Sebastian,Arkansas,10-06-2020
53,University of Central Arkansas†,115,2742.0,2765.0,Conway,Faulkner,Arkansas,10-06-2020
54,University of the Ozarks,37,882.0,889.0,Clarksville,Johnson,Arkansas,10-06-2020
55,Antelope Valley College,9,269175.0,275856.0,Lancaster,Los Angeles,California,10-06-2020
56,Biola University,2,269175.0,275856.0,La Mirada,Los Angeles,California,10-06-2020
57,California Institute of Technology,22,269175.0,275856.0,Pasadena,Los Angeles,California,10-06-2020
58,California Lutheran University,5,13070.0,13224.0,Thousand Oaks,Ventura,California,10-06-2020
59,"California Polytechnic State University, San Luis Obispo",84,3711.0,3742.0,San Luis Obispo,San Luis Obispo,California,10-06-2020
60,"California State Polytechnic University, Pomona",11,269175.0,275856.0,Pomona,Los Angeles,California,10-06-2020
61,California State University Maritime Academy,3,6552.0,6624.0,Vallejo,Solano,California,10-06-2020
62,"California State University, Bakersfield",3,32136.0,32522.0,Bakersfield,Kern,California,10-06-2020
63,"California State University, Channel Islands",3,13070.0,13224.0,Camarillo,Ventura,California,10-06-2020
64,"California State University, Chico",178,2865.0,2910.0,Chico,Butte,California,10-06-2020
65,"California State University, Dominguez Hills",8,269175.0,275856.0,Carson,Los Angeles,California,10-06-2020
66,"California State University, East Bay",17,21382.0,21809.0,Hayward,Alameda,California,10-06-2020
67,"California State University, Fullerton",1,53609.0,54898.0,Fullerton,Orange,California,10-06-2020
68,"California State University, Long Beach",90,269175.0,275856.0,Long Beach,Los Angeles,California,10-06-2020
69,"California State University, Los Angeles",75,269175.0,275856.0,Los Angeles,Los Angeles,California,10-06-2020
70,"California State University, Monterey Bay",4,10327.0,10402.0,Marina,Monterey,California,10-06-2020
71,"California State University, Northridge",27,269175.0,275856.0,Los Angeles,Los Angeles,California,10-06-2020
72,"California State University, Sacramento",21,22813.0,23245.0,Sacramento,Sacramento,California,10-06-2020
73,"California State University, San Bernardino",4,55556.0,56522.0,San Bernardino,San Bernardino,California,10-06-2020
74,"California State University, San Marcos",8,48015.0,48821.0,San Marcos,San Diego,California,10-06-2020
75,Chapman University,9,53609.0,54898.0,Orange,Orange,California,10-06-2020
76,Concordia University Irvine,2,53609.0,54898.0,Irvine,Orange,California,10-06-2020
77,Cypress College,8,53609.0,54898.0,Cypress,Orange,California,10-06-2020
78,Dominican University of California,1,6677.0,6796.0,San Rafael,Marin,California,10-06-2020
79,Fresno State University,23,28730.0,29136.0,Fresno,Fresno,California,10-06-2020
80,Harvey Mudd College,5,269175.0,275856.0,Claremont,Los Angeles,California,10-06-2020
81,Holy Names University,1,21382.0,21809.0,Oakland,Alameda,California,10-06-2020
82,Humboldt State University,11,516.0,524.0,Arcata,Humboldt,California,10-06-2020
83,Los Angeles Community College District‡,176,269175.0,275856.0,Los Angeles,Los Angeles,California,10-06-2020
84,Loyola Marymount University,1,269175.0,275856.0,Los Angeles,Los Angeles,California,10-06-2020
