,School,Cases,City,State,Date
0,Alabama A&M University,41,Huntsville,Alabama,10-24-2020
1,Athens State University,2,Athens,Alabama,10-24-2020
2,Auburn University*,"2,019",Auburn,Alabama,10-24-2020
3,Auburn University at Montgomery,59,Montgomery,Alabama,10-24-2020
4,Bevill State Community College,4,Jasper,Alabama,10-24-2020
5,Birmingham-Southern College,180,Birmingham,Alabama,10-24-2020
6,Calhoun Community College,31,Tanner,Alabama,10-24-2020
7,Central Alabama Community College,24,Alexander City,Alabama,10-24-2020
8,Enterprise State Community College,31,Enterprise,Alabama,10-24-2020
9,Gadsden State Community College,37,Gadsden,Alabama,10-24-2020
10,Jacksonville State University,219,Jacksonville,Alabama,10-24-2020
11,Lurleen B. Wallace Community College,9,Andalusia,Alabama,10-24-2020
12,Marion Military Institute,5,Marion,Alabama,10-24-2020
13,Samford University,370,Birmingham,Alabama,10-24-2020
14,Snead State Community College,11,Boaz,Alabama,10-24-2020
15,Southern Union State Community College,59,Wadley,Alabama,10-24-2020
16,Spring Hill College,112,Mobile,Alabama,10-24-2020
17,Troy University,547,Troy,Alabama,10-24-2020
18,Troy University Dothan,12,Dothan,Alabama,10-24-2020
19,Troy University Montgomery,13,Montgomery,Alabama,10-24-2020
20,Troy University-Phenix City Campus,8,Phenix,Alabama,10-24-2020
21,Tuskegee University,62,Tuskeegee,Alabama,10-24-2020
22,University of Alabama,"2,882",Tuscaloosa,Alabama,10-24-2020
23,University of Alabama at Birmingham*,"1,562",Birmingham,Alabama,10-24-2020
24,University of Alabama in Huntsville,91,Huntsville,Alabama,10-24-2020
25,University of Montevallo,101,Montevallo,Alabama,10-24-2020
26,University of North Alabama,301,Florence,Alabama,10-24-2020
27,University of South Alabama,322,Mobile,Alabama,10-24-2020
28,University of Alaska Anchorage,7,Anchorage,Alaska,10-24-2020
29,University of Alaska Fairbanks,85,Fairbanks,Alaska,10-24-2020
30,University of Alaska Southeast,1,Juneau,Alaska,10-24-2020
31,Arizona State University,"2,369",Tempe,Arizona,10-24-2020
32,Arizona Western College,5,Yuma,Arizona,10-24-2020
33,Dine College,7,Tsaile,Arizona,10-24-2020
34,Embry-Riddle Aeronautical University at Prescott,37,Prescott,Arizona,10-24-2020
35,Grand Canyon University,80,Phoenix,Arizona,10-24-2020
36,Midwestern University at Glendale,66,Glendale,Arizona,10-24-2020
37,Northern Arizona University,215,Flagstaff,Arizona,10-24-2020
38,University of Arizona,"2,433",Tucson,Arizona,10-24-2020
39,Arkansas Northeastern College,28,Blytheville,Arkansas,10-24-2020
40,Arkansas State University,618,Jonesboro,Arkansas,10-24-2020
41,Arkansas Tech University,293,Russellville,Arkansas,10-24-2020
42,Black River Technical College,51,Pocahontas,Arkansas,10-24-2020
43,Harding University,250,Searcy,Arkansas,10-24-2020
44,Henderson State University,108,Arkadelphia,Arkansas,10-24-2020
45,Hendrix College,15,Conway,Arkansas,10-24-2020
46,John Brown University,35,Siloam Springs,Arkansas,10-24-2020
47,Lyon College,12,Batesville,Arkansas,10-24-2020
48,National Park College,29,Hot Springs,Arkansas,10-24-2020
49,NorthWest Arkansas Community College,13,Bentonville,Arkansas,10-24-2020
50,Ouachita Baptist University,130,Arkadelphia,Arkansas,10-24-2020
51,Southern Arkansas University,125,Magnolia,Arkansas,10-24-2020
52,University of Arkansas,"2,167",Fayetteville,Arkansas,10-24-2020
53,University of Arkansas Community College Rich Mountain,19,Mena,Arkansas,10-24-2020
54,University of Arkansas Community College at Hope - Texarkana,16,Texarkana,Arkansas,10-24-2020
55,University of Arkansas Community College-Morrilton,34,Morrilton,Arkansas,10-24-2020
56,University of Arkansas at Fort Smith,79,Fort Smith,Arkansas,10-24-2020
57,University of Arkansas at Little Rock,130,Little Rock,Arkansas,10-24-2020
58,University of Arkansas at Monticello,34,Monticello,Arkansas,10-24-2020
