,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,27117.0,27303.0,Huntsville,Madison,Alabama,01-19-2021
1,Alabama State University,2,18887.0,19192.0,Montgomery,Montgomery,Alabama,01-19-2021
2,Athens State University,35,8000.0,8074.0,Athens,Limestone,Alabama,01-19-2021
3,Auburn University*,"2,134",12502.0,12603.0,Auburn,Lee,Alabama,01-19-2021
4,Auburn University at Montgomery,140,18887.0,19192.0,Montgomery,Montgomery,Alabama,01-19-2021
5,Bevill State Community College,4,5756.0,5930.0,Jasper,Walker,Alabama,01-19-2021
6,Birmingham-Southern College,214,61832.0,62752.0,Birmingham,Jefferson,Alabama,01-19-2021
7,Calhoun Community College,84,8000.0,8074.0,Tanner,Limestone,Alabama,01-19-2021
8,Central Alabama Community College,39,2523.0,2630.0,Alexander City,Tallapoosa,Alabama,01-19-2021
9,Enterprise State Community College,41,4406.0,4462.0,Enterprise,Coffee,Alabama,01-19-2021
10,Gadsden State Community College,62,11637.0,11805.0,Gadsden,Etowah,Alabama,01-19-2021
11,Jacksonville State University,219,11006.0,11206.0,Jacksonville,Calhoun,Alabama,01-19-2021
12,Lurleen B. Wallace Community College,19,3233.0,3301.0,Andalusia,Covington,Alabama,01-19-2021
13,Marion Military Institute,13,963.0,982.0,Marion,Perry,Alabama,01-19-2021
14,Samford University,480,61832.0,62752.0,Birmingham,Jefferson,Alabama,01-19-2021
15,Snead State Community College,19,11637.0,11805.0,Boaz,Etowah,Alabama,01-19-2021
16,Southern Union State Community College,59,1380.0,1415.0,Wadley,Randolph,Alabama,01-19-2021
17,Spring Hill College,124,29997.0,30551.0,Mobile,Mobile,Alabama,01-19-2021
18,Troy University,749,2484.0,2513.0,Troy,Pike,Alabama,01-19-2021
19,Troy University Dothan,17,8533.0,8681.0,Dothan,Houston,Alabama,01-19-2021
20,Troy University Montgomery,18,18887.0,19192.0,Montgomery,Montgomery,Alabama,01-19-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,01-19-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,01-19-2021
23,University of Alabama,"3,361",20568.0,20835.0,Tuscaloosa,Tuscaloosa,Alabama,01-19-2021
24,University of Alabama at Birmingham*,"2,286",61832.0,62752.0,Birmingham,Jefferson,Alabama,01-19-2021
