,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,9521.0,9619.0,Huntsville,Madison,Alabama,10-30-2020
1,Athens State University,2,2970.0,3003.0,Athens,Limestone,Alabama,10-30-2020
2,Auburn University*,"2,019",6604.0,6669.0,Auburn,Lee,Alabama,10-30-2020
3,Auburn University at Montgomery,59,10371.0,10576.0,Montgomery,Montgomery,Alabama,10-30-2020
4,Bevill State Community College,4,2809.0,2902.0,Jasper,Walker,Alabama,10-30-2020
5,Birmingham-Southern College,180,23704.0,24088.0,Birmingham,Jefferson,Alabama,10-30-2020
6,Calhoun Community College,31,2970.0,3003.0,Tanner,Limestone,Alabama,10-30-2020
7,Central Alabama Community College,24,1298.0,1385.0,Alexander City,Tallapoosa,Alabama,10-30-2020
8,Enterprise State Community College,31,1840.0,1851.0,Enterprise,Coffee,Alabama,10-30-2020
9,Gadsden State Community College,37,4392.0,4445.0,Gadsden,Etowah,Alabama,10-30-2020
10,Jacksonville State University,219,4743.0,4806.0,Jacksonville,Calhoun,Alabama,10-30-2020
11,Lurleen B. Wallace Community College,9,1758.0,1787.0,Andalusia,Covington,Alabama,10-30-2020
12,Marion Military Institute,5,596.0,602.0,Marion,Perry,Alabama,10-30-2020
13,Samford University,370,23704.0,24088.0,Birmingham,Jefferson,Alabama,10-30-2020
14,Snead State Community College,11,4392.0,4445.0,Boaz,Etowah,Alabama,10-30-2020
15,Southern Union State Community College,59,837.0,853.0,Wadley,Randolph,Alabama,10-30-2020
16,Spring Hill College,112,16847.0,17166.0,Mobile,Mobile,Alabama,10-30-2020
17,Troy University,547,1356.0,1370.0,Troy,Pike,Alabama,10-30-2020
18,Troy University Dothan,12,4230.0,4265.0,Dothan,Houston,Alabama,10-30-2020
19,Troy University Montgomery,13,10371.0,10576.0,Montgomery,Montgomery,Alabama,10-30-2020
20,Troy University-Phenix City Campus,8,,,Phenix,,Alabama,10-30-2020
21,Tuskegee University,62,,,Tuskeegee,,Alabama,10-30-2020
22,University of Alabama,"2,882",10499.0,10641.0,Tuscaloosa,Tuscaloosa,Alabama,10-30-2020
23,University of Alabama at Birmingham*,"1,562",23704.0,24088.0,Birmingham,Jefferson,Alabama,10-30-2020
