,School,Cases,City,State,Date
0,Alabama A&M University,41,Huntsville,Alabama,10-16-2020
1,Athens State University,2,Athens,Alabama,10-16-2020
2,Auburn University*,"1,982",Auburn,Alabama,10-16-2020
3,Bevill State Community College,4,Jasper,Alabama,10-16-2020
4,Birmingham-Southern College,125,Birmingham,Alabama,10-16-2020
5,Calhoun Community College,28,Tanner,Alabama,10-16-2020
6,Central Alabama Community College,24,Alexander City,Alabama,10-16-2020
7,Enterprise State Community College,27,Enterprise,Alabama,10-16-2020
8,Gadsden State Community College,32,Gadsden,Alabama,10-16-2020
9,Jacksonville State University,219,Jacksonville,Alabama,10-16-2020
10,Lurleen B. Wallace Community College,9,Andalusia,Alabama,10-16-2020
11,Marion Military Institute,3,Marion,Alabama,10-16-2020
12,Samford University,327,Birmingham,Alabama,10-16-2020
13,Snead State Community College,11,Boaz,Alabama,10-16-2020
14,Southern Union State Community College,59,Wadley,Alabama,10-16-2020
15,Spring Hill College,104,Mobile,Alabama,10-16-2020
16,Troy University,160,Troy,Alabama,10-16-2020
17,Troy University Dothan,8,Dothan,Alabama,10-16-2020
18,Troy University Montgomery,11,Montgomery,Alabama,10-16-2020
19,Troy University-Phenix City Campus,7,Phenix,Alabama,10-16-2020
20,Tuskegee University,62,Tuskeegee,Alabama,10-16-2020
21,University of Alabama,"2,784",Tuscaloosa,Alabama,10-16-2020
22,University of Alabama at Birmingham*,"1,353",Birmingham,Alabama,10-16-2020
23,University of Alabama in Huntsville,81,Huntsville,Alabama,10-16-2020
24,University of Montevallo,87,Montevallo,Alabama,10-16-2020
25,University of North Alabama,259,Florence,Alabama,10-16-2020
26,University of South Alabama,276,Mobile,Alabama,10-16-2020
27,University of Alaska Anchorage,4,Anchorage,Alaska,10-16-2020
28,University of Alaska Fairbanks,66,Fairbanks,Alaska,10-16-2020
29,University of Alaska Southeast,1,Juneau,Alaska,10-16-2020
30,Arizona State University,"1,821",Tempe,Arizona,10-16-2020
31,Arizona Western College,5,Yuma,Arizona,10-16-2020
32,Embry-Riddle Aeronautical University at Prescott,37,Prescott,Arizona,10-16-2020
33,Grand Canyon University,80,Phoenix,Arizona,10-16-2020
34,Midwestern University at Glendale,63,Glendale,Arizona,10-16-2020
35,Northern Arizona University,188,Flagstaff,Arizona,10-16-2020
36,University of Arizona,"2,381",Tucson,Arizona,10-16-2020
37,Arkansas State University,548,Jonesboro,Arkansas,10-16-2020
38,Arkansas Tech University,199,Russellville,Arkansas,10-16-2020
39,Harding University,127,Searcy,Arkansas,10-16-2020
40,Henderson State University,88,Arkadelphia,Arkansas,10-16-2020
41,Hendrix College,9,Conway,Arkansas,10-16-2020
42,John Brown University,30,Siloam Springs,Arkansas,10-16-2020
43,Lyon College,12,Batesville,Arkansas,10-16-2020
44,National Park College,21,Hot Springs,Arkansas,10-16-2020
45,NorthWest Arkansas Community College,4,Bentonville,Arkansas,10-16-2020
46,Ouachita Baptist University,116,Arkadelphia,Arkansas,10-16-2020
47,Southern Arkansas University,113,Magnolia,Arkansas,10-16-2020
48,University of Arkansas,"2,034",Fayetteville,Arkansas,10-16-2020
49,University of Arkansas Community College Rich Mountain,2,Mena,Arkansas,10-16-2020
50,University of Arkansas at Little Rock,114,Little Rock,Arkansas,10-16-2020
51,University of Arkansas at Monticello,27,Monticello,Arkansas,10-16-2020
52,University of Arkansas at Pine Bluff,139,Pine Bluff,Arkansas,10-16-2020
53,University of Arkansas for Medical Sciences,40,Little Rock,Arkansas,10-16-2020
54,University of Arkansas-Fort Smith,61,Fort Smith,Arkansas,10-16-2020
55,University of Central Arkansas,238,Conway,Arkansas,10-16-2020
56,University of the Ozarks,37,Clarksville,Arkansas,10-16-2020
57,Antelope Valley College,9,Lancaster,California,10-16-2020
58,Biola University,2,La Mirada,California,10-16-2020
59,California Institute of Technology,25,Pasadena,California,10-16-2020
60,California Lutheran University,6,Thousand Oaks,California,10-16-2020
61,"California Polytechnic State University, San Luis Obispo",127,San Luis Obispo,California,10-16-2020
62,"California State Polytechnic University, Pomona",12,Pomona,California,10-16-2020
63,California State University Maritime Academy,3,Vallejo,California,10-16-2020
64,"California State University, Bakersfield",3,Bakersfield,California,10-16-2020
65,"California State University, Channel Islands",3,Camarillo,California,10-16-2020
66,"California State University, Chico",195,Chico,California,10-16-2020
67,"California State University, Dominguez Hills",9,Carson,California,10-16-2020
68,"California State University, East Bay",18,Hayward,California,10-16-2020
69,"California State University, Fullerton",4,Fullerton,California,10-16-2020
70,"California State University, Long Beach",30,Long Beach,California,10-16-2020
71,"California State University, Los Angeles",83,Los Angeles,California,10-16-2020
72,"California State University, Monterey Bay",4,Marina,California,10-16-2020
73,"California State University, Northridge",31,Los Angeles,California,10-16-2020
74,"California State University, Sacramento",32,Sacramento,California,10-16-2020
75,"California State University, San Bernardino",4,San Bernardino,California,10-16-2020
76,"California State University, San Marcos",20,San Marcos,California,10-16-2020
77,Chapman University,9,Orange,California,10-16-2020
78,Concordia University Irvine,2,Irvine,California,10-16-2020
79,Cypress College,8,Cypress,California,10-16-2020
80,Dominican University of California,3,San Rafael,California,10-16-2020
81,Fresno State University,26,Fresno,California,10-16-2020
82,Harvey Mudd College,5,Claremont,California,10-16-2020
