,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,11946.0,12092.0,Huntsville,Madison,Alabama,11-21-2020
1,Alabama State University,2,11720.0,11952.0,Montgomery,Montgomery,Alabama,11-21-2020
2,Athens State University,33,3926.0,3970.0,Athens,Limestone,Alabama,11-21-2020
3,Auburn University*,"2,079",7414.0,7478.0,Auburn,Lee,Alabama,11-21-2020
4,Auburn University at Montgomery,101,11720.0,11952.0,Montgomery,Montgomery,Alabama,11-21-2020
5,Bevill State Community College,4,3362.0,3458.0,Jasper,Walker,Alabama,11-21-2020
6,Birmingham-Southern College,214,29536.0,30027.0,Birmingham,Jefferson,Alabama,11-21-2020
7,Calhoun Community College,45,3926.0,3970.0,Tanner,Limestone,Alabama,11-21-2020
8,Central Alabama Community College,34,1591.0,1681.0,Alexander City,Tallapoosa,Alabama,11-21-2020
9,Enterprise State Community College,36,2266.0,2281.0,Enterprise,Coffee,Alabama,11-21-2020
10,Gadsden State Community College,52,5736.0,5800.0,Gadsden,Etowah,Alabama,11-21-2020
11,Jacksonville State University,219,5811.0,5924.0,Jacksonville,Calhoun,Alabama,11-21-2020
12,Lurleen B. Wallace Community College,16,2083.0,2116.0,Andalusia,Covington,Alabama,11-21-2020
13,Marion Military Institute,6,660.0,666.0,Marion,Perry,Alabama,11-21-2020
14,Samford University,461,29536.0,30027.0,Birmingham,Jefferson,Alabama,11-21-2020
15,Snead State Community College,13,5736.0,5800.0,Boaz,Etowah,Alabama,11-21-2020
16,Southern Union State Community College,59,969.0,990.0,Wadley,Randolph,Alabama,11-21-2020
17,Spring Hill College,119,18833.0,19189.0,Mobile,Mobile,Alabama,11-21-2020
18,Troy University,715,1517.0,1531.0,Troy,Pike,Alabama,11-21-2020
19,Troy University Dothan,13,4957.0,4995.0,Dothan,Houston,Alabama,11-21-2020
20,Troy University Montgomery,18,11720.0,11952.0,Montgomery,Montgomery,Alabama,11-21-2020
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,11-21-2020
22,Tuskegee University,110,,,Tuskeegee,,Alabama,11-21-2020
23,University of Alabama,"3,219",12208.0,12356.0,Tuscaloosa,Tuscaloosa,Alabama,11-21-2020
24,University of Alabama at Birmingham*,"2,119",29536.0,30027.0,Birmingham,Jefferson,Alabama,11-21-2020
25,University of Alabama in Huntsville,173,11946.0,12092.0,Huntsville,Madison,Alabama,11-21-2020
26,University of Montevallo,130,9553.0,9629.0,Montevallo,Shelby,Alabama,11-21-2020
27,University of North Alabama,426,3659.0,3712.0,Florence,Lauderdale,Alabama,11-21-2020
28,University of South Alabama,457,18833.0,19189.0,Mobile,Mobile,Alabama,11-21-2020
29,University of West Alabama,27,530.0,552.0,Livingston,Sumter,Alabama,11-21-2020
30,University of Alaska Anchorage,11,14334.0,14396.0,Anchorage,Anchorage,Alaska,11-21-2020
31,University of Alaska Fairbanks,104,3119.0,3136.0,Fairbanks,Fairbanks North Star,Alaska,11-21-2020
32,University of Alaska Southeast,1,781.0,785.0,Juneau,Juneau,Alaska,11-21-2020
33,Arizona State University,"2,862",183746.0,187636.0,Tempe,Maricopa,Arizona,11-21-2020
34,Arizona Western College,41,15932.0,16307.0,Yuma,Yuma,Arizona,11-21-2020
35,Dine College,5,4693.0,4886.0,Tsaile,Apache,Arizona,11-21-2020
36,Embry-Riddle Aeronautical University at Prescott,45,4154.0,4261.0,Prescott,Yavapai,Arizona,11-21-2020
37,Grand Canyon University,474,183746.0,187636.0,Phoenix,Maricopa,Arizona,11-21-2020
38,Midwestern University at Glendale,96,183746.0,187636.0,Glendale,Maricopa,Arizona,11-21-2020
39,Northern Arizona University,278,6701.0,6865.0,Flagstaff,Coconino,Arizona,11-21-2020
40,University of Arizona,"2,643",34563.0,35237.0,Tucson,Pima,Arizona,11-21-2020
41,Arkansas Northeastern College,28,2899.0,2978.0,Blytheville,Mississippi,Arkansas,11-21-2020
42,Arkansas State University,"1,026",6426.0,6498.0,Jonesboro,Craighead,Arkansas,11-21-2020
43,Arkansas State University-Newport,43,2861.0,2885.0,Newport,Jackson,Arkansas,11-21-2020
