,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,15724.0,15884.0,Huntsville,Madison,Alabama,12-09-2020
1,Alabama State University,2,13055.0,13306.0,Montgomery,Montgomery,Alabama,12-09-2020
2,Athens State University,33,4929.0,4977.0,Athens,Limestone,Alabama,12-09-2020
3,Auburn University*,"2,079",8314.0,8386.0,Auburn,Lee,Alabama,12-09-2020
4,Auburn University at Montgomery,101,13055.0,13306.0,Montgomery,Montgomery,Alabama,12-09-2020
5,Bevill State Community College,4,4077.0,4190.0,Jasper,Walker,Alabama,12-09-2020
6,Birmingham-Southern College,214,37498.0,38031.0,Birmingham,Jefferson,Alabama,12-09-2020
7,Calhoun Community College,45,4929.0,4977.0,Tanner,Limestone,Alabama,12-09-2020
8,Central Alabama Community College,34,1908.0,2000.0,Alexander City,Tallapoosa,Alabama,12-09-2020
9,Enterprise State Community College,36,2730.0,2755.0,Enterprise,Coffee,Alabama,12-09-2020
10,Gadsden State Community College,52,7490.0,7563.0,Gadsden,Etowah,Alabama,12-09-2020
11,Jacksonville State University,219,7265.0,7392.0,Jacksonville,Calhoun,Alabama,12-09-2020
12,Lurleen B. Wallace Community College,16,2388.0,2426.0,Andalusia,Covington,Alabama,12-09-2020
13,Marion Military Institute,6,709.0,718.0,Marion,Perry,Alabama,12-09-2020
14,Samford University,461,37498.0,38031.0,Birmingham,Jefferson,Alabama,12-09-2020
15,Snead State Community College,13,7490.0,7563.0,Boaz,Etowah,Alabama,12-09-2020
16,Southern Union State Community College,59,1078.0,1105.0,Wadley,Randolph,Alabama,12-09-2020
17,Spring Hill College,119,21096.0,21480.0,Mobile,Mobile,Alabama,12-09-2020
18,Troy University,715,1681.0,1697.0,Troy,Pike,Alabama,12-09-2020
19,Troy University Dothan,13,5793.0,5839.0,Dothan,Houston,Alabama,12-09-2020
20,Troy University Montgomery,18,13055.0,13306.0,Montgomery,Montgomery,Alabama,12-09-2020
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,12-09-2020
22,Tuskegee University,110,,,Tuskeegee,,Alabama,12-09-2020
23,University of Alabama,"3,219",14480.0,14671.0,Tuscaloosa,Tuscaloosa,Alabama,12-09-2020
24,University of Alabama at Birmingham*,"2,119",37498.0,38031.0,Birmingham,Jefferson,Alabama,12-09-2020
25,University of Alabama in Huntsville,173,15724.0,15884.0,Huntsville,Madison,Alabama,12-09-2020
26,University of Montevallo,130,11962.0,12047.0,Montevallo,Shelby,Alabama,12-09-2020
27,University of North Alabama,426,4748.0,4805.0,Florence,Lauderdale,Alabama,12-09-2020
28,University of South Alabama,457,21096.0,21480.0,Mobile,Mobile,Alabama,12-09-2020
29,University of West Alabama,27,608.0,630.0,Livingston,Sumter,Alabama,12-09-2020
30,University of Alaska Anchorage,11,19191.0,19274.0,Anchorage,Anchorage,Alaska,12-09-2020
31,University of Alaska Fairbanks,104,3935.0,3952.0,Fairbanks,Fairbanks North Star,Alaska,12-09-2020
32,University of Alaska Southeast,1,920.0,925.0,Juneau,Juneau,Alaska,12-09-2020
33,Arizona State University,"2,862",235204.0,239417.0,Tempe,Maricopa,Arizona,12-09-2020
34,Arizona Western College,41,20373.0,20788.0,Yuma,Yuma,Arizona,12-09-2020
