,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,27285.0,27486.0,Huntsville,Madison,Alabama,01-20-2021
1,Alabama State University,2,19037.0,19352.0,Montgomery,Montgomery,Alabama,01-20-2021
2,Athens State University,35,8056.0,8132.0,Athens,Limestone,Alabama,01-20-2021
3,Auburn University*,"2,134",12647.0,12749.0,Auburn,Lee,Alabama,01-20-2021
4,Auburn University at Montgomery,140,19037.0,19352.0,Montgomery,Montgomery,Alabama,01-20-2021
5,Bevill State Community College,4,5780.0,5954.0,Jasper,Walker,Alabama,01-20-2021
6,Birmingham-Southern College,214,62084.0,63040.0,Birmingham,Jefferson,Alabama,01-20-2021
7,Calhoun Community College,84,8056.0,8132.0,Tanner,Limestone,Alabama,01-20-2021
8,Central Alabama Community College,39,2534.0,2641.0,Alexander City,Tallapoosa,Alabama,01-20-2021
9,Enterprise State Community College,41,4448.0,4504.0,Enterprise,Coffee,Alabama,01-20-2021
10,Gadsden State Community College,62,11685.0,11861.0,Gadsden,Etowah,Alabama,01-20-2021
11,Jacksonville State University,219,11091.0,11292.0,Jacksonville,Calhoun,Alabama,01-20-2021
12,Lurleen B. Wallace Community College,19,3258.0,3326.0,Andalusia,Covington,Alabama,01-20-2021
13,Marion Military Institute,13,971.0,990.0,Marion,Perry,Alabama,01-20-2021
14,Samford University,480,62084.0,63040.0,Birmingham,Jefferson,Alabama,01-20-2021
15,Snead State Community College,19,11685.0,11861.0,Boaz,Etowah,Alabama,01-20-2021
16,Southern Union State Community College,59,1386.0,1421.0,Wadley,Randolph,Alabama,01-20-2021
17,Spring Hill College,124,30237.0,30794.0,Mobile,Mobile,Alabama,01-20-2021
18,Troy University,749,2522.0,2552.0,Troy,Pike,Alabama,01-20-2021
19,Troy University Dothan,17,8590.0,8746.0,Dothan,Houston,Alabama,01-20-2021
20,Troy University Montgomery,18,19037.0,19352.0,Montgomery,Montgomery,Alabama,01-20-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,01-20-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,01-20-2021
23,University of Alabama,"3,361",20728.0,20996.0,Tuscaloosa,Tuscaloosa,Alabama,01-20-2021
24,University of Alabama at Birmingham*,"2,286",62084.0,63040.0,Birmingham,Jefferson,Alabama,01-20-2021
25,University of Alabama in Huntsville,210,27285.0,27486.0,Huntsville,Madison,Alabama,01-20-2021
26,University of Montevallo,140,18713.0,18833.0,Montevallo,Shelby,Alabama,01-20-2021
27,University of North Alabama,488,7588.0,7686.0,Florence,Lauderdale,Alabama,01-20-2021
28,University of South Alabama,507,30237.0,30794.0,Mobile,Mobile,Alabama,01-20-2021
29,University of West Alabama,30,870.0,896.0,Livingston,Sumter,Alabama,01-20-2021
30,University of Alaska Anchorage,12,24661.0,24800.0,Anchorage,Anchorage,Alaska,01-20-2021
31,University of Alaska Fairbanks,130,5657.0,5682.0,Fairbanks,Fairbanks North Star,Alaska,01-20-2021
32,University of Alaska Southeast,1,1102.0,1107.0,Juneau,Juneau,Alaska,01-20-2021
33,Arizona State University,"3,642",422076.0,428624.0,Tempe,Maricopa,Arizona,01-20-2021
34,Arizona Western College,41,32919.0,33567.0,Yuma,Yuma,Arizona,01-20-2021
35,Dine College,5,8447.0,8727.0,Tsaile,Apache,Arizona,01-20-2021
36,Embry-Riddle Aeronautical University at Prescott,54,14772.0,15106.0,Prescott,Yavapai,Arizona,01-20-2021
37,Grand Canyon University,"1,372",422076.0,428624.0,Phoenix,Maricopa,Arizona,01-20-2021
38,Midwestern University at Glendale,158,422076.0,428624.0,Glendale,Maricopa,Arizona,01-20-2021
39,Northern Arizona University,354,13974.0,14224.0,Flagstaff,Coconino,Arizona,01-20-2021
40,University of Arizona,"2,959",91024.0,92519.0,Tucson,Pima,Arizona,01-20-2021
41,Arkansas Northeastern College,56,4865.0,4968.0,Blytheville,Mississippi,Arkansas,01-20-2021
42,Arkansas State University,"1,153",11521.0,11676.0,Jonesboro,Craighead,Arkansas,01-20-2021
43,Arkansas State University-Newport,43,5822.0,5863.0,Newport,Jackson,Arkansas,01-20-2021
44,Arkansas Tech University,402,6668.0,6742.0,Russellville,Pope,Arkansas,01-20-2021
45,Black River Technical College,85,1386.0,1421.0,Pocahontas,Randolph,Arkansas,01-20-2021
46,Central Baptist College,20,9719.0,9841.0,Conway,Faulkner,Arkansas,01-20-2021
47,Harding University,435,5967.0,6045.0,Searcy,White,Arkansas,01-20-2021
48,Henderson State University,172,1649.0,1680.0,Arkadelphia,Clark,Arkansas,01-20-2021
49,Hendrix College,22,9719.0,9841.0,Conway,Faulkner,Arkansas,01-20-2021
50,John Brown University,66,23101.0,23417.0,Siloam Springs,Benton,Arkansas,01-20-2021
51,Lyon College,22,3194.0,3302.0,Batesville,Independence,Arkansas,01-20-2021
52,National Park College,66,,,Hot Springs,,Arkansas,01-20-2021
53,North Arkansas College,76,2991.0,3063.0,Harrison,Boone,Arkansas,01-20-2021
54,NorthWest Arkansas Community College,34,23101.0,23417.0,Bentonville,Benton,Arkansas,01-20-2021
55,Ouachita Baptist University,197,1649.0,1680.0,Arkadelphia,Clark,Arkansas,01-20-2021
56,South Arkansas Community College,41,2961.0,3046.0,El Dorado,Union,Arkansas,01-20-2021
57,Southern Arkansas University,216,1766.0,1813.0,Magnolia,Columbia,Arkansas,01-20-2021
58,University of Arkansas,"2,742",1365.0,1391.0,Fayetteville,Washington,Arkansas,01-20-2021
59,University of Arkansas Community College Rich Mountain,19,1512.0,1564.0,Mena,Polk,Arkansas,01-20-2021
60,University of Arkansas Community College at Hope - Texarkana,32,3142.0,3169.0,Texarkana,Miller,Arkansas,01-20-2021
61,University of Arkansas Community College-Morrilton,34,1807.0,1829.0,Morrilton,Conway,Arkansas,01-20-2021
62,University of Arkansas at Fort Smith,192,12365.0,12558.0,Fort Smith,Sebastian,Arkansas,01-20-2021
63,University of Arkansas at Little Rock,218,30549.0,31010.0,Little Rock,Pulaski,Arkansas,01-20-2021
64,University of Arkansas at Monticello,106,1710.0,1738.0,Monticello,Drew,Arkansas,01-20-2021
65,University of Arkansas at Pine Bluff,201,62084.0,63040.0,Pine Bluff,Jefferson,Arkansas,01-20-2021
66,University of Arkansas for Medical Sciences,181,30549.0,31010.0,Little Rock,Pulaski,Arkansas,01-20-2021
67,University of Arkansas-Pulaski Technical College,108,30549.0,31010.0,North Little Rock,Pulaski,Arkansas,01-20-2021
68,University of Central Arkansas,563,9719.0,9841.0,Conway,Faulkner,Arkansas,01-20-2021
69,University of the Ozarks,63,2279.0,2305.0,Clarksville,Johnson,Arkansas,01-20-2021
