,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,8,1722.0,1740.0,Madison,Limestone,Alabama,09-10-2020
1,Athens State University,2,,,Limestone,,Alabama,09-10-2020
2,Auburn University*,"1,074",,,Lee,,Alabama,09-10-2020
3,Auburn University at Montgomery,2,7856.0,8021.0,Montgomery,Montgomery,Alabama,09-10-2020
4,Jacksonville State University,219,,,Calhoun,,Alabama,09-10-2020
5,Samford University,95,631.0,649.0,Jefferson,Marengo,Alabama,09-10-2020
6,Troy University,40,,,Pike,,Alabama,09-10-2020
7,Troy University Dothan,6,588.0,600.0,Houston,Winston,Alabama,09-10-2020
8,Troy University Montgomery,3,7856.0,8021.0,Montgomery,Montgomery,Alabama,09-10-2020
9,Troy University-Phenix City Campus,5,,,,,Alabama,09-10-2020
10,Tuskegee University,24,,,,,Alabama,09-10-2020
11,University of Alabama,"1,367",5321.0,5416.0,Tuscaloosa,Tuscaloosa,Alabama,09-10-2020
12,University of Alabama at Birmingham*,"1,027",631.0,649.0,Jefferson,Marengo,Alabama,09-10-2020
13,University of Alabama in Huntsville,17,1722.0,1740.0,Madison,Limestone,Alabama,09-10-2020
14,University of Montevallo,35,4442.0,4482.0,Shelby,Shelby,Alabama,09-10-2020
15,University of North Alabama,63,,,Lauderdale,,Alabama,09-10-2020
16,University of South Alabama,106,12132.0,12403.0,Mobile,Mobile,Alabama,09-10-2020
17,University of Alaska Anchorage,3,3386.0,3411.0,Anchorage,Anchorage,Alaska,09-10-2020
18,University of Alaska Fairbanks,30,,,Fairbanks North Star,,Alaska,09-10-2020
19,University of Alaska Southeast,1,217.0,218.0,Juneau,Juneau,Alaska,09-10-2020
20,Arizona State University,375,9951.0,10142.0,Maricopa,Pinal,Arizona,09-10-2020
21,Embry-Riddle Aeronautical University at Prescott,11,,,Yavapai,,Arizona,09-10-2020
22,Grand Canyon University,43,9951.0,10142.0,Maricopa,Pinal,Arizona,09-10-2020
23,Midwestern University at Glendale,54,9951.0,10142.0,Maricopa,Pinal,Arizona,09-10-2020
24,Northern Arizona University,19,,,Coconino,,Arizona,09-10-2020
25,University of Arizona,142,743.0,767.0,Pima,Graham,Arizona,09-10-2020
26,Arkansas State University,41,,,Craighead,,Arkansas,09-10-2020
27,Arkansas Tech University,6,,,Pope,,Arkansas,09-10-2020
28,Harding University,1,,,White,,Arkansas,09-10-2020
29,Henderson State University,14,,,Clark,,Arkansas,09-10-2020
30,Hendrix College,1,,,Faulkner,,Arkansas,09-10-2020
31,John Brown University,18,1721.0,1736.0,Benton,Saline,Arkansas,09-10-2020
32,Lyon College,4,,,Independence,,Arkansas,09-10-2020
33,National Park College,2,,,,,Arkansas,09-10-2020
34,NorthWest Arkansas Community College,2,1721.0,1736.0,Benton,Saline,Arkansas,09-10-2020
