,School,Cases,City,State,Date
0,Alabama A&M University,41,Huntsville,Alabama,10-01-2020
1,Athens State University,2,Athens,Alabama,10-01-2020
2,Auburn University*,"1,912",Auburn,Alabama,10-01-2020
3,Birmingham-Southern College,106,Birmingham,Alabama,10-01-2020
4,Calhoun Community College,23,Tanner,Alabama,10-01-2020
5,Central Alabama Community College,21,Alexander City,Alabama,10-01-2020
6,Enterprise State Community College,19,Enterprise,Alabama,10-01-2020
7,Gadsden State Community College,31,Gadsden,Alabama,10-01-2020
8,Jacksonville State University,219,Jacksonville,Alabama,10-01-2020
9,Lurleen B. Wallace Community College,9,Andalusia,Alabama,10-01-2020
10,Marion Military Institute,3,Marion,Alabama,10-01-2020
11,Samford University,237,Birmingham,Alabama,10-01-2020
12,Snead State Community College,11,Boaz,Alabama,10-01-2020
13,Southern Union State Community College,48,Wadley,Alabama,10-01-2020
14,Spring Hill College,69,Mobile,Alabama,10-01-2020
15,Troy University,141,Troy,Alabama,10-01-2020
16,Troy University Dothan,8,Dothan,Alabama,10-01-2020
17,Troy University Montgomery,5,Montgomery,Alabama,10-01-2020
18,Troy University-Phenix City Campus,6,Phenix,Alabama,10-01-2020
19,Tuskegee University,41,Tuskeegee,Alabama,10-01-2020
20,University of Alabama,"2,690",Tuscaloosa,Alabama,10-01-2020
21,University of Alabama at Birmingham*,"1,239",Birmingham,Alabama,10-01-2020
22,University of Alabama in Huntsville,55,Huntsville,Alabama,10-01-2020
23,University of Montevallo,81,Montevallo,Alabama,10-01-2020
24,University of North Alabama,244,Florence,Alabama,10-01-2020
25,University of South Alabama,220,Mobile,Alabama,10-01-2020
26,University of Alaska Anchorage,4,Anchorage,Alaska,10-01-2020
27,University of Alaska Fairbanks,44,Fairbanks,Alaska,10-01-2020
28,University of Alaska Southeast,1,Juneau,Alaska,10-01-2020
29,Arizona State University,"1,701",Tempe,Arizona,10-01-2020
30,Arizona Western College,5,Yuma,Arizona,10-01-2020
31,Embry-Riddle Aeronautical University at Prescott,31,Prescott,Arizona,10-01-2020
32,Grand Canyon University,55,Phoenix,Arizona,10-01-2020
33,Midwestern University at Glendale,61,Glendale,Arizona,10-01-2020
34,Northern Arizona University,116,Flagstaff,Arizona,10-01-2020
35,University of Arizona†,"2,149",Tucson,Arizona,10-01-2020
36,Arkansas State University,143,Jonesboro,Arkansas,10-01-2020
37,Arkansas Tech University,6,Russellville,Arkansas,10-01-2020
38,Harding University,17,Searcy,Arkansas,10-01-2020
39,Henderson State University,59,Arkadelphia,Arkansas,10-01-2020
40,Hendrix College,6,Conway,Arkansas,10-01-2020
41,John Brown University,29,Siloam Springs,Arkansas,10-01-2020
42,Lyon College,6,Batesville,Arkansas,10-01-2020
43,National Park College,10,Hot Springs,Arkansas,10-01-2020
44,NorthWest Arkansas Community College,2,Bentonville,Arkansas,10-01-2020
45,Ouachita Baptist University,89,Arkadelphia,Arkansas,10-01-2020
46,Southern Arkansas University,99,Magnolia,Arkansas,10-01-2020
47,University of Arkansas,"1,572",Fayetteville,Arkansas,10-01-2020
48,University of Arkansas Community College Rich Mountain,2,Mena,Arkansas,10-01-2020
49,University of Arkansas at Little Rock,98,Little Rock,Arkansas,10-01-2020
50,University of Arkansas at Monticello,16,Monticello,Arkansas,10-01-2020
51,University of Arkansas at Pine Bluff,139,Pine Bluff,Arkansas,10-01-2020
52,University of Arkansas-Fort Smith,42,Fort Smith,Arkansas,10-01-2020
53,University of Central Arkansas†,115,Conway,Arkansas,10-01-2020
54,University of the Ozarks,37,Clarksville,Arkansas,10-01-2020
55,Antelope Valley College,9,Lancaster,California,10-01-2020
56,Biola University,2,La Mirada,California,10-01-2020
57,California Institute of Technology,22,Pasadena,California,10-01-2020
58,California Lutheran University,5,Thousand Oaks,California,10-01-2020
59,"California Polytechnic State University, San Luis Obispo",84,San Luis Obispo,California,10-01-2020
60,"California State Polytechnic University, Pomona",11,Pomona,California,10-01-2020
61,California State University Maritime Academy,3,Vallejo,California,10-01-2020
62,"California State University, Bakersfield",3,Bakersfield,California,10-01-2020
63,"California State University, Channel Islands",3,Camarillo,California,10-01-2020
64,"California State University, Chico",178,Chico,California,10-01-2020
