End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
11/18/2020,[Source](https://www.hilbert.edu/news/2020/11/11/hilbert-college-to-transition-to-remote-instruction-on-november-13),42.75464,-78.820257,Hilbert College,"Hamburg, NY",Suspended in-person instruction,semester,11/11/2020,https://www.hilbert.edu/news/2020/11/11/hilbert-college-to-transition-to-remote-instruction-on-november-13,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.stlawu.edu/always-forward/messages-community#Nov-10),44.589879,-75.161343,St. Lawrence University,"Canton, NY",Suspended in-person instruction,week,11/11/2020,https://www.stlawu.edu/always-forward/messages-community#Nov-10,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.frostburg.edu/news/2020/11/FSU-Moves-to-Online-Instruction-for-Remainder-of-Semester.php),39.650918,-78.934293,Frostburg State University,"Frostburg, MD",Suspended in-person instruction,semester,11/11/2020,https://www.frostburg.edu/news/2020/11/FSU-Moves-to-Online-Instruction-for-Remainder-of-Semester.php,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.shu.edu/health-intervention-communication/news/announcement-regarding-pivot-for-remainder-of-semester.cfm),40.742336,-74.246027,Seton Hall University,"South Orange, NJ",Suspended in-person instruction,semester,11/11/2020,https://www.shu.edu/health-intervention-communication/news/announcement-regarding-pivot-for-remainder-of-semester.cfm,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://today.uic.edu/fall-semester-update-2),41.871837,-87.650503,University of Illinois at Chicago,"Chicago, IL",Suspended in-person instruction,semester,11/11/2020,https://today.uic.edu/fall-semester-update-2,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.cwc.edu/about/news/2020-21-news/cwc-moves-to-phase-i-1.php),43.030556,-108.42674,Central Wyoming College,"Riverton, WY",Suspended in-person instruction,semester,11/11/2020,https://www.cwc.edu/about/news/2020-21-news/cwc-moves-to-phase-i-1.php,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.uakron.edu/im/news/ua-to-move-to-remote-instruction-effective-nov-16#view),41.078551,-81.511679,University of Akron,"Akron, OH",Suspended in-person instruction,semester,11/11/2020,https://www.uakron.edu/im/news/ua-to-move-to-remote-instruction-effective-nov-16#view,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.drake.edu/coronavirus/updates/leadership/?n=leadershipmessages-accordion&p=1),41.60129,-93.652163,Drake University,"Des Moines, IA",Suspended in-person instruction,semester,11/10/2020,https://www.drake.edu/coronavirus/updates/leadership/?n=leadershipmessages-accordion&p=1,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://drive.google.com/file/d/179pXo5YNTmQvPF0I9s6tggG7wu-Z7UZ1/view),37.473636,-105.87964,Adams State University,"Alamoso, CO",Suspended in-person instruction,semester,11/10/2020,https://drive.google.com/file/d/179pXo5YNTmQvPF0I9s6tggG7wu-Z7UZ1/view,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](www.livingstondaily.com/story/news/local/community/genoa-township/2020/11/10/cleary-university-covid-19-exposure-canceled-in-person-learning/6240818002/),42.586638,-83.879987,Cleary University,"Howell, MI",Suspended in-person instruction,semester,11/10/2020,www.livingstondaily.com/story/news/local/community/genoa-township/2020/11/10/cleary-university-covid-19-exposure-canceled-in-person-learning/6240818002/,,,,,,,1,,,,,,,,,,
