,School,Plan,Type,Date,Reversal Count,Location
267,Syracuse University,Suspended in-person instruction,closing,2020-11-11,1,"Syracuse, NY"
268,Frostburg State University,Suspended in-person instruction,closing,2020-11-11,1,"Frostburg, MD"
269,St. Lawrence University,Suspended in-person instruction,closing,2020-11-11,1,"Canton, NY"
270,King's College,Suspended in-person instruction,closing,2020-11-12,1,"Wilkes-Barre, PA"
271,University of Missouri*,Suspended in-person instruction,closing,2020-11-12,1,"Columbia, MO"
272,"University of Maryland, College Park",Suspended in-person instruction,closing,2020-11-13,3,"College Park, MD"
273,Northern Michigan University,Suspended in-person instruction,closing,2020-11-15,1,"Marquette, MI"
274,The College of Saint Rose,Suspended in-person instruction,closing,2020-11-15,1,"Albany, NY"
275,Saint Joseph's College of Maine,Suspended in-person instruction,closing,2020-11-15,2,"Standish, ME"
276,Westfield State University‡,Suspended in-person instruction,closing,2020-11-16,3,"Westfield, MA"
277,Vincennes University,Suspended in-person instruction,closing,2020-11-16,1,"Vincennes, IN"
278,Brown University,Suspended in-person instruction,closing,2020-11-17,2,"Providence, RI"
